Source_Titles,records,percent_of_total
BRITISH FOOD JOURNAL,4,0.013
CANADIAN JOURNAL OF PSYCHIATRY REVUE CANADIENNE DE PSYCHIATRIE,4,0.013
CANCER NURSING,4,0.013
CANCER PREVENTION RESEARCH,4,0.013
CARDIOLOGY RESEARCH AND PRACTICE,4,0.013
CARDIOVASCULAR THERAPY AND PREVENTION,4,0.013
CELLS,4,0.013
CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,4,0.013
CHILD AND ADOLESCENT PSYCHIATRIC CLINICS OF NORTH AMERICA,4,0.013
CHRONIC RENAL DISEASE,4,0.013
CHRONIC RENAL DISEASE 2ND EDITION,4,0.013
CLINICAL AND EXPERIMENTAL MEDICINE,4,0.013
CLINICAL AND EXPERIMENTAL OBSTETRICS GYNECOLOGY,4,0.013
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,4,0.013
CLINICAL JOURNAL OF PAIN,4,0.013
CLINICAL JOURNAL OF SPORT MEDICINE,4,0.013
CLINICAL LABORATORY,4,0.013
CLINICAL PSYCHOLOGICAL SCIENCE,4,0.013
CLINICAL PSYCHOLOGY REVIEW,4,0.013
CLINICAL RESPIRATORY JOURNAL,4,0.013
CLINICAL TOXICOLOGY,4,0.013
CLINICS IN GERIATRIC MEDICINE,4,0.013
CLINICS IN SPORTS MEDICINE,4,0.013
COGNITIVE AND BEHAVIORAL PRACTICE,4,0.013
CONTRIBUTIONS TO NEPHROLOGY,4,0.013
CRESCENT JOURNAL OF MEDICAL AND BIOLOGICAL SCIENCES,4,0.013
CURRENT CARDIOLOGY REVIEWS,4,0.013
CURRENT NEUROPHARMACOLOGY,4,0.013
CURRENT OPINION IN PSYCHOLOGY,4,0.013
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,4,0.013
CURRENT TOPICS IN NUTRACEUTICAL RESEARCH,4,0.013
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,4,0.013
ELSEVIER INSIGHTS,4,0.013
ENDOCRINE RELATED CANCER,4,0.013
ENDOCRINE RESEARCH,4,0.013
ENDOCRINOLOGIST,4,0.013
ENVIRONMENTAL HEALTH AND PREVENTIVE MEDICINE,4,0.013
ENVIRONMENTAL POLLUTION,4,0.013
EUROPEAN ADDICTION RESEARCH,4,0.013
EUROPEAN JOURNAL OF CARDIOVASCULAR NURSING,4,0.013
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,4,0.013
EXPERT OPINION ON DRUG METABOLISM TOXICOLOGY,4,0.013
EXPERT OPINION ON THERAPEUTIC TARGETS,4,0.013
FAMILY CONTEXTS OF SLEEP AND HEALTH ACROSS THE LIFE COURSE,4,0.013
FASEB JOURNAL,4,0.013
FEBS LETTERS,4,0.013
FOOD SCIENCE NUTRITION,4,0.013
FOOD TECHNOLOGY,4,0.013
FRONTIERS IN BEHAVIORAL NEUROSCIENCE,4,0.013
FRONTIERS IN MEDICINE,4,0.013
FRONTIERS OF HORMONE RESEARCH,4,0.013
GACETA MEDICA DE MEXICO,4,0.013
GACETA SANITARIA,4,0.013
GAZZETTA MEDICA ITALIANA ARCHIVIO PER LE SCIENZE MEDICHE,4,0.013
GERONTOLOGIST,4,0.013
GIORNALE ITALIANO DI CARDIOLOGIA,4,0.013
HEALTH CARE FOR WOMEN INTERNATIONAL,4,0.013
HEALTH PROMOTION INTERNATIONAL,4,0.013
HUMAN MUTATION,4,0.013
HUMAN REPRODUCTION UPDATE,4,0.013
IMPLEMENTATION SCIENCE,4,0.013
INDIAN JOURNAL OF CLINICAL BIOCHEMISTRY,4,0.013
INFLAMMATION,4,0.013
INHALATION TOXICOLOGY,4,0.013
INJURY PREVENTION,4,0.013
INTERNATIONAL ANGIOLOGY,4,0.013
INTERNATIONAL IMMUNOPHARMACOLOGY,4,0.013
INTERNATIONAL JOURNAL OF ANDROLOGY,4,0.013
INTERNATIONAL JOURNAL OF GYNECOLOGY OBSTETRICS,4,0.013
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,4,0.013
INTERNATIONAL JOURNAL OF PSYCHOLOGY,4,0.013
INTERNIST,4,0.013
INVESTIGATIVE OPHTHALMOLOGY VISUAL SCIENCE,4,0.013
JAMA NEUROLOGY,4,0.013
JCI INSIGHT,4,0.013
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,4,0.013
JOURNAL OF ATHLETIC TRAINING,4,0.013
JOURNAL OF BIOMEDICAL INFORMATICS,4,0.013
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,4,0.013
JOURNAL OF CELLULAR BIOCHEMISTRY,4,0.013
JOURNAL OF DENTAL RESEARCH,4,0.013
JOURNAL OF DIABETES METABOLISM,4,0.013
JOURNAL OF DRUG EDUCATION,4,0.013
JOURNAL OF DRUG ISSUES,4,0.013
JOURNAL OF ENDOUROLOGY,4,0.013
JOURNAL OF EXPOSURE ANALYSIS AND ENVIRONMENTAL EPIDEMIOLOGY,4,0.013
JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,4,0.013
JOURNAL OF GENETIC COUNSELING,4,0.013
JOURNAL OF HEALTH POLITICS POLICY AND LAW,4,0.013
JOURNAL OF HOMOSEXUALITY,4,0.013
JOURNAL OF IMMUNOLOGY,4,0.013
JOURNAL OF INHERITED METABOLIC DISEASE,4,0.013
JOURNAL OF MEDICAL BIOCHEMISTRY,4,0.013
JOURNAL OF NEUROLOGY,4,0.013
JOURNAL OF NEUROSCIENCE,4,0.013
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,4,0.013
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,4,0.013
JOURNAL OF PREGNANCY,4,0.013
JOURNAL OF PROTEOME RESEARCH,4,0.013
JOURNAL OF PUBLIC HEALTH HEIDELBERG,4,0.013
JOURNAL OF THE ENDOCRINE SOCIETY,4,0.013
JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,4,0.013
JOURNAL OF ULTRASOUND IN MEDICINE,4,0.013
LANCET RESPIRATORY MEDICINE,4,0.013
MEDICINA BUENOS AIRES,4,0.013
MEDITERRANEAN JOURNAL OF NUTRITION AND METABOLISM,4,0.013
MEDIZINISCHE KLINIK,4,0.013
MENTAL HEALTH AND PHYSICAL ACTIVITY,4,0.013
METHODS IN ENZYMOLOGY,4,0.013
MIDWIFERY,4,0.013
MINERVA CARDIOANGIOLOGICA,4,0.013
MODERN RHEUMATOLOGY,4,0.013
MOLECULAR CARCINOGENESIS,4,0.013
NATIONAL SYMPOSIUM ON FAMILY ISSUES,4,0.013
NATURE REVIEWS IMMUNOLOGY,4,0.013
NATURE REVIEWS RHEUMATOLOGY,4,0.013
NEPHRON CLINICAL PRACTICE,4,0.013
NETHERLANDS JOURNAL OF MEDICINE,4,0.013
NEUROBIOLOGY OF STRESS,4,0.013
NEUROENDOCRINOLOGY,4,0.013
NEUROPHARMACOLOGY,4,0.013
NEUROPSYCHOLOGY,4,0.013
NORDIC JOURNAL OF PSYCHIATRY,4,0.013
OBSTETRICAL GYNECOLOGICAL SURVEY,4,0.013
OMICS A JOURNAL OF INTEGRATIVE BIOLOGY,4,0.013
PAEDIATRIC RESPIRATORY REVIEWS,4,0.013
PEDIATRIC TRANSPLANTATION,4,0.013
PERSPECTIVES IN BIOLOGY AND MEDICINE,4,0.013
PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,4,0.013
PHYSICIAN ASSISTANT CLINICS,4,0.013
PLASTIC AND RECONSTRUCTIVE SURGERY,4,0.013
PNEUMOLOGIE,4,0.013
PRESSE MEDICALE,4,0.013
PROGRESS IN PEDIATRIC CARDIOLOGY,4,0.013
PSYCHIATRY INVESTIGATION,4,0.013
PSYCHOLOGICAL TRAUMA THEORY RESEARCH PRACTICE AND POLICY,4,0.013
PSYCHOLOGY OF RELIGION AND SPIRITUALITY,4,0.013
REDOX REPORT,4,0.013
RENAL FAILURE,4,0.013
REVIEW OF GENERAL PSYCHOLOGY,4,0.013
REVISTA BRASILEIRA DE GINECOLOGIA E OBSTETRICIA,4,0.013
REVISTA DA ASSOCIACAO MEDICA BRASILEIRA,4,0.013
REVUE DES MALADIES RESPIRATOIRES,4,0.013
RHEUMATIC DISEASE CLINICS OF NORTH AMERICA,4,0.013
RHEUMATOLOGY INTERNATIONAL,4,0.013
SAUDI JOURNAL OF KIDNEY DISEASES AND TRANSPLANTATION,4,0.013
SAUDI PHARMACEUTICAL JOURNAL,4,0.013
SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,4,0.013
SCIENTIFIC WORLD JOURNAL,4,0.013
SEMINARS IN PERINATOLOGY,4,0.013
SLEEP SCIENCE,4,0.013
SOCIAL THEORY HEALTH,4,0.013
SOCIAL WORK IN HEALTH CARE,4,0.013
STATISTICAL METHODS IN MEDICAL RESEARCH,4,0.013
STRESS AND CARDIOVASCULAR DISEASE,4,0.013
SUPPORTIVE CARE IN CANCER,4,0.013
SYSTEMATIC REVIEWS,4,0.013
TELEMEDICINE AND E HEALTH,4,0.013
THERAPEUTICS AND CLINICAL RISK MANAGEMENT,4,0.013
TOXICOLOGY MECHANISMS AND METHODS,4,0.013
TOXINS,4,0.013
TRENDS IN ENDOCRINOLOGY AND METABOLISM,4,0.013
TRENDS IN PHARMACOLOGICAL SCIENCES,4,0.013
TURK KARDIYOLOJI DERNEGI ARSIVI ARCHIVES OF THE TURKISH SOCIETY OF CARDIOLOGY,4,0.013
TURKISH JOURNAL OF MEDICAL SCIENCES,4,0.013
ULTRASOUND IN MEDICINE AND BIOLOGY,4,0.013
ULTRASOUND IN OBSTETRICS GYNECOLOGY,4,0.013
UROLITHIASIS,4,0.013
VASCULAR PHARMACOLOGY,4,0.013
WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY,4,0.013
WORLD JOURNAL OF PEDIATRICS,4,0.013
WORLD NEUROSURGERY,4,0.013
YOUTH SOCIETY,4,0.013
ACADEMIC RADIOLOGY,3,0.01
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,3,0.01
ACTA CLINICA CROATICA,3,0.01
ACTA ENDOCRINOLOGICA BUCHAREST,3,0.01
ACTA NEUROPSYCHIATRICA,3,0.01
ACTA PHARMACOLOGICA SINICA,3,0.01
ACTA PHYSIOLOGICA HUNGARICA,3,0.01
ADVANCES IN CLINICAL CHEMISTRY,3,0.01
ADVANCES IN PHYSIOLOGY EDUCATION,3,0.01
AGE,3,0.01
AGGRESSIVE BEHAVIOR,3,0.01
AIDS REVIEWS,3,0.01
ALCOHOL RESEARCH CURRENT REVIEWS,3,0.01
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,3,0.01
ALZHEIMERS RESEARCH THERAPY,3,0.01
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,3,0.01
AMERICAN JOURNAL OF CHINESE MEDICINE,3,0.01
AMERICAN JOURNAL OF EMERGENCY MEDICINE,3,0.01
AMERICAN JOURNAL OF PHYSIOLOGY CELL PHYSIOLOGY,3,0.01
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,3,0.01
AMERICAN JOURNAL OF THERAPEUTICS,3,0.01
AMERICAN SOCIOLOGICAL REVIEW,3,0.01
ANNALS OF EMERGENCY MEDICINE,3,0.01
ANNALS OF HEMATOLOGY,3,0.01
ANNALS OF SAUDI MEDICINE,3,0.01
ANNALS OF VASCULAR SURGERY,3,0.01
ANTICANCER RESEARCH,3,0.01
ANXIETY STRESS AND COPING,3,0.01
APPLIED GEOGRAPHY,3,0.01
ARCHIVES DE PEDIATRIE,3,0.01
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,3,0.01
ARCHIVES OF ENDOCRINOLOGY METABOLISM,3,0.01
ARCHIVES OF ENVIRONMENTAL HEALTH,3,0.01
ARCHIVES OF ORAL BIOLOGY,3,0.01
ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,3,0.01
ARCHIVOS LATINOAMERICANOS DE NUTRICION,3,0.01
AUTOIMMUNITY REVIEWS,3,0.01
BAILLIERES CLINICAL ENDOCRINOLOGY AND METABOLISM,3,0.01
BALKAN MEDICAL JOURNAL,3,0.01
BANGLADESH JOURNAL OF MEDICAL SCIENCE,3,0.01
BEHAVIORAL AND BRAIN SCIENCES,3,0.01
BEHAVIOURAL PHARMACOLOGY,3,0.01
BEST PRACTICE RESEARCH CLINICAL OBSTETRICS GYNAECOLOGY,3,0.01
BIOCHEMIA MEDICA,3,0.01
BIOCHIMICA ET BIOPHYSICA ACTA BIOMEMBRANES,3,0.01
BIOCHIMICA ET BIOPHYSICA ACTA GENERAL SUBJECTS,3,0.01
BIOCHIMICA ET BIOPHYSICA ACTA PROTEINS AND PROTEOMICS,3,0.01
BIOLOGICAL CHEMISTRY,3,0.01
BIOLOGICAL CONSEQUENCES OF SOCIOECONOMIC INEQUALITIES,3,0.01
BIOMEDICA,3,0.01
BIOMEDICAL RESEARCH INDIA,3,0.01
BIOPHYSICAL JOURNAL,3,0.01
BIRTH ISSUES IN PERINATAL CARE,3,0.01
BJU INTERNATIONAL,3,0.01
BLOOD PURIFICATION,3,0.01
BLOOD REVIEWS,3,0.01
BMC SPORTS SCIENCE MEDICINE AND REHABILITATION,3,0.01
BOSNIAN JOURNAL OF BASIC MEDICAL SCIENCES,3,0.01
BRAIN AND BEHAVIOR,3,0.01
BRITISH JOURNAL OF GENERAL PRACTICE,3,0.01
BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE,3,0.01
CANCER DETECTION AND PREVENTION,3,0.01
CANCERS,3,0.01
CARDIOVASCULAR DISEASE IN RACIAL AND ETHNIC MINORITIES,3,0.01
CARDIOVASCULAR GENETICS AND GENOMICS IN CLINICAL PRACTICE,3,0.01
CARDIOVASCULAR PATHOLOGY,3,0.01
CARDIOVASCULAR THERAPEUTICS,3,0.01
CELL,3,0.01
CENTRAL EUROPEAN JOURNAL OF PUBLIC HEALTH,3,0.01
CEREAL CHEMISTRY,3,0.01
CEREBRAL CORTEX,3,0.01
CHILD CARE HEALTH AND DEVELOPMENT,3,0.01
CLINICA E INVESTIGACION EN ARTERIOSCLEROSIS,3,0.01
CLINICAL AND INVESTIGATIVE MEDICINE MEDECINE CLINIQUE ET EXPERIMENTALE,3,0.01
CLINICAL BREAST CANCER,3,0.01
CLINICAL NURSE SPECIALIST,3,0.01
CLINICS IN DERMATOLOGY,3,0.01
CNS DRUGS,3,0.01
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,3,0.01
COMPUTING IN CARDIOLOGY CONFERENCE,3,0.01
CONTEMPORARY CLINICAL TRIALS COMMUNICATIONS,3,0.01
CRITICAL CARE CLINICS,3,0.01
CULTURE MEDICINE AND PSYCHIATRY,3,0.01
CURRENT ALLERGY AND ASTHMA REPORTS,3,0.01
CURRENT DEVELOPMENTS IN NUTRITION,3,0.01
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,3,0.01
CURRENT EPIDEMIOLOGY REPORTS,3,0.01
CURRENT GENOMICS,3,0.01
CURRENT HYPERTENSION REVIEWS,3,0.01
CURRENT NEUROLOGY AND NEUROSCIENCE REPORTS,3,0.01
CURRENT OPINION IN OBSTETRICS GYNECOLOGY,3,0.01
CURRENT OPINION IN UROLOGY,3,0.01
CURRENT OSTEOPOROSIS REPORTS,3,0.01
CURRENT PSYCHOLOGY,3,0.01
CURRENT RESEARCH IN NUTRITION AND FOOD SCIENCE,3,0.01
CURRENT RHEUMATOLOGY REPORTS,3,0.01
CURRENT TOPICS IN MEDICINAL CHEMISTRY,3,0.01
CURRENT WOMENS HEALTH REVIEWS,3,0.01
DETERMINANTS OF MINORITY MENTAL HEALTH AND WELLNESS,3,0.01
DEUTSCHES ARZTEBLATT INTERNATIONAL,3,0.01
DEVELOPMENTAL REVIEW,3,0.01
DIABETES IN WOMEN,3,0.01
DIABETES IN WOMEN PATHOPHYSIOLOGY AND THERAPY,3,0.01
DIETARY FIBER AND HEALTH,3,0.01
DIETARY SUGARS AND HEALTH,3,0.01
DISEASES OF THE COLON RECTUM,3,0.01
ECHO RESEARCH AND PRACTICE,3,0.01
EFFECTS OF PERSISTENT AND BIOACTIVE ORGANIC POLLUTANTS ON HUMAN HEALTH,3,0.01
EFSA JOURNAL,3,0.01
ELIFE,3,0.01
EMBO REPORTS,3,0.01
EMERGENCIAS,3,0.01
EMOTION,3,0.01
ENDOCRINOLOGY AND METABOLISM,3,0.01
ENVIRONMENTAL TOXICOLOGY,3,0.01
EPIDEMIOLOGY AND INFECTION,3,0.01
EPIDEMIOLOGY AND PSYCHIATRIC SCIENCES,3,0.01
EPIGENOMICS,3,0.01
ETHNIC AND RACIAL STUDIES,3,0.01
EUROPEAN CARDIOLOGY REVIEW,3,0.01
EUROPEAN CHILD ADOLESCENT PSYCHIATRY,3,0.01
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,3,0.01
EUROPEAN JOURNAL OF NEUROSCIENCE,3,0.01
EUROPEAN JOURNAL OF PEDIATRICS,3,0.01
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,3,0.01
EUROPEAN NEUROLOGY,3,0.01
EUROPEAN NEUROPSYCHOPHARMACOLOGY,3,0.01
EVALUATION THE HEALTH PROFESSIONS,3,0.01
EXERCISE AND SPORT SCIENCES REVIEWS,3,0.01
EXPERIMENTAL AGING RESEARCH,3,0.01
EXPERIMENTAL AND CLINICAL TRANSPLANTATION,3,0.01
EXPERIMENTAL DIABETES RESEARCH,3,0.01
EXPERT REVIEW OF NEUROTHERAPEUTICS,3,0.01
FAMILY PRACTICE,3,0.01
FIBRINOLYSIS PROTEOLYSIS,3,0.01
FOOD RESEARCH INTERNATIONAL,3,0.01
FUTURE CARDIOLOGY,3,0.01
GAIT POSTURE,3,0.01
GENES,3,0.01
GENES GENOMICS,3,0.01
GERONTOLOGY,3,0.01
GEROSCIENCE,3,0.01
GESTATIONAL DIABETES DURING AND AFTER PREGNANCY,3,0.01
GROUP PROCESSES INTERGROUP RELATIONS,3,0.01
HANDBOOK OF BEHAVIOR FOOD AND NUTRITION,3,0.01
HANDBOOK OF CLINICAL NEUROLOGY,3,0.01
HANDBOOK OF NUTRITION DIET AND SLEEP,3,0.01
HEALTH EFFECTS OF CANNABIS AND CANNABINOIDS THE CURRENT STATE OF EVIDENCE AND RECOMMENDATIONS FOR RESEARCH,3,0.01
HEALTH POLICY,3,0.01
HEALTH PROMOTION JOURNAL OF AUSTRALIA,3,0.01
HEALTH PSYCHOLOGY REVIEW,3,0.01
HEALTH REPORTS,3,0.01
HEMODIALYSIS INTERNATIONAL,3,0.01
HEPATOLOGY RESEARCH,3,0.01
HORMONES INTERNATIONAL JOURNAL OF ENDOCRINOLOGY AND METABOLISM,3,0.01
HYPERTENSION FROM BASIC RESEARCH TO CLINICAL PRACTICE VOL 2,3,0.01
INDIAN HEART JOURNAL,3,0.01
INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY,3,0.01
INJURY INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,3,0.01
INTELLIGENCE,3,0.01
INTERNATIONAL BREASTFEEDING JOURNAL,3,0.01
INTERNATIONAL HANDBOOK OF ADULT MORTALITY,3,0.01
INTERNATIONAL HANDBOOKS OF POPULATION,3,0.01
INTERNATIONAL JOURNAL OF BIOMEDICINE,3,0.01
INTERNATIONAL JOURNAL OF CONSUMER STUDIES,3,0.01
INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,3,0.01
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,3,0.01
INTERNATIONAL JOURNAL OF INJURY CONTROL AND SAFETY PROMOTION,3,0.01
INTERNATIONAL JOURNAL OF NEUROSCIENCE,3,0.01
INTERNATIONAL JOURNAL OF OCCUPATIONAL MEDICINE AND ENVIRONMENTAL HEALTH,3,0.01
INTERNATIONAL JOURNAL OF OPHTHALMOLOGY,3,0.01
INTERNATIONAL JOURNAL OF PEDIATRIC OBESITY,3,0.01
INTERNATIONAL JOURNAL OF PEDIATRICS MASHHAD,3,0.01
INTERNATIONAL JOURNAL OF PREVENTIVE MEDICINE,3,0.01
INTERNATIONAL JOURNAL OF SCIENTIFIC STUDY,3,0.01
INTERNATIONAL JOURNAL OF SPORT NUTRITION,3,0.01
IRISH JOURNAL OF MEDICAL SCIENCE,3,0.01
ISSUES IN CLINICAL CHILD PSYCHOLOGY,3,0.01
ISSUES IN MENTAL HEALTH NURSING,3,0.01
IUBMB LIFE,3,0.01
JANAC JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,3,0.01
JAPANESE HEART JOURNAL,3,0.01
JAPANESE PSYCHOLOGICAL RESEARCH,3,0.01
JAVMA JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,3,0.01
JOINT BONE SPINE,3,0.01
JORNAL DE PEDIATRIA,3,0.01
JOURNAL OF ADDICTION MEDICINE,3,0.01
JOURNAL OF ADDICTIONS NURSING,3,0.01
JOURNAL OF ANDROLOGY,3,0.01
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,3,0.01
JOURNAL OF BONE AND MINERAL METABOLISM,3,0.01
JOURNAL OF BUSINESS ETHICS,3,0.01
JOURNAL OF CARDIOVASCULAR AND THORACIC RESEARCH,3,0.01
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,3,0.01
JOURNAL OF CLINICAL ANESTHESIA,3,0.01
JOURNAL OF CLINICAL GASTROENTEROLOGY,3,0.01
JOURNAL OF CLINICAL PHARMACOLOGY,3,0.01
JOURNAL OF CLINICAL PSYCHOLOGY,3,0.01
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,3,0.01
JOURNAL OF COMMUNITY APPLIED SOCIAL PSYCHOLOGY,3,0.01
JOURNAL OF CONSUMER AFFAIRS,3,0.01
JOURNAL OF DAIRY SCIENCE,3,0.01
JOURNAL OF ENVIRONMENTAL HEALTH,3,0.01
JOURNAL OF EXERCISE REHABILITATION,3,0.01
JOURNAL OF FOOD BIOCHEMISTRY,3,0.01
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,3,0.01
JOURNAL OF FOOD ENGINEERING,3,0.01
JOURNAL OF GENE MEDICINE,3,0.01
JOURNAL OF HEALTH COMMUNICATION,3,0.01
JOURNAL OF HEART VALVE DISEASE,3,0.01
JOURNAL OF HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY MEDICAL SCIENCES,3,0.01
JOURNAL OF HUMAN LACTATION,3,0.01
JOURNAL OF HUMAN SPORT AND EXERCISE,3,0.01
JOURNAL OF IMMUNOLOGY RESEARCH,3,0.01
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,3,0.01
JOURNAL OF KRISHNA INSTITUTE OF MEDICAL SCIENCES UNIVERSITY,3,0.01
JOURNAL OF MENS HEALTH,3,0.01
JOURNAL OF MOLECULAR DIAGNOSTICS,3,0.01
JOURNAL OF NEUROTRAUMA,3,0.01
JOURNAL OF OBSTETRICS AND GYNAECOLOGY,3,0.01
JOURNAL OF ORGANIZATIONAL BEHAVIOR,3,0.01
JOURNAL OF PAEDIATRICS AND CHILD HEALTH,3,0.01
JOURNAL OF PERSONALITY ASSESSMENT,3,0.01
JOURNAL OF PSYCHIATRY NEUROSCIENCE,3,0.01
JOURNAL OF PSYCHOACTIVE DRUGS,3,0.01
JOURNAL OF PUBLIC HEALTH DENTISTRY,3,0.01
JOURNAL OF PUBLIC HEALTH MEDICINE,3,0.01
JOURNAL OF PUBLIC HEALTH POLICY,3,0.01
JOURNAL OF RESEARCH IN PERSONALITY,3,0.01
JOURNAL OF SCHOOL NURSING,3,0.01
JOURNAL OF SEX RESEARCH,3,0.01
JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,3,0.01
JOURNAL OF SPINAL CORD MEDICINE,3,0.01
JOURNAL OF STROKE,3,0.01
JOURNAL OF SUBSTANCE ABUSE TREATMENT,3,0.01
JOURNAL OF THE AMERICAN ASSOCIATION OF NURSE PRACTITIONERS,3,0.01
JOURNAL OF THE JAPANESE SOCIETY FOR FOOD SCIENCE AND TECHNOLOGY NIPPON SHOKUHIN KAGAKU KOGAKU KAISHI,3,0.01
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,3,0.01
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,3,0.01
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH PART B CRITICAL REVIEWS,3,0.01
JOURNAL OF VIRAL HEPATITIS,3,0.01
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,3,0.01
KIDNEY RESEARCH AND CLINICAL PRACTICE,3,0.01
KOREAN JOURNAL OF RADIOLOGY,3,0.01
LANDSCAPE AND URBAN PLANNING,3,0.01
LARYNGOSCOPE,3,0.01
LGBT HEALTH,3,0.01
LIPOPROTEINS ROLE IN HEALTH AND DISEASES,3,0.01
LUNG CANCER,3,0.01
LUPUS,3,0.01
MATERNAL OBESITY,3,0.01
MEAT SCIENCE,3,0.01
MECHANISMS OF AGEING AND DEVELOPMENT,3,0.01
MEDICAL ANTHROPOLOGY QUARTERLY,3,0.01
MEDICAL JOURNAL OF AUSTRALIA,3,0.01
METABOLIC MEDICINE AND SURGERY,3,0.01
METABOLITES,3,0.01
MILBANK QUARTERLY,3,0.01
MILITARY PSYCHOLOGY,3,0.01
MINI REVIEWS IN MEDICINAL CHEMISTRY,3,0.01
MODULATION OF SLEEP BY OBESITY DIABETES AGE AND DIET,3,0.01
MOLECULAR BASIS OF NUTRITION AND AGING,3,0.01
MOLECULAR DIAGNOSIS THERAPY,3,0.01
MOLECULAR GENETICS GENOMIC MEDICINE,3,0.01
MOLECULAR METABOLISM,3,0.01
MONALDI ARCHIVES FOR CHEST DISEASE,3,0.01
MOUNT SINAI JOURNAL OF MEDICINE,3,0.01
NATURE,3,0.01
NATURE REVIEWS GASTROENTEROLOGY HEPATOLOGY,3,0.01
NATURE REVIEWS GENETICS,3,0.01
NEUROLOGICAL SCIENCES,3,0.01
NEUROLOGY ASIA,3,0.01
NEUROSCIENCE,3,0.01
NEUROTOXICOLOGY AND TERATOLOGY,3,0.01
NIGERIAN JOURNAL OF CLINICAL PRACTICE,3,0.01
NORDIC STUDIES ON ALCOHOL AND DRUGS,3,0.01
NURSING HEALTH SCIENCES,3,0.01
NUTRICION CLINICA Y DIETETICA HOSPITALARIA,3,0.01
NUTRITION AND METABOLISM UNDERLYING MECHANISMS AND CLINICAL CONSEQUENCES,3,0.01
NUTRITION BULLETIN,3,0.01
OCCUPATIONAL MEDICINE OXFORD,3,0.01
OPHTHALMIC EPIDEMIOLOGY,3,0.01
OPHTHALMOLOGY,3,0.01
ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,3,0.01
PAEDIATRICS CHILD HEALTH,3,0.01
PAKISTAN JOURNAL OF MEDICAL HEALTH SCIENCES,3,0.01
PEDIATRIC ALLERGY AND IMMUNOLOGY,3,0.01
PEDIATRIC ALLERGY IMMUNOLOGY AND PULMONOLOGY,3,0.01
PEDIATRIC OBESITY ETIOLOGY PATHOGENESIS AND TREATMENT,3,0.01
PERCEPTUAL AND MOTOR SKILLS,3,0.01
PERIODONTOLOGY 2000,3,0.01
PERITONEAL DIALYSIS INTERNATIONAL,3,0.01
PHARMACOLOGICAL REVIEWS,3,0.01
PHYSICAL THERAPY,3,0.01
PHYSIOLOGICAL MEASUREMENT,3,0.01
PHYSIOLOGY,3,0.01
PLATELETS,3,0.01
POLISH JOURNAL OF RADIOLOGY,3,0.01
