Title,Authors,Corporate_Authors,Editors,Book_Editors,Source_Title,Publication_Date,Publication_Year,Volume,Issue,Part_Number,Supplement,Special_Issue,Beginning_Page,Ending_Page,Article_Number,DOI,Conference_Title,Conference_Date,Total_Citations,Average_per_Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PLASMA-FIBRINOGEN - LEVELS AND CORRELATES IN YOUNG-ADULTS,"FOLSOM, AR; QAMHIEH, HT; FLACK, JM; HILNER, JE; LIU, K; HOWARD, BV; TRACY, RP",,,,AMERICAN JOURNAL OF EPIDEMIOLOGY,DEC 15 1993,1993,138,12,,,,1023,1036,,10.1093/oxfordjournals.aje.a116821,,,103,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,11,6,7,3,6,6,5,4,4,5,10,3,6,1,2,2,2,2,1,1,0,3,1,0,0
Association of nonalcoholic fatty liver disease with subclinical myocardial remodeling and dysfunction: A population-based study,"VanWagner, Lisa B.; Wilcox, Jane E.; Colangelo, Laura A.; Lloyd-Jones, Donald M.; Carr, J. Jeffrey; Lima, Joao A.; Lewis, Cora E.; Rinella, Mary E.; Shah, Sanjiv J.",,,,HEPATOLOGY,SEP 2015,2015,62,3,,,,773,783,,10.1002/hep.27869,,,101,16.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,21,20,24,14,0
Intra-individual daily and yearly variability in actigraphically recorded sleep measures: the CARDIA study,"Knutson, Kristen L.; Rathouz, Paul J.; Yan, Lijing L.; Liu, Kiang; Lauderdale, Diane S.",,,,SLEEP,JUN 1 2007,2007,30,6,,,,793,796,,10.1093/sleep/30.6.793,,,101,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,6,17,5,6,3,9,5,8,10,11,10,0
"Gender- and race-specific determination of albumin excretion rate using albumin-to-creatinine ratio in single, untimed urine specimens - The Coronary Artery Risk Development in Young Adults Study","Jacobs, DR; Murtaugh, MA; Steffes, M; Yu, XH; Roseman, J; Goetz, FC",,,,AMERICAN JOURNAL OF EPIDEMIOLOGY,JUN 15 2002,2002,155,12,,,,1114,1119,,10.1093/aje/155.12.1114,,,98,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,7,15,5,8,8,4,8,6,1,4,4,3,3,1,0
"Marijuana use, diet, body mass index, and cardiovascular risk factors (from the CARDIA Study)","Rodondi, Nicolas; Pletcher, Mark James; Liu, Kiang; Hulley, Stephen Benjamin; Sidney, Stephen",,,,AMERICAN JOURNAL OF CARDIOLOGY,AUG 15 2006,2006,98,4,,,,478,484,,10.1016/j.amjcard.2006.03.024,,,97,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,6,2,7,6,6,17,8,12,10,8,0
Stability of the Pittsburgh sleep quality index and the epworth sleepiness questionnaires over 1 year in early middle-aged adults: The CARDIA study,"Knutson, Kristen L.; Rathouz, Paul J.; Yan, Lijing L.; Liu, Kiang; Lauderdale, Diane S.",,,,SLEEP,NOV 1 2006,2006,29,11,,,,1503,1506,,10.1093/sleep/29.11.1503,,,96,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,8,9,7,13,6,14,12,6,3,2,0
Changes in risk factors for cardiovascular disease by baseline weight status in young adults who maintain or gain weight over 15 years: the CARDIA study,"Truesdale, K. P.; Stevens, J.; Lewis, C. E.; Schreiner, P. J.; Loria, C. M.; Cai, J.",,,,INTERNATIONAL JOURNAL OF OBESITY,SEP 2006,2006,30,9,,,,1397,1407,,10.1038/sj.ijo.0803307,,,96,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,10,3,10,9,11,7,10,4,7,7,0
THE LEUKOCYTE COUNT - CORRELATES AND RELATIONSHIP TO CORONARY RISK-FACTORS - THE CARDIA STUDY,"FRIEDMAN, GD; TEKAWA, I; GRIMM, RH; MANOLIO, T; SHANNON, SG; SIDNEY, S",,,,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,DEC 1990,1990,19,4,,,,889,893,,10.1093/ije/19.4.889,,,96,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,2,6,4,0,1,0,4,8,3,7,4,2,5,4,1,3,4,1,5,5,5,5,3,1,0,1,0
Regular Consumption from Fast Food Establishments Relative to Other Restaurants Is Differentially Associated with Metabolic Outcomes in Young Adults,"Duffey, Kiyah J.; Gordon-Larsen, Penny; Steffen, Lyn M.; Jacobs, David R., Jr.; Popkin, Barry M.",,,,JOURNAL OF NUTRITION,NOV 2009,2009,139,11,,,,2113,2118,,10.3945/jn.109.109520,,,95,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,7,14,10,10,9,11,8,7,6,0
Neighborhood characteristics and components of the insulin resistance syndrome in young adults - The Coronary Artery Risk Development in Young Adults (CARDIA) Study,"Roux, AVD; Jacobs, DR; Kiefe, CI",,,,DIABETES CARE,NOV 2002,2002,25,11,,,,1976,1982,,10.2337/diacare.25.11.1976,,,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,9,8,8,5,7,9,4,6,4,5,4,3,4,0
Healthy Lifestyle Change and Subclinical Atherosclerosis in Young Adults Coronary Artery Risk Development in Young Adults (CARDIA) Study,"Spring, Bonnie; Moller, Arlen C.; Colangelo, Laura A.; Siddique, Juned; Roehrig, Megan; Daviglus, Martha L.; Polak, Joseph F.; Reis, Jared P.; Sidney, Stephen; Liu, Kiang",,,,CIRCULATION,JUL 1 2014,2014,130,1,,,,10,+,,10.1161/CIRCULATIONAHA.113.005445,,,94,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,19,20,13,19,8,0
The Relationship Between Neighborhood Poverty and Alcohol Use: Estimation by Marginal Structural Models,"Cerda, Magdalena; Diez-Roux, Ana V.; Tchetgen, Eric Tchetgen; Gordon-Larsen, Penny; Kiefe, Catarina",,,,EPIDEMIOLOGY,JUL 2010,2010,21,4,,,,482,489,,10.1097/EDE.0b013e3181e13539,,,94,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,13,12,9,9,13,11,9,6,0
"Menthol cigarettes, smoking cessation, atherosclerosis, and pulmonary function - The Coronary Artery Risk Development in Young Adults (CARDIA) Study","Pletcher, Mark J.; Hulley, Benjamin J.; Houston, Thomas; Kiefe, Catarina I.; Benowitz, Neal; Sidney, Stephen",,,,ARCHIVES OF INTERNAL MEDICINE,SEP 25 2006,2006,166,17,,,,1915,1922,,10.1001/archinte.166.17.1915,45th Annual Conference on Cardiovascular Disease Epidemiology and Prevention,"APR 29-MAY 02, 2005",94,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,14,16,3,9,7,3,2,10,6,2,5,0
Plasma F-2-isoprostanes and coronary artery calcification: The CARDIA study,"Gross, M; Steffes, M; Jacobs, DR; Yu, XH; Lewis, L; Lewis, CE; Loria, CM",,,,CLINICAL CHEMISTRY,JAN 2005,2005,51,1,,,,125,131,,10.1373/clinchem.2004.037630,,,94,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,8,9,9,2,8,8,4,7,10,8,3,1,1,0
SYMPTOM-LIMITED GRADED TREADMILL EXERCISE TESTING IN YOUNG-ADULTS IN THE CARDIA STUDY,"SIDNEY, S; HASKELL, WL; CROW, R; STERNFELD, B; OBERMAN, A; ARMSTRONG, MA; CUTTER, GR; JACOBS, DR; SAVAGE, PJ; VANHORN, L",,,,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,FEB 1992,1992,24,2,,,,177,183,,,,,93,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,3,3,4,2,2,2,3,3,0,1,2,2,2,7,8,5,2,4,1,6,3,4,7,8,1,0
"Longitudinal trends in diet and effects of sex, race, and education on dietary quality score change: the Coronary Artery Risk Development in Young Adults study","Sijtsma, Femke P. C.; Meyer, Katie A.; Steffen, Lyn M.; Shikany, James M.; Van Horn, Linda; Harnack, Lisa; Kromhout, Daan; Jacobs, David R., Jr.",,,,AMERICAN JOURNAL OF CLINICAL NUTRITION,MAR 2012,2012,95,3,,,,580,586,,10.3945/ajcn.111.020719,,,92,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,13,14,13,12,16,4,0
Association of lipoprotein-associated phospholipase A(2) mass and activity with calcified coronary plaque in young adults - The CARDIA study,"Iribarren, C; Gross, MD; Darbinian, JA; Jacobs, DR; Sidney, S; Loria, CM",,,,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,JAN 2005,2005,25,1,,,,216,221,,10.1161/01.ATV.0000148322.89911.44,,,92,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,17,10,6,9,8,4,2,4,5,3,3,3,1,0,0
Television viewing and cardiovascular risk factors in young adults: The CARDIA study,"Sidney, S; Sternfeld, B; Haskell, WL; Jacobs, DR; Chesney, AM; Hulley, SB",,,,ANNALS OF EPIDEMIOLOGY,MAR 1996,1996,6,2,,,,154,159,,10.1016/1047-2797(95)00135-2,,,92,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,5,3,1,3,2,2,7,7,7,1,10,6,3,2,5,3,6,6,4,3,0,0
Association Between Duration of Overall and Abdominal Obesity Beginning in Young Adulthood and Coronary Artery Calcification in Middle Age,"Reis, Jared P.; Loria, Catherine M.; Lewis, Cora E.; Powell-Wiley, Tiffany M.; Wei, Gina S.; Carr, J. Jeffrey; Terry, James G.; Liu, Kiang",,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JUL 17 2013,2013,310,3,,,,280,288,,10.1001/jama.2013.7833,,,89,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,14,15,13,12,6,0
Blood pressure in young black and whites: Relevance of obesity and lifestyle factors in determining differences - The CARDIA study,"Liu, K; Ruth, KJ; Flack, JM; JonesWebb, R; Burke, G; Savage, PJ; Hulley, SB",,,,CIRCULATION,JAN 1 1996,1996,93,1,,,,60,66,,10.1161/01.CIR.93.1.60,,,89,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4,6,2,3,6,3,6,6,2,4,5,6,3,5,1,2,2,3,1,1,2,0
"Childhood abuse, parental warmth, and adult multisystem biological risk in the Coronary Artery Risk Development in Young Adults study","Carroll, Judith E.; Gruenewald, Tara L.; Taylor, Shelley E.; Janicki-Deverts, Denise; Matthews, Karen A.; Seeman, Teresa E.",,,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,OCT 15 2013,2013,110,42,,,,17149,17153,,10.1073/pnas.1315458110,,,88,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,20,19,11,15,8,0
"Alcohol consumption, binge drinking, and early coronary calcification: Findings from the coronary artery risk development in young adults (CARDIA) study","Pletcher, MJ; Varosy, P; Kiefe, CI; Lewis, CE; Sidney, S; Hulley, SB",,,,AMERICAN JOURNAL OF EPIDEMIOLOGY,MAR 1 2005,2005,161,5,,,,423,433,,10.1093/aje/kwi062,,,88,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,5,4,11,5,9,5,3,7,6,6,7,4,1,0
Prevalence of Cardiovascular Disease Risk Factors Among National Football League Players,"Tucker, Andrew M.; Vogel, Robert A.; Lincoln, Andrew E.; Dunn, Reginald E.; Ahrensfield, Debra C.; Allen, Thomas W.; Castle, Lon W.; Heyer, Robert A.; Pellman, Elliot J.; Strollo, Patrick J., Jr.; Wilson, Peter W. F.; Yates, Anthony P.",,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,MAY 27 2009,2009,301,20,,,,2111,2119,,10.1001/jama.2009.716,,,87,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,6,9,8,7,9,6,10,10,5,0
"A 20-year prospective study of childbearing and incidence of diabetes in young women, controlling for glycemia before conception - The Coronary Artery Risk Development in Young Adults (CARDIA) Study","Gunderson, Erica P.; Lewis, Cora E.; Tsai, Ai-Lin; Chiang, Vicky; Carnethon, Mercedes; Quesenberry, Charles P., Jr.; Sidney, Stephen",,,,DIABETES,DEC 2007,2007,56,12,,,,2990,2996,,10.2337/db07-1024,,,87,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,4,5,8,8,12,9,7,6,8,0
DISTRIBUTION OF LIPOPROTEINS AND APOLIPOPROTEINS IN YOUNG-ADULTS - THE CARDIA STUDY,"DONAHUE, RP; JACOBS, DR; SIDNEY, S; WAGENKNECHT, LE; ALBERS, JJ; HULLEY, SB",,,,ARTERIOSCLEROSIS,SEP-OCT 1989,1989,9,5,,,,656,664,,10.1161/01.ATV.9.5.656,,,87,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,5,5,5,5,7,8,6,0,5,2,6,1,2,2,1,0,3,0,1,0,2,2,2,2,0,0,1,0,0
Relationship of Early Life Stress and Psychological Functioning to Blood Pressure in the CARDIA Study,"Lehman, Barbara J.; Taylor, Shelley E.; Kiefe, Catarina I.; Seeman, Teresa E.",,,,HEALTH PSYCHOLOGY,MAY 2009,2009,28,3,,,,338,346,,10.1037/a0013785,,,85,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,11,7,6,8,6,10,8,7,4,0
Association between serum gamma-glutamyltransferase and dietary factors: the Coronary Artery Risk Development in Young Adults (CARDIA) Study,"Lee, DH; Steffen, LM; Jacobs, DR",,,,AMERICAN JOURNAL OF CLINICAL NUTRITION,APR 2004,2004,79,4,,,,600,605,,,,,84,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,4,9,3,5,8,8,5,1,5,3,4,7,2,3,0
Association of serum carotenoids and tocopherols with gamma-glutamyltransferase: The Cardiovascular Risk Development in Young Adults (CARDIA) Study,"Lee, DH; Gross, MD; Jacobs, DR",,,,CLINICAL CHEMISTRY,MAR 2004,2004,50,3,,,,582,588,,10.1373/clinchem.2003.028852,,,84,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,7,11,3,5,8,4,5,4,6,1,5,8,1,2,0
RELATION OF RISK FACTOR LEVELS IN YOUNG ADULTHOOD TO PARENTAL HISTORY OF DISEASE - THE CARDIA STUDY,"BURKE, GL; SAVAGE, PJ; SPRAFKA, JM; SELBY, JV; JACOBS, DR; PERKINS, LL; ROSEMAN, JM; HUGHES, GH; FABSITZ, RR",,,,CIRCULATION,SEP 1991,1991,84,3,,,,1176,1187,,10.1161/01.CIR.84.3.1176,,,84,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,7,4,4,3,7,3,7,6,3,3,5,3,1,4,1,3,1,2,2,1,0,1,2,0,0
The Relation Between Body Size Perception and Change in Body Mass Index Over 13 Years,"Lynch, Elizabeth; Liu, Kiang; Wei, Gina S.; Spring, Bonnie; Kiefe, Catarina; Greenland, Philip",,,,AMERICAN JOURNAL OF EPIDEMIOLOGY,APR 1 2009,2009,169,7,,,,857,866,,10.1093/aje/kwn412,,,82,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,5,8,9,8,10,9,15,4,0
"Serum adiponectin in young adults - Interactions with central adiposity, circulating levels of glucose, and insulin resistance: The CARDIA study","Steffes, MW; Gross, MD; Schreiner, PJ; Yu, XH; Hilner, JE; Gingerich, R; Jacobs, DR",,,,ANNALS OF EPIDEMIOLOGY,AUG 2004,2004,14,7,,,,492,498,,10.1016/j.annepidem.2003.10.006,,,82,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,14,7,6,8,6,7,4,6,4,1,2,2,5,0,0
