Name,Rank,Web_of_Science_Documents,Times_Cited,Percent_Docs_Cited,Quartile,Five_Year_Impact_Factor,Article_Influence,Category_Normalized_Citation_Impact,Cited_Half_Life,Eigenfactor,Immediacy_Index,Impact_Factor_wo_Self_Cites,Journal_Impact_Factor,Journal_Normalized_Citation_Impact,Percent_All_Open_Access_Documents,Pecent_Bronze_Documents,Percent_DOAJ_Gold_Documents,Percent_Green_Accepted_Documents,Percent_Green_Published_Documents,Percent_Other_Gold_Documents,All_Open_Access_Documents,Bronze_Documents,DOAJ_Gold_Documents,Green_Accepted_Documents,Green_Published_Documents,Other_Gold_Documents
TRANSLATIONAL PSYCHIATRY,132,2,21,100,Q1,5.904,1.96,1.73835,3.7,0.0295,0.879,5.104,5.28,1.065,100,0,100,0,100,0,2,0,2,0,2,0
MOLECULAR PSYCHIATRY,135,1,20,100,Q1,12.455,4.712,3.6903,5.3,0.0547,6.876,12.08,12.384,1.05,0,0,0,0,0,0,0,0,0,0,0,0
NEUROIMAGE,135,1,20,100,Q1,6.682,2.24,1.2745,8.4,0.1254,1.532,4.982,5.902,0.71,100,0,0,100,0,0,1,0,0,1,0,0
FRONTIERS IN PHARMACOLOGY,135,1,20,100,Q1,4.604,0.982,0.9989,2.6,0.0423,0.629,4.015,4.225,1.01,100,0,100,0,100,0,1,0,1,0,1,0
EUROPEAN RESPIRATORY JOURNAL,138,1,19,100,Q1,11.706,3.945,0.7484,7.7,0.063,4.858,11.218,12.339,0.4,100,100,0,100,100,0,1,1,0,1,1,0
SLEEP MEDICINE,138,1,19,100,Q2,3.787,1.098,1.1093,6.8,0.0165,0.715,2.784,3.038,0.89,100,0,0,100,0,0,1,0,0,1,0,0
ANNALS OF CLINICAL RESEARCH,140,1,18,100,N/A,n/a,n/a,0.6035,n/a,n/a,n/a,n/a,n/a,1.04,0,0,0,0,0,0,0,0,0,0,0,0
BMJ OPEN,140,2,18,100,Q2,2.992,1.035,0.44135,3.5,0.1255,0.336,2.312,2.496,0.575,100,0,100,0,100,0,2,0,2,0,2,0
JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION,142,1,17,100,Q3,2.524,0.557,0.4919,13.4,0.0026,0.916,2.194,2.297,0.58,0,0,0,0,0,0,0,0,0,0,0,0
MATURITAS,142,2,17,100,Q1,3.744,0.963,1.1829,6.7,0.0107,0.724,3.494,3.63,1.295,100,0,0,100,0,0,2,0,0,2,0,0
KIDNEY INTERNATIONAL,142,2,17,100,Q1,8.967,2.988,1.51075,11.5,0.0441,2.577,8.501,8.945,0.54,100,0,0,100,0,0,2,0,0,2,0,0
ADDICTION,142,3,17,66.66666667,Q1,6.579,2.519,0.729666667,9,0.0308,2.297,5.998,6.343,0.42,100,0,0,66.66666667,33.33333333,0,3,0,0,2,1,0
EUROPEAN JOURNAL OF NUTRITION,142,1,17,100,Q1,4.348,0.939,1.4284,3.9,0.0121,2.368,4.51,4.664,1.25,100,0,0,100,0,0,1,0,0,1,0,0
GASTROENTEROLOGY,147,1,16,100,Q1,18.785,6.597,1.5273,9.1,0.104,5.583,16.642,17.373,0.4,100,0,0,100,0,0,1,0,0,1,0,0
AMERICAN JOURNAL OF NEPHROLOGY,147,1,16,100,Q1,3.369,1.137,0.7076,7.4,0.0077,0.626,3.34,3.411,0.71,100,100,0,0,100,0,1,1,0,0,1,0
HUMAN MOLECULAR GENETICS,147,1,16,100,Q1,5.361,2.091,0.3643,8.7,0.0642,1.438,4.95,5.1,0.22,100,100,0,0,100,0,1,1,0,0,1,0
INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,150,1,15,100,Q2,2.213,0.643,0.3981,8.1,0.0037,0.254,1.806,2.139,0.62,0,0,0,0,0,0,0,0,0,0,0,0
INFLAMMATION RESEARCH,150,1,15,100,Q3,3.057,0.711,0.5206,7.6,0.0044,0.969,3.126,3.174,0.93,100,0,0,100,0,0,1,0,0,1,0,0
BMJ OPEN DIABETES RESEARCH & CARE,150,2,15,100,Q3,n/a,n/a,0.5728,3.2,0.0045,0.22,3.118,3.183,0.825,100,0,100,0,100,0,2,0,2,0,2,0
ANNALS OF FAMILY MEDICINE,150,1,15,100,Q1,6.347,2.645,0.8596,7.4,0.0109,1.614,4.482,4.686,0.28,100,100,0,0,100,0,1,1,0,0,1,0
INTERNATIONAL JOURNAL OF HEALTH CARE FINANCE & ECONOMICS,154,1,14,100,N/A,n/a,n/a,0.7712,n/a,n/a,n/a,n/a,n/a,1.77,100,0,0,100,0,0,1,0,0,1,0,0
JOURNAL OF ASTHMA,154,1,14,100,Q3,1.954,0.547,0.7051,7,0.005,1,1.728,1.899,1.31,100,0,0,100,0,0,1,0,0,1,0,0
SCIENTIFIC REPORTS,154,1,14,100,Q1,4.576,1.263,0.8197,3.1,1.2312,0.527,3.788,3.998,0.63,100,0,100,0,100,0,1,0,1,0,1,0
CIRCULATION-ARRHYTHMIA AND ELECTROPHYSIOLOGY,157,1,13,100,Q1,5.112,1.963,0.646,5.6,0.0166,1.029,3.996,4.393,0.47,100,100,0,100,0,0,1,1,0,1,0,0
JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,157,1,13,100,Q1,3.49,0.917,0.8163,8.2,0.0045,1.987,3.374,3.531,0.77,100,100,0,100,0,0,1,1,0,1,0,0
BLOOD,157,1,13,100,Q1,14.823,4.979,1.2983,9.1,0.2053,3.19,16.722,17.543,0.41,100,100,0,0,100,0,1,1,0,0,1,0
JOURNAL OF INVESTIGATIVE MEDICINE,160,1,12,100,Q2,2.368,0.663,0.2592,6.7,0.0029,0.565,2.266,2.304,0.48,0,0,0,0,0,0,0,0,0,0,0,0
JOURNAL OF CLINICAL HYPERTENSION,161,2,11,100,Q2,2.696,0.768,1.35715,5.5,0.007,0.984,2.195,2.719,2.26,100,50,0,100,0,0,2,1,0,2,0,0
LIVER INTERNATIONAL,161,2,11,100,Q1,4.265,1.317,0.84535,4.9,0.0202,1.409,4.949,5.175,0.705,100,0,0,100,0,0,2,0,0,2,0,0
EUROPEAN JOURNAL OF PREVENTIVE CARDIOLOGY,161,2,11,100,Q1,4.936,1.34,0.26305,3.3,0.0154,2.593,3.718,5.864,0.315,100,0,0,100,0,0,2,0,0,2,0,0
NEUROTOXICOLOGY,161,1,11,100,Q2,3.43,0.767,0.6734,7.9,0.0071,0.794,2.966,3.105,0.57,100,0,0,100,0,0,1,0,0,1,0,0
JOURNAL OF SPINAL CORD MEDICINE,161,1,11,100,Q3,2.031,0.51,0.6422,7.8,0.0027,0.898,1.534,1.816,1.2,100,0,0,0,100,0,1,0,0,0,1,0
ANNALS OF HUMAN GENETICS,161,1,11,100,Q4,1.442,0.474,0.2933,12.7,0.0013,0.619,1.368,1.368,0.72,100,0,0,100,0,0,1,0,0,1,0,0
PUBLIC HEALTH REPORTS,167,1,9,100,Q2,2.7,1.254,0.2753,12.4,0.0077,0.571,1.698,1.764,0.37,0,0,0,0,0,0,0,0,0,0,0,0
CLINICAL INFECTIOUS DISEASES,167,1,9,100,Q1,8.845,3.806,0.3269,8.3,0.1238,3.461,7.858,8.313,0.13,100,100,0,0,100,0,1,1,0,0,1,0
DIABETIC MEDICINE,167,1,9,100,Q3,3.253,1.043,0.4305,9.4,0.014,1.305,2.774,3.083,0.65,100,0,0,100,0,0,1,0,0,1,0,0
AMERICAN JOURNAL OF HEALTH BEHAVIOR,167,1,9,100,Q3,1.931,0.564,0.664,8.5,0.003,0.371,1.118,1.224,0.89,100,0,0,100,0,0,1,0,0,1,0,0
NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,167,1,9,100,Q3,2.533,0.497,0.1822,8.8,0.0044,0.626,2.285,2.363,0.29,0,0,0,0,0,0,0,0,0,0,0,0
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,172,1,8,100,Q2,3.306,0.522,0.3483,3.4,0.0729,0.766,2.628,3.056,0.37,100,0,0,100,0,0,1,0,0,1,0,0
BMC PUBLIC HEALTH,173,1,7,100,Q2,3.182,0.964,0.4586,6,0.0755,0.31,2.365,2.521,0.38,100,0,100,0,100,0,1,0,1,0,1,0
JOURNAL OF ELECTROCARDIOLOGY,173,1,7,100,Q4,1.147,0.312,0.282,7.9,0.0033,0.269,0.74,0.944,0.72,100,0,0,100,0,0,1,0,0,1,0,0
AUSTRALIAN JOURNAL OF DAIRY TECHNOLOGY,175,1,6,100,N/A,n/a,n/a,0.2314,n/a,n/a,n/a,n/a,n/a,0.45,0,0,0,0,0,0,0,0,0,0,0,0
MOLECULAR GENETICS AND METABOLISM,175,1,6,100,Q1,3.953,1.176,0.181,7.7,0.0101,1.043,3.893,4.17,0.23,100,0,0,100,0,0,1,0,0,1,0,0
ANNALS OF NUTRITION AND METABOLISM,175,1,6,100,Q3,3.811,1.033,0.1954,6.7,0.0059,0.831,2.785,2.848,0.45,100,100,0,0,100,0,1,1,0,0,1,0
FRONTIERS IN PUBLIC HEALTH,175,1,6,100,Q2,n/a,n/a,0.7011,3,0.0126,0.355,2.361,2.483,0.98,100,0,100,0,100,0,1,0,1,0,1,0
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,179,1,5,100,Q2,2.818,1.075,0.3276,8.9,0.0056,0.892,2.227,2.356,0.3,100,0,0,0,100,0,1,0,0,0,1,0
THORAX,179,1,5,100,Q1,8.937,3.207,0.5499,10,0.0271,2.322,8.417,8.834,0.22,100,0,0,100,0,0,1,0,0,1,0,0
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,179,1,5,100,Q1,3.227,1.3,0.2609,8.4,0.0047,1.28,2.602,2.917,0.24,100,0,0,100,0,0,1,0,0,1,0,0
DIABETES OBESITY & METABOLISM,179,1,5,100,Q1,5.734,1.667,2.3311,4.3,0.0235,1.898,5.254,5.9,1.54,100,0,0,100,0,0,1,0,0,1,0,0
GROWTH HORMONE & IGF RESEARCH,179,1,5,100,Q4,1.956,0.517,0.1199,9.5,0.0016,0.467,1.529,1.618,0.34,100,0,0,100,0,0,1,0,0,1,0,0
JOURNAL OF DUAL DIAGNOSIS,179,1,5,100,Q3,1.725,0.523,0.7251,4.8,0.001,0.118,1.185,1.231,1.6,100,0,0,100,0,0,1,0,0,1,0,0
NEUROPSYCHOPHARMACOLOGY,185,1,4,100,Q1,6.887,2.362,0.1801,7.9,0.0407,2.77,6.491,6.751,0.08,100,100,0,0,100,0,1,1,0,0,1,0
METABOLIC SYNDROME AND RELATED DISORDERS,185,2,4,50,Q4,2.009,0.458,0.10145,6.1,0.002,0.322,1.614,1.654,0.19,100,0,0,0,100,0,2,0,0,0,2,0
ETHNICITY & DISEASE,185,1,4,100,Q4,1.491,0.539,0.1854,10.6,0.0022,0.987,1.132,1.228,0.47,0,0,0,0,0,0,0,0,0,0,0,0
JOURNAL OF RENAL NUTRITION,185,1,4,100,Q2,2.881,0.732,2.1811,6.8,0.0027,1.531,2.549,2.929,2.17,0,0,0,0,0,0,0,0,0,0,0,0
FRONTIERS IN CARDIOVASCULAR MEDICINE,185,1,4,100,Q2,n/a,n/a,0.427,2,0.004,0.554,3.802,3.915,0.56,100,0,100,0,100,0,1,0,1,0,1,0
CLINICAL AUTONOMIC RESEARCH,185,1,4,100,Q2,2.156,0.645,0.1009,8.9,0.0019,2.442,2.489,2.968,0.33,100,100,0,0,100,0,1,1,0,0,1,0
PUBLIC HEALTH NUTRITION,185,2,4,100,Q2,3.341,0.953,0.06205,7.5,0.0207,0.991,2.977,3.182,0.065,100,100,0,50,0,0,2,2,0,1,0,0
INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,185,1,4,100,Q2,2.256,0.612,0.2259,8.9,0.0049,1.044,2.29,2.444,0.26,0,0,0,0,0,0,0,0,0,0,0,0
JOURNAL OF HEPATOLOGY,185,1,4,100,Q1,15.835,4.884,1.6596,5.7,0.082,5.387,19.541,20.582,0.41,100,0,0,100,0,0,1,0,0,1,0,0
GENETIC EPIDEMIOLOGY,194,1,3,100,Q2,2.715,1.569,0.0654,8.3,0.0067,0.516,1.669,1.954,0.15,0,0,0,0,0,0,0,0,0,0,0,0
RESPIRATORY MEDICINE,194,1,3,100,Q2,3.475,0.959,0.1115,8.3,0.0135,0.623,2.965,3.095,0.12,100,0,0,100,0,0,1,0,0,1,0,0
NEUROIMAGE-CLINICAL,194,1,3,100,Q2,4.791,1.535,0.4857,3.4,0.0271,0.566,4.009,4.35,0.46,100,0,100,0,100,0,1,0,1,0,1,0
HYPERTENSION RESEARCH,194,1,3,100,Q2,2.778,0.69,0.4948,8.1,0.0053,0.856,2.193,2.941,0.99,100,0,0,100,0,0,1,0,0,1,0,0
NEUROPSYCHOLOGY,194,1,3,100,Q2,3.058,1.067,0.7216,10.6,0.0062,0.463,2.402,2.506,0.73,100,100,0,100,0,0,1,1,0,1,0,0
JOURNAL OF BEHAVIORAL MEDICINE,194,1,3,100,Q2,3.599,1.201,0.0818,10.4,0.0071,0.905,2.887,2.988,0.08,0,0,0,0,0,0,0,0,0,0,0,0
BMC MEDICAL RESEARCH METHODOLOGY,194,1,3,100,Q1,4.837,1.941,0.3471,7.7,0.0186,0.396,2.909,3.031,0.32,100,0,100,0,100,0,1,0,1,0,1,0
NUCLEIC ACIDS RESEARCH,194,1,3,100,Q1,11.797,4.723,0.1156,7.2,0.4035,4.184,10.84,11.501,0.05,100,0,100,0,100,0,1,0,1,0,1,0
JOURNAL OF DIABETES AND ITS COMPLICATIONS,194,2,3,50,Q3,2.899,0.817,0.6993,4.9,0.0106,0.618,2.702,2.781,1.275,100,0,0,100,0,0,2,0,0,2,0,0
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,203,2,2,50,Q1,5.251,1.866,0.29875,9.7,0.0228,2.312,4.444,4.663,0.18,100,100,0,50,0,0,2,2,0,1,0,0
PATIENT-PATIENT CENTERED OUTCOMES RESEARCH,203,1,2,100,Q1,3.462,1.251,0.0741,4.5,0.004,0.52,2.896,3.226,0.16,0,0,0,0,0,0,0,0,0,0,0,0
BRAIN AND BEHAVIOR,203,1,2,100,Q3,2.381,0.69,0.2665,3.2,0.0077,0.345,2.065,2.091,0.36,100,0,100,0,100,0,1,0,1,0,1,0
CIRCULATION-HEART FAILURE,203,1,2,100,Q1,6.548,2.806,0.8425,5.8,0.0185,1.171,5.856,6.033,0.58,0,0,0,0,0,0,0,0,0,0,0,0
SOCIOLOGY OF RACE AND ETHNICITY,203,1,2,100,Q1,2.766,1.285,3.113,3.5,0.0024,0.526,1.806,1.972,2.05,0,0,0,0,0,0,0,0,0,0,0,0
INTERNATIONAL JOURNAL OF INJURY CONTROL AND SAFETY PROMOTION,208,1,1,100,Q3,1.301,0.314,0.1683,5.9,0.001,0.453,1.198,1.342,0.34,100,0,0,100,0,0,1,0,0,1,0,0
FRONTIERS IN NEUROLOGY,208,1,1,100,Q2,3.164,0.898,0.1958,2.7,0.0283,0.45,2.679,2.889,0.28,100,0,100,0,100,0,1,0,1,0,1,0
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,208,1,1,100,Q1,3.675,1.535,0.3693,20.5,0.003,0.233,2.313,2.418,0.22,100,0,0,100,0,0,1,0,0,1,0,0
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,208,1,1,100,Q1,5.787,1.718,0.4575,8.3,0.0242,2.285,5.367,5.681,0.29,0,0,0,0,0,0,0,0,0,0,0,0
JOURNAL OF PHYSICAL ACTIVITY & HEALTH,208,1,1,100,Q2,2.266,0.592,0.2911,6.6,0.0073,0.345,1.898,1.993,0.34,0,0,0,0,0,0,0,0,0,0,0,0
PREVENTION OF ATHEROSCLEROSIS AND HYPERTENSION BEGINNING IN YOUTH,213,1,0,0,N/A,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0
PREGNANCY HYPERTENSION-AN INTERNATIONAL JOURNAL OF WOMENS CARDIOVASCULAR HEALTH,213,1,0,0,Q2,2.761,0.868,0,3.9,0.0038,0.338,1.918,2.095,0,100,0,0,100,0,0,1,0,0,1,0,0
CLINICAL EPIGENETICS,213,1,0,0,Q1,5.695,1.487,0,3.3,0.0106,0.893,4.707,5.028,0,100,0,100,0,100,0,1,0,1,0,1,0
JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,213,1,0,0,Q2,2.493,0.538,0,7.2,0.003,0.457,2.193,2.772,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN JOURNAL OF NEURORADIOLOGY,213,1,0,0,Q1,3.853,1.176,0,9.5,0.0271,0.541,3.074,3.381,0,100,0,0,0,0,100,1,0,0,0,0,1
NICOTINE & TOBACCO RESEARCH,213,1,0,0,Q1,4.138,1.45,0,5.6,0.0209,2.385,3.727,4.079,0,100,0,0,0,100,0,1,0,0,0,1,0
