Grant_Numbers,records,percent_of_total
916.14.023,1,0.003
916.19.074,1,0.003
916.76.170,1,0.003
91615080,1,0.003
91643203,1,0.003
91690211,1,0.003
917.11.344,1,0.003
917.113.44,1,0.003
917.66.320,1,0.003
91711384,1,0.003
91716453,1,0.003
9174,1,0.003
91743206,1,0.003
91746209,1,0.003
91749128,1,0.003
91749205,1,0.003
91786327,1,0.003
918-46-615,1,0.003
918.10.615,1,0.003
91813603,1,0.003
91843302,1,0.003
91846106,1,0.003
91849209,1,0.003
9198,1,0.003
91AF/6,1,0.003
92 Branthwaite,1,0.003
92-01-161-22306,1,0.003
92-11-08,1,0.003
92-2320-B-003-002,1,0.003
92-750,1,0.003
92/0319,1,0.003
92003536,1,0.003
92011BAI11B04,1,0.003
92091,1,0.003
920991,1,0.003
921134,1,0.003
9213,1,0.003
922068,1,0.003
93-00015/2,1,0.003
93-01-42-8964,1,0.003
93-04-159-28031,1,0.003
93-04-161-27722,1,0.003
93-7380,1,0.003
93/0525-0,1,0.003
9305100,1,0.003
93102,1,0.003
93124,1,0.003
93326,1,0.003
9340,1,0.003
93577,1,0.003
9381,1,0.003
93951,1,0.003
94-20354,1,0.003
94-20355,1,0.003
94-KMUH-027,1,0.003
940-35-034,1,0.003
94005-0,1,0.003
94007,1,0.003
940206,1,0.003
940835,1,0.003
94112,1,0.003
94148992,1,0.003
94164,1,0.003
94213,1,0.003
94505017,1,0.003
948-00-008,1,0.003
95-103-72087,1,0.003
95-2314-BO37-040-MY3,1,0.003
95.00539.PF39,1,0.003
950-230970,1,0.003
951342,1,0.003
95353-1,1,0.003
9542537,1,0.003
95554,1,0.003
958632,1,0.003
95P50AT004155,1,0.003
96-0032,1,0.003
96-18-03,1,0.003
96-450-18,1,0.003
96-EC-17-A-17-R7-0525,1,0.003
96-MU-FX-0014,1,0.003
96.00736.PF39,1,0.003
962/02 - 1,1,0.003
96300,1,0.003
964124,1,0.003
965430,1,0.003
9687,1,0.003
97-01-106-16976,1,0.003
97-01-106-17191,1,0.003
97-12013,1,0.003
97-2314-B-532-001-MY3,1,0.003
97/0035-01,,
97/0588,1,0.003
97/09517-1,1,0.003
97001-62-024,1,0.003
97038,1,0.003
97061,1,0.003
971169,1,0.003
9712077581,1,0.003
973 2012CB517804,1,0.003
973 Program: 2011CB504002,1,0.003
9750129N,1,0.003
97: 0147: 1B,1,0.003
97:0147:1B,1,0.003
98-00924V,1,0.003
98-1-080,1,0.003
98-14970,1,0.003
98-14971,1,0.003
98-2221-E-009-167,1,0.003
98-2314-B-002-081,1,0.003
98-2314-B-010-022-MY3,1,0.003
98-2314-B-010-024-MY2,1,0.003
98-2314-B-010-033-MY2,1,0.003
98-2314-B-037-051-MY3,1,0.003
98-2314-B-075A-011-MY2,1,0.003
98-2314-B-182A-086,1,0.003
98-AS-3.1.3-FD-Z,1,0.003
98.113,1,0.003
98.901,1,0.003
98001-62-006,1,0.003
9801268,1,0.003
98026,1,0.003
98108,1,0.003
981231,1,0.003
9814303-3,1,0.003
9825384,1,0.003
98448,1,0.003
984966,1,0.003
985-10-002,1,0.003
9854,1,0.003
98TMU-WFH-10,1,0.003
99-2314-B-002-023-MY3,1,0.003
99-2314-B-002-128,1,0.003
99-2314-B-038-020-MY3,1,0.003
99-DK-0002,1,0.003
99/1992,1,0.003
992/14,1,0.003
99505-47N,1,0.003
99999.008396/2014-00,1,0.003
99999.012455/2013-00,1,0.003
99W962,1,0.003
9K121,1,0.003
9M048,1,0.003
9P01DK26687,1,0.003
9U54TR000017-06,1,0.003
: 2014-5-05 DS,1,0.003
:259,1,0.003
<LF>17GRNT33420119,1,0.003
A 17209023,1,0.003
A 25253046,1,0.003
A-10-268-5,1,0.003
A-1824,1,0.003
A-2013-011,1,0.003
A-HL-17-001,1,0.003
A/10/02492,1,0.003
A/15/32,1,0.003
A/4850/06,1,0.003
A000003-50001,1,0.003
A050463,1,0.003
A050571,1,0.003
A080656,1,0.003
A084046,1,0.003
A084144,1,0.003
A085046,1,0.003
A090548,1,0.003
A1-AFD01515A03,1,0.003
A1-AFD016151Z3207,1,0.003
A1-AFD018181Z3961,1,0.003
A1-S-34768,1,0.003
A100607,1,0.003
A100909,1,0.003
A1011070,1,0.003
A1021012,1,0.003
A1031056,1,0.003
A11,1,0.003
A110536,1,0.003
A111362,1,0.003
A111716,1,0.003
A117088,1,0.003
A19061,1,0.003
A2,,
A2009778,1,0.003
A2012306,1,0.003
A2014011,1,0.003
A2017290S,1,0.003
A2017404,1,0.003
A2017535,1,0.003
A25633,1,0.003
A31/2561,1,0.003
A39-2005,1,0.003
A492 JS15/M352,1,0.003
A55-49-14-GG-0203,1,0.003
A6650R,1,0.003
A92181,1,0.003
AA 098633,1,0.003
AA 10760,1,0.003
AA 13304,1,0.003
AA 13395,1,0.003
AA-08315,1,0.003
AA-8315,1,0.003
AA/18/7/34219,1,0.003
AA00202,1,0.003
AA006420,1,0.003
AA013526,1,0.003
AA013967,1,0.003
AA014041,1,0.003
AA014900,1,0.003
AA015578,1,0.003
AA015591,1,0.003
AA015950,1,0.003
AA016304,1,0.003
AA016392,1,0.003
AA016806,1,0.003
AA017242,1,0.003
AA019355,1,0.003
AA019431,1,0.003
AA020790,1,0.003
AA020794,1,0.003
AA021690,1,0.003
AA021696,1,0.003
AA022071,1,0.003
AA023549,1,0.003
AA024133,1,0.003
AA024535,1,0.003
AA06027,1,0.003
AA0626,1,0.003
AA06927,1,0.003
AA07459,1,0.003
AA07728,1,0.003
AA08047,1,0.003
AA08328,1,0.003
AA08746,1,0.003
AA09238,1,0.003
AA10158,1,0.003
AA10339,1,0.003
AA10760,1,0.003
AA11108,1,0.003
AA11822,1,0.003
AA12342,1,0.003
AA13510,1,0.003
AA13541,1,0.003
AA15172,1,0.003
AAEE 0163/09,1,0.003
AAM 108751,1,0.003
AARF-17-528918,1,0.003
AARF-17-529888,1,0.003
AARF-18-562958,1,0.003
AARG-17-500358,1,0.003
AARG-18-566254,1,0.003
AC-2010-1-001,1,0.003
AC0005,1,0.003
AC11S374,1,0.003
AC16/00045,1,0.003
ACESBELL 08,1,0.003
ACOM2011/145,1,0.003
ACOMP/2011/145,1,0.003
ACOMP/2013/039,1,0.003
ACOMP/213/165,1,0.003
ACOMP2010-181,1,0.003
ACOMP2012-240,1,0.003
ACS MRSG 13-234-01-PCSM,1,0.003
ACS-86-004-26,1,0.003
ADA 7-13-CD-08,1,0.003
ADHS14-00003606,1,0.003
ADI-09,1,0.003
ADNI 2-12-233036,1,0.003
ADVANCE 5R01-HL-087647,1,0.003
AE00103,1,0.003
AEP/93/02,1,0.003
AF9220915,1,0.003
AFM-9471,1,0.003
AFSSET-EST08-35,1,0.003
AFSSET; EST -2008/1/35,1,0.003
AG 012495,1,0.003
AG 012505,1,0.003
AG 012531,1,0.003
AG 012535,1,0.003
AG 012539,1,0.003
AG 012546,1,0.003
AG 012553,1,0.003
AG 012554,1,0.003
AG 01582,1,0.003
AG 020677,1,0.003
AG 02287,1,0.003
AG 04563,1,0.003
AG 04673,1,0.003
AG 08861,1,0.003
AG 13196,1,0.003
AG 15556,1,0.003
AG 16592,1,0.003
AG 18381,1,0.003
AG 2007-34505-15767,1,0.003
AG 20487,1,0.003
AG 21654,1,0.003
AG 38067,1,0.003
AG 44170,1,0.003
AG PO1 20166,1,0.003
AG-000279,1,0.003
AG-0005,1,0.003
AG-006537,1,0.003
AG-011380,1,0.003
AG-013038,1,0.003
AG-021136,1,0.003
AG-02219,1,0.003
AG-029337,1,0.003
AG-031272,1,0.003
AG-033196,1,0.003
AG-033755,1,0.003
AG-040297,1,0.003
AG-041122,1,0.003
AG-05138,1,0.003
AG-05673,1,0.003
AG-07857,1,0.003
AG-10430,1,0.003
AG-11183,1,0.003
AG-12161,1,0.003
AG-15389,1,0.003
AG-17474,1,0.003
AG-19228,1,0.003
AG-98-002,1,0.003
AG/CA14742,1,0.003
AG000029,1,0.003
AG00078,1,0.003
AG000980,1,0.003
AG00268,1,0.003
AG005,1,0.003
AG005131,1,0.003
AG005394,1,0.003
AG005407,1,0.003
AG00564,1,0.003
AG006537,1,0.003
AG007181,1,0.003
AG008122,1,0.003
AG00979-05,1,0.003
AG010124,1,0.003
AG010415,1,0.003
AG013038,1,0.003
AG014121,1,0.003
AG016592,1,0.003
AG017104,1,0.003
AG017479,1,0.003
AG01760,1,0.003
AG017644-13S1,1,0.003
AG018418,1,0.003
AG019802,1,0.003
AG020145,1,0.003
AG020569,1,0.003
AG020677,1,0.003
AG02219,1,0.003
AG023137,1,0.003
AG023211,1,0.003
AG023347,1,0.003
AG024824,1,0.003
AG025732,1,0.003
AG026010,1,0.003
AG026105,1,0.003
AG026307-R01,1,0.003
AG026364,1,0.003
AG026720,1,0.003
AG027014,1,0.003
AG027574,1,0.003
AG027576,1,0.003
AG028040,1,0.003
AG028367,1,0.003
AG028383-P30,1,0.003
AG028454,1,0.003
AG028738,1,0.003
AG029216,1,0.003
AG029562,1,0.003
AG030424,1,0.003
AG030678,1,0.003
AG031113-01A2,1,0.003
AG031287,1,0.003
AG032030,1,0.003
AG032227,1,0.003
AG033381-01,1,0.003
AG0333906,1,0.003
AG033590,1,0.003
AG033629-K02,1,0.003
AG033751,1,0.003
AG033994,1,0.003
AG034454,1,0.003
AG034588,1,0.003
AG034617,1,0.003
AG036895,1,0.003
AG038467,1,0.003
AG038492,1,0.003
AG039453,1,0.003
AG041543,1,0.003
AG043544,1,0.003
AG043960,1,0.003
AG045423,1,0.003
AG04563,1,0.003
AG04673,1,0.003
AG049607,1,0.003
AG05138,1,0.003
AG051633,1,0.003
AG052861,1,0.003
AG05394,1,0.003
AG05407,1,0.003
AG057902,1,0.003
AG05793,1,0.003
AG061586,1,0.003
AG06781,1,0.003
AG07857,1,0.003
AG08724,1,0.003
AG08861,1,0.003
AG09276,1,0.003
AG09556,1,0.003
AG09663,1,0.003
AG09775,1,0.003
AG10120-05,1,0.003
AG10129,1,0.003
AG10436,1,0.003
AG11431,1,0.003
AG11432,1,0.003
AG11541,1,0.003
AG11705,1,0.003
AG12058,1,0.003
AG123435,1,0.003
AG12553,1,0.003
AG12658-01A1,1,0.003
AG14124-05,1,0.003
AG14190,1,0.003
AG15112,1,0.003
AG15709,1,0.003
AG15768,1,0.003
AG15928,1,0.003
AG16495,1,0.003
AG1659,1,0.003
AG17175,1,0.003
AG17461,1,0.003
AG17556,1,0.003
AG18397,1,0.003
AG18734,1,0.003
AG18784,1,0.003
AG18903,1,0.003
AG19147,1,0.003
AG19362,1,0.003
AG20132,1,0.003
AG20487,1,0.003
AG21079,1,0.003
AG21593,1,0.003
AG22018,1,0.003
AG23027,1,0.003
AG23122,1,0.003
AG24108-S1,1,0.003
AG25688,1,0.003
AG30309,1,0.003
AG30678,1,0.003
AG33285,1,0.003
AG42856,1,0.003
AG43885,1,0.003
AG54548,1,0.003
AG61586,1,0.003
AG61660,1,0.003
AGL-2006-01979,1,0.003
AGL-2009-13906-C02,1,0.003
AGL2004-07075,1,0.003
AGL2005-0365,1,0.003
AGL2007-29784-E/ALI,1,0.003
AGL2007-60917,1,0.003
AGL2007-61694/ALI,1,0.003
AGL2008 02591 C02 02,1,0.003
AGL2009-13517-C03-01,1,0.003
AGL2009-13517-C03-02,1,0.003
AGL2009-13517-C03-03,1,0.003
AGL2010-10084-E,1,0.003
AGL2010-21991-C03-03,1,0.003
AGL2011-23690,1,0.003
AGL2012-32387,1,0.003
AGL2012-33692,1,0.003
AGL2012-39615,1,0.003
AGL2012-4014-C03-01,1,0.003
AGL2012-40144-C03-02,1,0.003
AGL2012-40144-C03-03,1,0.003
AGL2013-49083C3-1-R,1,0.003
AGL2015-64124-R,1,0.003
AGL2015-67995-C3,1,0.003
AGL2015-67995-C3-3-R,1,0.003
AGL2015-70218,1,0.003
AGL2016-79113-R,1,0.003
AGO 19363,1,0.003
AGO 32136,1,0.003
AGO005,1,0.003
AGR-4337,1,0.003
AGR-6826 CTS-164,1,0.003
AGR05/00922,1,0.003
AGR255,1,0.003
AGR922,1,0.003
AHA,1,0.003
AHA 0825368E,1,0.003
AHA 11SDG5270006,1,0.003
AHA 11SDG7260046,1,0.003
AHA 13GRNT17070022,1,0.003
AHA 13POST16420009,1,0.003
AHA 16GRNT30950007,1,0.003
AHA 16SFRN27810001,1,0.003
AHA-15POST23100020,1,0.003
AHA-15SFRN2391002,1,0.003
AHA10SDG4230068,1,0.003
AHA16SFRN27810001,1,0.003
AHA16SFRN27960011,1,0.003
AHASE00078,1,0.003
AHASFRN27950012,1,0.003
AHRQ K12HS023011,1,0.003
AI 50410,1,0.003
AI 66943,1,0.003
AI007432-15,1,0.003
AI024717,1,0.003
AI028697,1,0.003
AI034238,1,0.003
AI050410-11,1,0.003
AI063274,1,0.003
AI070304,1,0.003
AI071651,1,0.003
AI082714,1,0.003
AI083194,1,0.003
AI083790,1,0.003
AI084898,1,0.003
AI085014,1,0.003
AI089781,1,0.003
AI101934,1,0.003
AI24717,1,0.003
AI25868,1,0.003
AI28697,1,0.003
AI33455,1,0.003
AI38216,1,0.003
AI49508,1,0.003
AI50410,1,0.003
AI505198,1,0.003
AI54999,1,0.003
AI92210,1,0.003
AIA 03-047,1,0.003
AINGRA062S7,1,0.003
AIP-CL04,1,0.003
AIREA33930023,1,0.003
AL1794/1-1,1,0.003
AL2054/1-1,1,0.003
ALA042-1-09042,1,0.003
ALA043,1,0.003
ALA080-049,1,0.003
ALFGBG-11067,1,0.003
ALFGBG-11752,1,0.003
ALFGBG-136761,1,0.003
ALFGBG-433211,1,0.003
ALFGBG-717211,1,0.003
ALFGBG-719531,1,0.003
ALFGBG-720331,1,0.003
ALFGBG-723791,1,0.003
ALFGBG-74180,1,0.003
ALFS-KANE-432021/436111,1,0.003
ALFSKANE-675271,1,0.003
AM-34666,1,0.003
AM180100XXXXG034,1,0.003
AMP 06-495,1,0.003
AMP07/075,1,0.003
AMS-CSF3-Ackland,1,0.003
AMS-NAF1-Goedecke,1,0.003
AMS-SGCL1-Rudd,1,0.003
AMS-SGCL10-Chamberlain,1,0.003
AMS_HOP001\1060,1,0.003
AMS_HOP001\\1060,1,0.003
AN/2008/31,1,0.003
AN372/16-2,1,0.003
AN372/23-1,1,0.003
AN372/24-1,1,0.003
ANGC1208,1,0.003
ANR-05-PNRA-018,1,0.003
ANR-07-PHYSIO-017-01,1,0.003
ANR-07-PNRA-004,1,0.003
ANR-08-BLAN-0028-01,1,0.003
ANR-10-IAHU04-LIRYC,1,0.003
ANR-10-IAHY-01,1,0.003
ANR-10-LABX-001-01,1,0.003
ANR-10-LABX-0013,1,0.003
ANR-10-LABX-46,1,0.003
ANR-11-BLAN-062681,1,0.003
ANR-11-IDEX-0003-02,1,0.003
ANR-11-IDEX-0007,1,0.003
ANR-11-INBS-0002,1,0.003
ANR-11-LABX-0016-01,1,0.003
ANR-11-LABX-0021,1,0.003
ANR-11-LABX-0063,1,0.003
ANR-13-CESA-008-Cadmidia,1,0.003
ANR-15-RHU-0004,1,0.003
ANR-15-RHUS-0003,1,0.003
ANR-15-RHUS-0004,1,0.003
ANR-16-RHUS-0003_STOP-AS,1,0.003
ANR-CES-2009,1,0.003
ANR12SAMA01101SENSO,1,0.003
ANR; ANR-08-BLAN-0028,1,0.003
ANRS 12169 B98,1,0.003
ANZCTRN12607000481471,1,0.003
AO2-151560,1,0.003
AOM16549/PHRC-16-0549,1,0.003
AP-199/11,1,0.003
AP-2004-2745,1,0.003
AP-2005-3827,1,0.003
AP-2010-0963,1,0.003
AP2005-4358,1,0.003
AP2006-02464,1,0.003
AP2009-0547,1,0.003
AP2010-0013,1,0.003
AP2010-3198,1,0.003
APOYO_020/2014,1,0.003
APOYO_041/2014,1,0.003
APP 1008299,1,0.003
APP 1037559,1,0.003
APP1000896,1,0.003
APP1000986,1,0.003
APP1002186,1,0.003
APP1012485,1,0.003
APP1016612,1,0.003
APP1022648,1,0.003
APP1025350,1,0.003
APP1026216,1,0.003
APP1034371,1,0.003
APP1037603,1,0.003
APP1037903,1,0.003
APP1041020,1,0.003
APP1041056,1,0.003
APP1042343,1,0.003
APP1049065,1,0.003
APP1050949,1,0.003
APP1052555,1,0.003
APP1053206,1,0.003
APP1053578,1,0.003
APP1057608,1,0.003
APP1058935,1,0.003
APP1059550,1,0.003
APP1059660,1,0.003
APP1061457,1,0.003
APP1062073,1,0.003
APP1067066,1,0.003
APP1068890,1,0.003
APP1076899,1,0.003
APP1078444,1,0.003
APP1088673,1,0.003
APP1091688,1,0.003
APP1099173,1,0.003
APP1102694,1,0.003
APP1106947,1,0.003
APP1107107,1,0.003
APP1107178,1,0.003
APP1108422,1,0.003
APP1112767,1,0.003
APP1115519,1,0.003
APP1120641,1,0.003
APP1121844,1,0.003
APP1124958,1,0.003
APP1128348,1,0.003
APP1141606,1,0.003
APP1143538,1,0.003
APP1149976,1,0.003
APP1157438,1,0.003
APP1158540,1,0.003
APP1158661,1,0.003
APP211316,1,0.003
APP628399,1,0.003
APQ-02329-15 - 01/2015,1,0.003
APQ-0575-4.05/08,1,0.003
APRPA006011,1,0.003
APVV-0096-10,1,0.003
APVV-0235-12,1,0.003
APVV-0716-10,1,0.003
APVV-15-0075,1,0.003
AP_2008-03 806,1,0.003
AR 052155,1,0.003
AR 071739,1,0.003
AR 30582,1,0.003
AR 44659,1,0.003
AR 47652,1,0.003
AR-047785,1,0.003
AR-43351,1,0.003
AR-71789,1,0.003
AR002138,1,0.003
AR002213,1,0.003
AR033062,1,0.003
AR035582,1,0.003
AR035583,1,0.003
AR035584,1,0.003
AR042460,1,0.003
AR043274,1,0.003
AR043814,1,0.003
AR048269,1,0.003
AR048311,1,0.003
AR048940,1,0.003
AR049084,1,0.003
AR051545,1,0.003
AR052466,1,0.003
AR053308,1,0.003
AR053483,1,0.003
AR055240,1,0.003
AR055385,1,0.003
AR056116-03,1,0.003
AR057172,1,0.003
AR058621,1,0.003
AR061567,1,0.003
AR062277,1,0.003
AR062755,1,0.003
AR064820,1,0.003
AR065626,1,0.003
AR066464,1,0.003
AR07912,1,0.003
AR38460,1,0.003
AR39221,1,0.003
AR40553,1,0.003
AR40888,1,0.003
AR41677,1,0.003
AR42155,1,0.003
AR42460,1,0.003
AR43584,1,0.003
AR44655,1,0.003
AR46588,1,0.003
AR47869,1,0.003
AR47885,1,0.003
AR48852,1,0.003
AR49659,1,0.003
AR50245,1,0.003
AR53239,1,0.003
AR54625,1,0.003
AR59784,1,0.003
ARC-DP170100274,1,0.003
ARC-FT180100458,1,0.003
ARD 10/0421-6,1,0.003
ARD/PPP 2014,1,0.003
ARIC U01-HL-075572,1,0.003
ARIC: HHSN268201100005C,1,0.003
ARISE/2017/6,1,0.003
ARRA N000949304,1,0.003
ART-PG2010-3,1,0.003
ARUK-PG2013-22,1,0.003
ARUK-PhD2013-18,1,0.003
AS15-00350//17.980 euros,1,0.003
ASIA-106-CMUH-01,1,0.003
ASTIP-IAS-TS-11,1,0.003
ASTIP-IAS04,1,0.003
ASTIP-IAS18,1,0.003
AT003844,1,0.003
AT00694,1,0.003
AUS-ATO-06-002,1,0.003
AWS13J003,1,0.003
AYUDA_18_B.3._10,1,0.003
AZ 33,,
AZ F12/03,1,0.003
AZ-10-16-35-105,1,0.003
AZ.:II/84905,1,0.003
AZ: II/84905,1,0.003
AZD022,1,0.003
AZV 17-31670A,1,0.003
AZV15-27338A,1,0.003
AdG 666669 - COMSTAR,1,0.003
Ag012539,1,0.003
Al-Aly-01,1,0.003
Anillos ACT-73,1,0.003
Anillos ACT-73 MA,1,0.003
Art.83/LOU,1,0.003
Az. 89905,1,0.003
Az.10.09.1.139,1,0.003
B 23390174,1,0.003
B-0003-2017,1,0.003
B-1405/250-005,1,0.003
B-ER-105130,1,0.003
B.E.2557-2559,1,0.003
B01350104900,1,0.003
B12-011,1,0.003
B13026,1,0.003
B14-016,1,0.003
B18015,1,0.003
B2,,
B2011012,1,0.003
B2011310,1,0.003
B2013253,1,0.003
B2014-17-47,1,0.003
B2014356,1,0.003
B20390182,1,0.003
B21_R17,1,0.003
B22790581,1,0.003
B3,1,0.003
B4368R,1,0.003
B7867-W,1,0.003
B9212C,1,0.003
B9254-C,1,0.003
B9254C,1,0.003
BA 4085/2-1,1,0.003
BA 4233/4-1,1,0.003
BA 4906/1-1,1,0.003
BA07/90057,1,0.003
BA08/90010,1,0.003
BA16/00032,1,0.003
BAA-200-2011-39413,1,0.003
BAA-NHLBI-HV-09-12,1,0.003
BAP - TF. 16.1,1,0.003
BAP-TPF 14014,1,0.003
BB-G013969-1,1,0.003
BB/E015123/1,1,0.003
BB/E019455/1,1,0.003
BB/F022883/1,1,0.003
BB/G014272/1,1,0.003
BB/G01812X/1,1,0.003
BB/G530333/1,1,0.003
BB/H005072/1,1,0.003
BB/H53106X/1,1,0.003
BB/H532091/1,1,0.003
BB/I007423/1,1,0.003
BB/I012117/1,1,0.003
BB/I020209/1,1,0.003
BB/I021213/1,1,0.003
BB/J004316/1,1,0.003
BB/J014443/1,1,0.003
BB/J014532/1,1,0.003
BB/K001043/1,1,0.003
BB/L015056/1,1,0.003
BB/L025418/1,1,0.003
BB/L025582/1,1,0.003
BB/M012360/1,1,0.003
BBS/B/08523,1,0.003
BBS/E/C/00005206,1,0.003
BBS/E/D/20221657,1,0.003
BC 053292,1,0.003
BC045286,1,0.003
BC062367,1,0.003
BC094017,1,0.003
BC160450P1,1,0.003
BCS 021859,1,0.003
BCS 06-23019,1,0.003
BCS 0622358,1,0.003
BCS 08-43919,1,0.003
BCS 12-51322,1,0.003
BCS-0322380,1,0.003
BCS-0622576,1,0.003
BCS-0643393,1,0.003
BCS-0720066,1,0.003
BCS-0750779,1,0.003
BCS-0820687,1,0.003
BCS-0843872,1,0.003
BCS-0921728,1,0.003
BCS-0962282,1,0.003
BCS-1027687,1,0.003
BCS-1124552,1,0.003
BCS-1156368,1,0.003
BCS-1203612,1,0.003
BCS-1342637,1,0.003
BCS-1423765,1,0.003
BCS-1519110,1,0.003
BCS-1534682,1,0.003
BCS-1748461,1,0.003
BCS-1751912,1,0.003
BD/36796/2007,1,0.003
BD/82023/2011,1,0.003
BDA 07/0003541,1,0.003
BDA 11/0004317,1,0.003
BE 6319/1-1,1,0.003
BE2015635,1,0.003
BE2015666,1,0.003
BE2016747,1,0.003
BE2017699,1,0.003
BE2017762,1,0.003
BEO-85861,1,0.003
BES-2009-023933,1,0.003
BES-2010-040766,1,0.003
BES-2011-047133,1,0.003
BES-2014-068829,1,0.003
BEST/2015/087,1,0.003
BEST2010-032,1,0.003
BEST2010-211,1,0.003
BEX 12745/13-8,1,0.003
BEX 1990/15-2,1,0.003
BEX 6602/15-0,1,0.003
BEX12339/13-0,1,0.003
BFU 2010-15868,1,0.003
BFU2010-17116,1,0.003
BFU2010-19443,1,0.003
BFU2011-24720,1,0.003
BFU2011-28358,1,0.003
BFU2013-49098-R,1,0.003
BFU2016-77125-R,1,0.003
BGIA 0765139Y,1,0.003
BI 576/5-1,1,0.003
BI-R01-HL61753,1,0.003
BIO-0139,1,0.003
BIO/SA86/13,1,0.003
BIO2015-71703-REDT,1,0.003
BIO2017-83640-P,1,0.003
BIO2017-90877-REDT,1,0.003
BIRCWH K12 HD085848,1,0.003
BJ201515,1,0.003
BJMU2019LCKXJ001,1,0.003
BK2007254,1,0.003
BK2009236,1,0.003
BK2011059,1,0.003
BK2011851,1,0.003
BK2012875,1,0.003
BK20131167,1,0.003
BK2014014,1,0.003
BK20140149,1,0.003
BK20140904,1,0.003
BK20150323,1,0.003
BK20151151,1,0.003
BK20151555,1,0.003
BK20170251,1,0.003
BK20170562,1,0.003
BK20170564,1,0.003
BK20171499,1,0.003
BK20190818,1,0.003
BK21 PLUSKNU,1,0.003
BL2012005,1,0.003
BL2013024,1,0.003
BL2013034,1,0.003
BM0602,1,0.003
BM1201,1,0.003
BM2012064,1,0.003
BMBF 01EO1503,1,0.003
BMBF 01EO1504,1,0.003
BMBF 01GQ1402,1,0.003
BMBF 01ZX1408A,1,0.003
BMBF-01GI0205,1,0.003
BMBF01ZZ96030,1,0.003
BMH1-CT92-0206,1,0.003
BMH4-CT98-3314,1,0.003
BMRC/08/1/21/19/567,1,0.003
BMU20110159,1,0.003
BMU20140366,1,0.003
BMU2017CJ002,1,0.003
BMU2017YJ002,1,0.003
BMU2018MX025,1,0.003
BMU2018PYB005,1,0.003
BPF-112930,1,0.003
BPU2017-86579-R,1,0.003
BR 1704/4-1,1,0.003
BR/121/A5/CAUSINEQ,1,0.003
BRA2014285,1,0.003
BRC-1215-20007,1,0.003
BRC-1215-20008,1,0.003
BRF-2011-006,1,0.003
BRSG 0696-5225-57,1,0.003
BS-095-PP06,1,0.003
BS-096-PP01,1,0.003
BS-097-PP03,1,0.003
BS2012HZ028,1,0.003
BS2012YY034,1,0.003
BS2012YY035,1,0.003
BS2013YY036,1,0.003
BS2014YY021,1,0.003
BSC 0404,1,0.003
BSC-0101,1,0.003
BSR R01 AG030424,1,0.003
BT/PR6472/FNS/20/656/2012,1,0.003
BT/PR98887/SPD/11/1028/2007,1,0.003
BU 1837/5-1,1,0.003
BX000350,1,0.003
BX002046,1,0.003
BX003480,1,0.003
BXJ201738,1,0.003
BY2014KYQD01,1,0.003
BY2014KYQD30,1,0.003
BY2016KYQD01,1,0.003
Beca SEA/FEA 2004,1,0.003
Bio06-1-576,1,0.003
Brasilia - DF 70040-020,1,0.003
C-0033-2015,1,0.003
C-011/2006,1,0.003
C-Sig P30DK84567,1,0.003
C.2016-574961,1,0.003
C01-7876/A-1,1,0.003
C03/011,1,0.003
C03/08,1,0.003
C03/09,1,0.003
C03/10,1,0.003
C06 CA62528-01,1,0.003
C06 RR014578,1,0.003
C06 RR015456,1,0.003
C06 RR016499-01,1,0.003
C06 RR10600-01,1,0.003
C06 RR14514-01,1,0.003
C06 RR14578,1,0.003
C06 RR15456,1,0.003
C06-RR11234,1,0.003
C06/01,1,0.003
C071002,1,0.003
C09-PIFI-030606,1,0.003
C09/00365,1,0.003
C1,1,0.003
C10/SR/819345,1,0.003
C12/BM/3985792,1,0.003
"C12/BM/3985792 ""EpiPath""",1,0.003
C12030,1,0.003
C1417/A22962,1,0.003
C1418/A10843,1,0.003
C18062,1,0.003
C18281/A7062,1,0.003
C20/A5860,1,0.003
C2011-4,1,0.003
C2012-1,1,0.003
C2014016,1,0.003
C2016009,1,0.003
C20400.28505200,1,0.003
C26A14HZBX,1,0.003
C26H15H9LP,1,0.003
C312/A11039,1,0.003
C312/A3726,1,0.003
C312/A6465,1,0.003
C31211/A15194,1,0.003
C42F16000080001,1,0.003
C44576/A19501,1,0.003
C55712,1,0.003
C570/A16491,1,0.003
C8221/A19170,1,0.003
C8221/A20986,1,0.003
C865/A2883,1,0.003
C: 19590629,1,0.003
CA 014599,1,0.003
CA 021765-32,1,0.003
CA 02201,1,0.003
CA 047988,1,0.003
CA 084063,1,0.003
CA 091912,1,0.003
CA 10014152,1,0.003
CA 100938,1,0.003
CA 1027A1/3,1,0.003
CA 116778,1,0.003
CA 116849,1,0.003
CA 130589-01,1,0.003
CA 14703,1,0.003
CA 18119,1,0.003
CA 18186,1,0.003
CA 34847,1,0.003
CA 42710,1,0.003
CA 47888,1,0.003
CA 54281,1,0.003
CA 59045,1,0.003
CA 618/1-1,1,0.003
CA 92622,1,0.003
CA 94845,1,0.003
CA 95739,1,0.003
CA-023074-2953,1,0.003
CA-085739,1,0.003
CA-108918,1,0.003
CA-167552,1,0.003
CA-21765,1,0.003
CA-40356,1,0.003
CA-40368,1,0.003
CA-42182,1,0.003
CA-50385,1,0.003
CA-58684,1,0.003
CA-66867,1,0.003
CA-69668,1,0.003
CA-72720-10,1,0.003
CA-78293,1,0.003
