Organizations_Enhanced,records,percent_of_total
DIV CARDIOVASC MED,3,0.01
DIV EPIDEMIOL COMMUNITY HLTH,3,0.01
DIYARBAKIR TRAINING RESEARCH HOSPITAL,3,0.01
DONALD BARBARA ZUCKER SCH MED HOFSTRA NORTHWELL,3,0.01
DR PESET UNIV HOSP,3,0.01
DSM NV,3,0.01
DUBLIN CITY UNIVERSITY,3,0.01
DUKE KUNSHAN UNIVERSITY,3,0.01
DUPONT,3,0.01
DUQUESNE UNIVERSITY,3,0.01
DURHAM VAMC,3,0.01
EASTERN STATE HOSP,3,0.01
ECOLE CENTRALE DE NANTES,3,0.01
ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES EHESS,3,0.01
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,3,0.01
EDUARDO MONDLANE UNIVERSITY,3,0.01
EMORY CLIN CARDIOVASC RES INST,3,0.01
ENVIRON INT CORP,3,0.01
ERASMUS UNIV COLL,3,0.01
ERNEST GALLO CLINIC RESEARCH CENTER,3,0.01
ESWISS MED SURG CTR,3,0.01
ETIMESGUT AIRFORCE HOSPITAL,3,0.01
EUROPEAN MOLECULAR BIOLOGY LABORATORY EMBL,3,0.01
EUROPEAN UNIVERSITY OF ROME,3,0.01
EXPONENT,3,0.01
FACULTE DE MEDECINE DE TUNIS FMT,3,0.01
FAIRLEIGH DICKINSON UNIV,3,0.01
FASA UNIV MED SCI,3,0.01
FDA,3,0.01
FDN G MONASTERIO CNR REG TOSCANA,3,0.01
FED MED CTR,3,0.01
FENWAY HEALTH,3,0.01
FINNISH DEF FORCES,3,0.01
FINNISH HEART ASSOC,3,0.01
FINNISH INST HLTH WELF,3,0.01
FIRST CARDIOL CONSULTANTS,3,0.01
FISHERIES RESEARCH AGENCY JAPAN,3,0.01
FLINDERS MEDICAL CENTRE,3,0.01
FOOD STAND AGCY,3,0.01
FOOD TRUST,3,0.01
FORTH VALLEY ROYAL HOSP,3,0.01
FOUNDATION FOR BLOOD RESEARCH FBR,3,0.01
FRITZ LICKINT INST NIKOTINFORSCH RAUCHERENTWOHN,3,0.01
FUSE UKCRC CTR TRANSLAT RES PUBL HLTH,3,0.01
GEN MILLS INC,3,0.01
GENERALITAT CATALUNYA,3,0.01
GERMAN CTR LUNG RES DZL,3,0.01
GILEAD SCIENCES,3,0.01
GOLDEN JUBILEE HOSPITAL,3,0.01
GOVIND BALLABH PANT HOSPITAL,3,0.01
GOVT MED COLL,3,0.01
GRAMERCY RES GRP,3,0.01
GREENVILLE HEALTH SYSTEM,3,0.01
GRUP FLORENCE NIGTINGALE HOSPITAL TURKEY,3,0.01
GUANGDONG MEDICAL UNIVERSITY,3,0.01
GUNMA PREFECTURAL CARDIOVASC CTR,3,0.01
GV SONNY MONTGOMERY VA MED CTR,3,0.01
GV SONNY MONTGOMERY VET AFFAIRS MED CTR,3,0.01
HAAGLANDEN MEDICAL CENTER,3,0.01
HAN UNIV APPL SCI,3,0.01
HANNAM UNIVERSITY,3,0.01
HANSON INSTITUTE,3,0.01
HAREFIELD HOSPITAL,3,0.01
HARLEM HOSP MED CTR,3,0.01
HEALTH RESEARCH BOARD IRELAND,3,0.01
HEALTHPARTNERS,3,0.01
HEART CENTER LEIPZIG GMBH,3,0.01
HEILONGJIANG UNIVERSITY OF CHINESE MEDICINE,3,0.01
HELEN HAYES HOSP,3,0.01
HELIOS KLINIKEN,3,0.01
HELMHOLTZ CENTER FOR ENVIRONMENTAL RESEARCH UFZ,3,0.01
HENAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,3,0.01
HERIOT WATT UNIVERSITY,3,0.01
HERMITAGE MED CLIN,3,0.01
HLTH PARTNERS RES FDN,3,0.01
HLTH SCI CTR,3,0.01
HOPITAL ABDERRAHMENE MAMI,3,0.01
HOPITAL FARHAT HACHED,3,0.01
HOPITAL FATTOUMA BOURGUIBA,3,0.01
HOPITAL PARIS SAINT JOSEPH,3,0.01
HOPITAL UNIVERSITAIRE COCHIN APHP,3,0.01
HOPITAL UNIVERSITAIRE JEAN VERDIER APHP,3,0.01
HOPITAL UNIVERSITAIRE LOUIS MOURIER APHP,3,0.01
HOPITAL UNIVERSITAIRE RAYMOND POINCARE APHP,3,0.01
HOSP CORACAO HCOR,3,0.01
HOSP LUIS VERNAZA,3,0.01
HOSP MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3,0.01
HOSP UNIV SAN JUAN,3,0.01
HOSPITAL DE CABUENES,3,0.01
HOSPITAL GARCIA DE ORTA,3,0.01
HOSPITAL RAMOS MEJIA,3,0.01
HOSPITAL UNIVERSITARIO DE GETAFE,3,0.01
HOSPITAL UNIVERSITARIO SAN CECILIO,3,0.01
HOSPITAL UNIVERSITARIO VIRGEN DE LAS NIEVES,3,0.01
HOSPITAL UNIVERSITARIO VIRGEN MACARENA,3,0.01
HUMANITAS CLIN RES CTR,3,0.01
HUNAN UNIVERSITY,3,0.01
HUNGARIAN RESEARCH CENTRE FOR NATURAL SCIENCES,3,0.01
HUNTER HOLMES MCGUIRE VETERINARY AFFAIRS MEDICAL CENTER,3,0.01
IBARAKI PREFECTURAL UNIV HLTH SCI,3,0.01
ICELAND CANC SOC,3,0.01
ICMR NATIONAL INSTITUTE OF NUTRITION NII,3,0.01
IDAHO STATE UNIVERSITY,3,0.01
IFSTTAR,3,0.01
ILLAWARRA SHOALHAVEN LOCAL HLTH DIST,3,0.01
ILLINOIS INSTITUTE OF TECHNOLOGY,3,0.01
ILSAN HOSP,3,0.01
IMS HLTH,3,0.01
INABE GEN HOSP,3,0.01
INDIAN STATISTICAL INSTITUTE,3,0.01
INDIAN STATISTICAL INSTITUTE KOLKATA,3,0.01
INNER MONGOLIA YILI IND GRP CO LTD,3,0.01
INSP,3,0.01
INST EXERCISE ENVIRONM MED,3,0.01
INST HLTH STUDIES,3,0.01
INST HLTH WELF,3,0.01
INST INTERNAL PREVENT MED,3,0.01
INST INVEST SANITARIA HOSP CLIN SAN CARLOS IDISSC,3,0.01
INST INVEST SANITARIA ILLES BALEARS,3,0.01
INST PREVENT CLIN MED,3,0.01
INST PREVENT MED,3,0.01
INSTITUT PASTEUR PARIS,3,0.01
INSTITUTE OF BIOCHEMISTRY GENETICS OF UFA SCIENCE CENTRE OF THE RAS,3,0.01
INSTITUTE OF MATERIA MEDICA CAMS,3,0.01
INSTITUTE OF METAL RESEARCH CAS,3,0.01
INSTITUTO CARDIOVASCULAR DE BUENOS AIRES ICBA,3,0.01
INSTITUTO NACIONAL DE MEDICINA GENOMICA,3,0.01
INSTITUTO NACIONAL DE SAUDE DR RICARDO JORGE,3,0.01
IRCCS BURLO GAROFOLO,3,0.01
IRCCS EUGENIO MEDEA,3,0.01
IRCCS FONDAZIONE PASCALE,3,0.01
IRCCS ISTITUTO DERMOPATICO DELL IMMACOLATA IDI,3,0.01
IRCCS OASI MARIA SS,3,0.01
ISTANBUL BAGCILAR TRAINING RESEARCH HOSPITAL,3,0.01
ISTANBUL ZEYNEP KAMIL MATERNITY CHILDREN S DISEASES TRAINING RESEARCH HOSPITAL,3,0.01
ITALIAN NATL OLYMP COMM,3,0.01
J CRAIG VENTER INSTITUTE,3,0.01
JACKSON HEART STUDY,3,0.01
JAHANGIRNAGAR UNIVERSITY,3,0.01
JAMIA MILLIA ISLAMIA,3,0.01
JAPAN LABOR WELFARE ASSOC,3,0.01
JAWAHARLAL INSTITUTE OF POSTGRADUATE MEDICAL EDUCATION RESEARCH,3,0.01
JEROEN BOSCH ZIEKENHUIS,3,0.01
JERSEY SHORE UNIVERSITY MEDICAL CENTER,3,0.01
JINING MEDICAL UNIVERSITY,3,0.01
JOZEF PILSUDSKI UNIVERSITY PHYSICAL EDUCATION IN WARSAW,3,0.01
KAHRAMANMARAS SUTCU IMAM UNIVERSITY,3,0.01
KAISER FDN RES INST,3,0.01
KAMAKURA WOMEN S UNIVERSITY,3,0.01
KANSAS CITY UNIVERSITY OF MEDICINE BIOSCIENCES,3,0.01
KANTA HAME CENT HOSP,3,0.01
KARADENIZ TEKNIK UNIVERSITY,3,0.01
KARLSTAD UNIVERSITY,3,0.01
KEMENTERIAN KESIHATAN MALAYSIA,3,0.01
KENNEDY KRIEGER INSTITUTE,3,0.01
KERN MED CTR,3,0.01
KING ABDULAZIZ CARDIAC CENTER KACC,3,0.01
KING ABDULAZIZ UNIVERSITY HOSPITAL JEDDAH,3,0.01
KING ABDULAZIZ UNIVERSITY HOSPITAL RIYADH,3,0.01
KING EDWARD MEMORIAL HOSPITAL,3,0.01
KING FAISAL UNIVERSITY,3,0.01
KOBE GAKUIN UNIVERSITY,3,0.01
KOC UNIVERSITY,3,0.01
KOCAELI UNIVERSITY,3,0.01
KOMMUNE HOSP COPENHAGEN,3,0.01
KOREA CDC CENTER FOR BIOMEDICAL SCIENCE,3,0.01
KOREA FOOD RESEARCH INSTITUTE KFRI,3,0.01
KOREA RESEARCH INSTITUTE OF BIOSCIENCE BIOTECHNOLOGY KRIBB,3,0.01
KRAFT HEINZ,3,0.01
KUNMING UNIVERSITY OF SCIENCE TECHNOLOGY,3,0.01
KYORIN UNIVERSITY,3,0.01
KYORITSU WOMENS UNIV,3,0.01
KYUSHU DENTAL UNIVERSITY,3,0.01
L MARC RESEARCH CENTER,3,0.01
LAB MED ZENTRUM DR RISCH,3,0.01
LANZHOU CENT METEOROL OBSERV,3,0.01
LAPLAND CENT HOSP,3,0.01
LAURENTIAN UNIVERSITY,3,0.01
LDS HOSP,3,0.01
LEBANESE UNIVERSITY,3,0.01
LEHIGH UNIVERSITY,3,0.01
LEXINGTON VA MEDICAL CENTER,3,0.01
LILLEBAELT HOSP,3,0.01
LIVERPOOL HOSPITAL,3,0.01
LLANDOUGH HOSP,3,0.01
LONDON METROPOLITAN UNIVERSITY,3,0.01
LOS ANGELES BIOMED RES INST,3,0.01
LUCERNE CANTONAL HOSPITAL,3,0.01
MACALESTER COLLEGE,3,0.01
MADRAS MEDICAL COLLEGE GENERAL HOSPITAL,3,0.01
MAHARISHI MARKANDESHWAR UNIVERSITY,3,0.01
MAHARISHI UNIV MANAGEMENT,3,0.01
MAKERERE UNIVERSITY,3,0.01
MARICOPA COUNTY GENERAL HOSPITAL,3,0.01
MARYLAND DEPARTMENT OF HEALTH MENTAL HYGIENE,3,0.01
MASSACHUSETTS GEN HOSP CHILDREN,3,0.01
MATHEMATICA,3,0.01
MATSUSHITA MEM HOSP,3,0.01
MAZANDARAN UNIVERSITY MEDICAL SCIENCES,3,0.01
MBARARA UNIVERSITY OF SCIENCE TECHNOLOGY,3,0.01
MDHHS MICHIGAN DEPARTMENT OF HEALTH HUMAN SERVICES,3,0.01
MEDANTA MEDICITY,3,0.01
MEDICAL CENTER OF ALKMAAR,3,0.01
MEDICAL PRODUCTS AGENCY,3,0.01
MEITOH HOSP,3,0.01
MEMORIAL HEALTHCARE GROUP,3,0.01
METABOLON,3,0.01
METROPOLITAN LIFE INSURANCE CO,3,0.01
MEVLANA UNIVERSITY,3,0.01
MIL HOSP,3,0.01
MIL MED ACAD,3,0.01
MINIA UNIVERSITY,3,0.01
MINIST DEF,3,0.01
MINIST EDUC TIANJIN CITY,3,0.01
MINISTRY OF HEALTH SAUDI ARABIA,3,0.01
MINNESOTA OBES CTR,3,0.01
MISSOURI STATE UNIVERSITY,3,0.01
MISSOURI UNIVERSITY OF SCIENCE TECHNOLOGY,3,0.01
MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,3,0.01
MORGAN STANLEY CHILDREN S HOSPITAL,3,0.01
MOUNT SAINT VINCENT UNIVERSITY,3,0.01
MS RAMAIAH MED COLL,3,0.01
MUKOGAWA WOMEN S UNIVERSITY,3,0.01
NAGOYA UNIV ARTS SCI,3,0.01
NANJING UNIVERSITY OF INFORMATION SCIENCE TECHNOLOGY,3,0.01
NARA MEDICAL UNIVERSITY,3,0.01
NATIONAL ACADEMIES OF SCIENCES ENGINEERING MEDICINE,3,0.01
NATIONAL CHANGHUA UNIVERSITY OF EDUCATION,3,0.01
NATIONAL CHENGCHI UNIVERSITY,3,0.01
NATIONAL INSTITUTE OF PUBLIC HEALTH SZU CZECH REPUBLIC,3,0.01
NATIONAL KAOHSIUNG UNIVERSITY OF SCIENCE TECHNOLOGY,3,0.01
NATIONAL RESEARCH FOUNDATION SOUTH AFRICA,3,0.01
NATIONAL RESEARCH INSTITUTE FOR FAMILY PLANNING CHINA,3,0.01
NATIONAL SUN YAT SEN UNIVERSITY,3,0.01
NATIONAL UNIVERSITY OF LA PLATA,3,0.01
NATL HEART INST,3,0.01
NATL HLTH LAB SERV,3,0.01
NATL HOSP ORG MINAMI KYOTO HOSP,3,0.01
NATL HUMAN GENOME CTR BEIJING,3,0.01
NATL INST MINAMATA DIS,3,0.01
NATL INST PREVENT CARDIOL,3,0.01
NATL INST WORKING LIFE,3,0.01
NATL KIDNEY FDN,3,0.01
NATL RES CTR ASSISTED REPROD TECHNOL REPROD GEN,3,0.01
NATL TAIPEI COLL NURSING,3,0.01
NEAR EAST UNIVERSITY,3,0.01
NETHERLANDS ESCI CTR,3,0.01
NEW ENGLAND BAPTIST HOSPITAL,3,0.01
NEWTON WELLESLEY HOSPITAL,3,0.01
NEYSHABUR UNIV MED SCI,3,0.01
NIH NATIONAL INSTITUTE OF NURSING RESEARCH NINR,3,0.01
NIPISSING UNIVERSITY,3,0.01
NIPPON TELEGRAPH TEL WEST CORP,3,0.01
NORD TRONDELAG HOSP TRUST,3,0.01
NORD UNIVERSITY,3,0.01
NORTH EASTERN FEDERAL UNIVERSITY IN YAKUTSK,3,0.01
NORTHROP GRUMMAN CORPORATION,3,0.01
NOTTINGHAM CITY HOSPITAL,3,0.01
NOTTINGHAM TRENT UNIVERSITY,3,0.01
NUTRIGUARD RES,3,0.01
OBERLIN UNIV,3,0.01
OCHANOMIZU UNIVERSITY,3,0.01
OLVG WEST,3,0.01
OPEN UNIVERSITY UK,3,0.01
ORENBURG STATE MED ACAD,3,0.01
OSAKA CTR CANC CARDIOVASC DIS PREVENT,3,0.01
OSAKA MEDICAL CENTER FOR CANCER CARDIOVASCULAR DISEASES,3,0.01
OSAKA MEDICAL COLLEGE,3,0.01
OSPED BEATO G VILLA,3,0.01
OSPED RIUNITI REGGIO CALABRIA,3,0.01
OSPEDALE NIGUARDA CA GRANDA,3,0.01
OSTFOLD CTY HOSP,3,0.01
OTSU RED CROSS HOSP,3,0.01
OTSUKA PHARMACEUTICAL,3,0.01
OULU DEACONESS INST,3,0.01
OULU REG INST OCCUPAT HLTH,3,0.01
OUR LADY MERCY MED CTR,3,0.01
PACIFIC GRAD SCH PSYCHOL,3,0.01
PARIS SOUTH UNIV,3,0.01
PAVULLO HOSP,3,0.01
PENANG GEN HOSP,3,0.01
PENNSYLVANIA PRESBYTERIAN MEDICAL CENTER,3,0.01
PEPSICO,3,0.01
PHILADELPHIA COLL OSTEOPATH MED,3,0.01
PHOENIX VET AFFAIRS HLTH CARE SYST,3,0.01
PIEDMONT HLTH SERV INC,3,0.01
PIEDMONT REFERENCE CTR EPIDEMIOL CANC PREVENT C,3,0.01
PIRKANMAA HOSPITAL DISTRICT,3,0.01
POLICHIRURG HOSP G DA SALICETO,3,0.01
POLICLIN CASILINO,3,0.01
POLICLINICO PAOLO GIACCONE,3,0.01
POLYKLIN GEN HOSP,3,0.01
POLYTECHNIC UNIVERSITY OF CATALONIA,3,0.01
POLYTECHNIC UNIVERSITY OF TURIN,3,0.01
POMONA COLLEGE,3,0.01
PONTIFICIA UNIVERSIDAD JAVERIANA,3,0.01
POPULAT RES INST,3,0.01
PRESBYTERIAN MED CTR,3,0.01
PRESIDIO OSPEDALIERO GARIBALDI NESIMA,3,0.01
PRINCESS MARGARET HOSP,3,0.01
PROCTER GAMBLE,3,0.01
PUBL HLTH SERV AMSTERDAM,3,0.01
PUGET SOUND BLOOD CENTER,3,0.01
PUNJAB INST CARDIOL,3,0.01
QATAR UNIVERSITY,3,0.01
QAZVIN UNIVERSITY OF MEDICAL SCIENCES QUMS,3,0.01
QOM UNIV MED SCI,3,0.01
QUINNIPIAC UNIVERSITY,3,0.01
REG CTR CHILD YOUTH MENTAL HLTH CHILD WELF,3,0.01
REG CTR NEUROGENET,3,0.01
REGENERON,3,0.01
REGIONAL INSTITUTE OF GASTROENTEROLOGY HEPATOLOGY,3,0.01
REGIS UNIVERSITY,3,0.01
RENSSELAER POLYTECHNIC INSTITUTE,3,0.01
RES CTR PREVENT HLTH,3,0.01
RES INST PREVENT MED,3,0.01
RES INST STRATEGY PREVENT,3,0.01
RICHARD STOCKTON COLL NEW JERSEY,3,0.01
RONALD REAGAN UCLA MEDICAL CENTER,3,0.01
ROSS UNIV,3,0.01
ROYAL CHILDREN S HOSPITAL BRISBANE,3,0.01
ROYAL DARWIN HOSP,3,0.01
ROYAL HOSP WOMEN,3,0.01
ROYAL INSTITUTE OF TECHNOLOGY,3,0.01
ROYAL LONDON HOSPITAL,3,0.01
ROYAL MARSDEN NHS FOUNDATION TRUST,3,0.01
ROYAL STOKE UNIVERSITY HOSPITAL,3,0.01
ROYAL SURREY COUNTY HOSPITAL,3,0.01
ROYAL VICTORIA HOSP,3,0.01
RUDOLFSTIFTUNG HOSPITAL,3,0.01
S AFRICAN INST MED RES,3,0.01
SAGINAW VALLEY STATE UNIV,3,0.01
SAINT ANNA HOSPITAL,3,0.01
SAKAKIBARA HEART INST,3,0.01
SAN CAMILLO LELLIS HOSP,3,0.01
SAN PAOLO POLO UNIVERSITARIA HOSPITAL,3,0.01
SATAKUNTA HOSP DIST,3,0.01
SAVE 100 BABIES,3,0.01
SCI INST PUBL HLTH,3,0.01
SEIREI SOCIAL WELF COMMUNITY,3,0.01
SEOUL NATIONAL UNIVERSITY OF SCIENCE TECHNOLOGY,3,0.01
SHAHJALAL UNIV SCI TECHNOL,3,0.01
SHANDONG CTR DIS CONTROL PREVENT,3,0.01
SHANDONG INST PREVENT TREATMENT ENDEM DIS CHINA,3,0.01
SHANGHAI INSTITUTE OF MATERIA MEDICA CAS,3,0.01
SHENZHEN CTR DIS CONTROL PREVENT,3,0.01
SHER I KASHMIR INSTITUTE OF MEDICAL SCIENCES,3,0.01
SHIRE PHARMACEUTICALS LIMITED,3,0.01
SICHUAN PROV CTR DIS CONTROL PREVENT CHINA,3,0.01
SIEMENS AG,3,0.01
SLIPPERY ROCK UNIVERSITY PENNSYLVANIA,3,0.01
SOC BRASILEIRA CARDIOL,3,0.01
SOCIAL HLTH RES CTR,3,0.01
SODERSJUKHUSET HOSPITAL,3,0.01
SOGANG UNIVERSITY,3,0.01
SOUTH CHINA NORMAL UNIVERSITY,3,0.01
SOUTHERN CROSS UNIVERSITY,3,0.01
SOUTHWEST ONCOLOGY GROUP,3,0.01
ST CHRISTOPHERS HOSP CHILDREN,3,0.01
ST JOHN S MEDICAL COLLEGE,3,0.01
ST JOHN S NATIONAL ACADEMY OF HEALTH SCIENCES,3,0.01
ST JOSEPH HOSP,3,0.01
ST JOSEPH S HOSPITAL AND MEDICAL CENTER,3,0.01
ST LOUIS VET AFFAIRS MED CTR,3,0.01
ST LUKES LIFE SCI INST,3,0.01
ST VINCENTS CLIN,3,0.01
STAT NETHERLANDS,3,0.01
STEFAN CARDINAL WYSZYNSKI NATL INST CARDIOL,3,0.01
STEVEN ALEXANDRA COHEN CHILDREN S MEDICAL CENTER OF NEW YORK,3,0.01
STONY BROOK MED,3,0.01
STONY BROOK SCH MED,3,0.01
SUDDEN DEATH GENOM LAB,3,0.01
SUFFOLK UNIVERSITY,3,0.01
SUGIYAMA JOGAKUEN UNIV,3,0.01
SULTAN MOULAY SLIMANE UNIVERSITY OF BENI MELLAL,3,0.01
SUMMA HEALTH SYSTEM,3,0.01
SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,3,0.01
SWISS INST PREVENT ALCOHOL DRUG PROBLEMS,3,0.01
SYDNEY LOCAL HLTH DIST,3,0.01
SYNLAB CTR LAB DIAGNOST,3,0.01
SYNLAB SERV GMBH,3,0.01
TARTU UNIV HOSP,3,0.01
TECHNICAL UNIVERSITY OF BERLIN,3,0.01
TECNOLOGICO DE MONTERREY,3,0.01
TEXAS A M AGRILIFE RESEARCH,3,0.01
TEXAS HLTH PRESBYTERIAN HOSP DALLAS,3,0.01
THAMMASAT UNIVERSITY,3,0.01
THE COCA COLA COMPANY,3,0.01
THROMBOSIS RESEARCH INSTITUTE,3,0.01
TIANJIN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,3,0.01
TINE CTR RES DEV,3,0.01
TOHOKU ROSAI HOSP,3,0.01
TOKAT STATE HOSPITAL,3,0.01
TOKYO METROPOLITAN CANCER INFECTIOUS DISEASES CENTER KOMAGOME HOSPITAL,3,0.01
TOKYO UNIVERSITY OF MARINE SCIENCE TECHNOLOGY,3,0.01
TOKYO UNIVERSITY OF TECHNOLOGY,3,0.01
TOURO UNIV,3,0.01
TRUTH INITIAT,3,0.01
TUFTS MED CTR,3,0.01
TURKISH HEART FOUNDATION,3,0.01
TYROLEAN STATE HOSP LTD,3,0.01
UCLA SEMEL INST NEUROSCI HUMAN BEHAV,3,0.01
UHI MILLENNIUM INSTITUTE,3,0.01
ULSS 7 PEDEMONTANA,3,0.01
UMM AL QURA UNIVERSITY,3,0.01
UND LIFE SCI,3,0.01
UNITED NATIONS POPULATION FUND,3,0.01
UNIV ABUJA,3,0.01
UNIV AUTONOMA GUERRERO,3,0.01
UNIV BIRMINGHAM,3,0.01
UNIV CLIN CTR DR DRAGISA MISOVIC DEDINJE,3,0.01
UNIV CLIN HOSP CTR DRAGISA MISOVIC,3,0.01
UNIV DOUALA,3,0.01
UNIV EASTERN AFRICA,3,0.01
UNIV EDUC UPPER AUSTRIA,3,0.01
UNIV HLTH SCI,3,0.01
UNIV HOSP CTR,3,0.01
UNIV HOSP OULU,3,0.01
UNIV INCARNATE WORD,3,0.01
UNIV PRISHTINA,3,0.01
UNIVERSIDAD AUSTRAL DE CHILE,3,0.01
UNIVERSIDAD DE ANTOFAGASTA,3,0.01
UNIVERSIDAD DE CANTABRIA,3,0.01
UNIVERSIDAD DE CARTAGENA,3,0.01
UNIVERSIDAD DE ESPECIALIDADES ESPIRITU SANTO,3,0.01
UNIVERSIDAD DE GUANAJUATO,3,0.01
UNIVERSIDAD DE PANAMA,3,0.01
UNIVERSIDAD DE SONORA,3,0.01
UNIVERSIDAD DEL MAGDALENA,3,0.01
UNIVERSIDAD DEL VALLE,3,0.01
UNIVERSIDAD MANUELA BELTRAN UMB,3,0.01
UNIVERSIDAD VERACRUZANA,3,0.01
UNIVERSIDADE DO SUL DE SANTA CATARINA,3,0.01
UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,3,0.01
UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,3,0.01
UNIVERSIDADE FEDERAL DE ALAGOAS,3,0.01
UNIVERSIDADE FEDERAL DE AMAZONAS,3,0.01
UNIVERSIDADE FEDERAL DO PAMPA,3,0.01
UNIVERSIDADE FEDERAL DO PIAUI,3,0.01
UNIVERSIDADE LUTERANA DO BRASIL,3,0.01
UNIVERSITAT INTERNACIONAL DE CATALUNYA UIC,3,0.01
UNIVERSITAT RAMON LLULL,3,0.01
UNIVERSITE DE CAEN NORMANDIE,3,0.01
UNIVERSITE DE KINSHASA,3,0.01
UNIVERSITE DE TOULOUSE JEAN JAURES,3,0.01
UNIVERSITE DU MAINE,3,0.01
UNIVERSITETET I STAVANGER,3,0.01
UNIVERSITI UTARA MALAYSIA,3,0.01
UNIVERSITY AGOSTINHO NETO,3,0.01
UNIVERSITY HOSPITAL MAGDEBURG,3,0.01
UNIVERSITY HOSPITAL VIENNA,3,0.01
UNIVERSITY OF BALTIMORE,3,0.01
UNIVERSITY OF CALABRIA,3,0.01
UNIVERSITY OF CYPRUS,3,0.01
UNIVERSITY OF DERBY,3,0.01
UNIVERSITY OF ELECTRONIC SCIENCE TECHNOLOGY OF CHINA,3,0.01
UNIVERSITY OF FORT HARE,3,0.01
UNIVERSITY OF GONDAR,3,0.01
UNIVERSITY OF ILLINOIS PEORIA,3,0.01
UNIVERSITY OF JJ STROSSMAYER OSIJEK,3,0.01
UNIVERSITY OF KHARTOUM,3,0.01
UNIVERSITY OF LATVIA,3,0.01
UNIVERSITY OF MANNHEIM,3,0.01
UNIVERSITY OF MARIBOR,3,0.01
UNIVERSITY OF MINNESOTA HOSPITAL,3,0.01
UNIVERSITY OF MONTANA,3,0.01
UNIVERSITY OF MONTANA SYSTEM,3,0.01
UNIVERSITY OF MOSTAR,3,0.01
UNIVERSITY OF NAMUR,3,0.01
UNIVERSITY OF NEW BRUNSWICK,3,0.01
UNIVERSITY OF NEW ORLEANS,3,0.01
UNIVERSITY OF NICOSIA,3,0.01
UNIVERSITY OF NORTH CAROLINA WILMINGTON,3,0.01
UNIVERSITY OF PADERBORN,3,0.01
UNIVERSITY OF PERADENIYA,3,0.01
UNIVERSITY OF PORTSMOUTH,3,0.01
UNIVERSITY OF QUEBEC CHICOUTIMI,3,0.01
UNIVERSITY OF RICHMOND,3,0.01
UNIVERSITY OF RZESZOW,3,0.01
UNIVERSITY OF ST THOMAS MINNESOTA,3,0.01
UNIVERSITY OF TEHRAN,3,0.01
UNIVERSITY OF THE PHILIPPINES SYSTEM,3,0.01
UNIVERSITY OF THE SUNSHINE COAST,3,0.01
UNIVERSITY OF WAIKATO,3,0.01
UNIVERSITY OF ZIELONA GORA,3,0.01
UNIVERSITY TORONTO MISSISSAUGA,3,0.01
UNIVERSITY WISCONSIN HEALTH,3,0.01
VA EASTERN COLORADO HLTH CARE SYST,3,0.01
VA EPIDEMIOL RES INFORMAT CTR,3,0.01
VA NEW YORK HARBOR HEALTHCARE SYST,3,0.01
VA ST LOUIS HLTH CARE SYST,3,0.01
VAMC,3,0.01
VANCOUVER COASTAL HEALTH RESEARCH INSTITUTE,3,0.01
VET AFFAIRS MIDATLANTIC REG MENTAL ILLNESS RES ED,3,0.01
VET GEN HOSP,3,0.01
VICTOR BABES UNIVERSITY OF MEDICINE PHARMACY TIMISOARA,3,0.01
VTT TECHNICAL RESEARCH CENTER FINLAND,3,0.01
WARSAW UNIVERSITY OF LIFE SCIENCES,3,0.01
WAYNE STATE UNIV,3,0.01
WEIGHT CONTROL DIABET RES CTR,3,0.01
WEIS CTR RES,3,0.01
WESTERN WASHINGTON UNIVERSITY,3,0.01
WILHELMINENSPITAL,3,0.01
WILLAMETTE UNIVERSITY,3,0.01
WILLIAM BEAUMONT ARMY MEDICAL CENTER,3,0.01
WILLIAM MARY,3,0.01
WILLIAM SANSUM DIABETES CENTER,3,0.01
WINGATE INST PHYS EDUC SPORTS,3,0.01
WJB DORN VA MED CTR,3,0.01
WOLFSON MED CTR,3,0.01
WORCESTER POLYTECHNIC INSTITUTE,3,0.01
YALE SCH NURSING,3,0.01
YAMAGUCHI UNIVERSITY,3,0.01
YEDITEPE UNIVERSITY,3,0.01
YEUNGNAM UNIVERSITY HOSPITAL,3,0.01
YUANPEI UNIV,3,0.01
YUZUNCU YIL UNIVERSITY,3,0.01
ZAPOROZHYE STATE MEDICAL UNIVERSITY ZSMU,3,0.01
ZAYED UNIVERSITY,3,0.01
ZEMUN CLIN HOSP,3,0.01
ZHEJIANG UNIVERSITY OF TECHNOLOGY,3,0.01
ZURICH CENTER INTEGRATIVE HUMAN PHYSIOLOGY ZIHP,3,0.01
21ST CENTURY DIABET VASC RES INST,2,0.007
A MANZONI HOSP,2,0.007
AB PRISMA,2,0.007
ABBVIE,2,0.007
ABC REG MED SCH,2,0.007
ABO AKADEMI UNIVERSITY,2,0.007
ABU DHABI UNIVERSITY,2,0.007
ACADEMY OF FINLAND,2,0.007
