Accession_Number,DOI,Pubmed_ID,Article_Title,Link,Authors,Source,Research_Area,Document Type,Volume,Issue,Pages,Publication_Date,Times_Cited,Journal_Expected_Citations,Category_Expected_Citations,Journal_Normalized_Citation_Impact,Category_Normalized_Citation_Impact,Percentile_in_Subject_Area,Journal_Impact_Factor
WOS:000077777300004,10.1016/S1047-2797(98)00030-1,MEDLINE:9915606,"Seven year changes in physical fitness, physical activity, and lipid profile in the CARDIA study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000077777300004,"Sternfeld, B; Sidney, S; Jacobs, DR; Sadler, MC; Haskell, WL; Schreiner, PJ",ANNALS OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,9,1,25-33,1999,49,56.019231,36.57,0.87,1.3398,19.0401,2.573
WOS:000079198900003,10.1002/(SICI)1097-0258(19990330)18:6<655::AID-SIM62>3.0.CO;2-U,MEDLINE:10204196,"Interpreting age, period and cohort effects in plasma lipids and serum insulin using repeated measures regression analysis: The CARDIA study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000079198900003,"Jacobs, DR; Hannan, PJ; Wallace, D; Liu, K; Williams, OD; Lewis, CE",STATISTICS IN MEDICINE,"MEDICAL INFORMATICS; STATISTICS & PROBABILITY; MATHEMATICAL & COMPUTATIONAL BIOLOGY; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; MEDICINE, RESEARCH & EXPERIMENTAL",Article,18,6,655-679,1999,41,52.832599,33.82,0.78,1.2125,12.4111,1.783
WOS:000082401900018,10.1016/S0002-8703(99)70151-1,MEDLINE:10467199,Anthropometric and physiologic correlates of mitral valve prolapse in a biethnic cohort of young adults: The CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000082401900018,"Flack, JM; Kvasnicka, JH; Gardin, JM; Gidding, SS; Manolio, TA; Jacobs, DR",AMERICAN HEART JOURNAL,CARDIAC & CARDIOVASCULAR SYSTEMS,Article,138,3,486-492,1999,40,38.117647,40.85,1.05,0.9793,25.8298,4.153
WOS:000079056600001,n/a,MEDLINE:10023724,Serum leptin and weight gain over 8 years in African American and Caucasian young adults,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000079056600001,"Folsom, AR; Jensen, MD; Jacobs, DR; Hilner, JE; Tsai, AW; Schreiner, PJ",OBESITY RESEARCH,NUTRITION & DIETETICS; ENDOCRINOLOGY & METABOLISM,Article,7,1,8-Jan,1999,26,49.939394,43.89,0.52,0.5924,40.6868,n/a
WOS:000078673300008,10.1161/01.HYP.33.2.640,MEDLINE:10024320,Heart rate and subsequent blood pressure in young adults - The CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000078673300008,"Kim, JR; Kiefe, CI; Liu, K; Williams, OD; Jacobs, DR; Oberman, A",HYPERTENSION,PERIPHERAL VASCULAR DISEASE,Article,33,2,640-646,1999,51,70.105263,53.19,0.73,0.9588,29.477,7.713
WOS:000078832700007,n/a,MEDLINE:10075320,Racial differences in amounts of visceral adipose tissue in young adults: the CARDIA (coronary artery risk development in young adults) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000078832700007,"Hill, JO; Sidney, S; Lewis, CE; Tolan, K; Scherzinger, AL; Stamm, ER",AMERICAN JOURNAL OF CLINICAL NUTRITION,NUTRITION & DIETETICS,Article,69,3,381-387,1999,170,112.778157,40.1,1.51,4.2389,3.8663,6.766
WOS:000087121900014,10.1001/archinte.160.10.1495,MEDLINE:10826464,Do depression symptoms predict early hypertension incidence in young adults in the CARDIA study?,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000087121900014,"Davidson, K; Jonas, BS; Dixon, KE; Markovitz, JH",ARCHIVES OF INTERNAL MEDICINE,PSYCHIATRY,Article,160,10,1495-1500,2000,224,131.074194,48.64,1.71,4.605,3.3684,n/a
WOS:000088123800005,n/a,MEDLINE:10916281,Lack of association between the-308 polymorphism of the tumor necrosis factor-alpha gene and the insulin resistance syndrome,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000088123800005,"de Silva, B; Gapstur, SM; Achenbach, YH; Schuh, TS; Kotlar, TJ; Liu, K; Lowe, WL",JOURNAL OF INVESTIGATIVE MEDICINE,"MEDICINE, RESEARCH & EXPERIMENTAL",Article,48,4,236-244,2000,12,24.860465,46.3,0.48,0.2592,58.262,2.304
WOS:000084836000005,10.1016/S0749-3797(99)00114-2,MEDLINE:10808981,Seven-year tracking of dietary factors in young adults: The CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000084836000005,"Dunn, JE; Liu, K; Greenland, P; Hilner, JE; Jacobs, DR",AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,18,1,38-45,2000,45,63.070922,38.98,0.71,1.1545,23.9302,4.42
WOS:000090124000014,10.1038/sj.ijo.0801415,MEDLINE:11126345,Physical activity and body weight: associations over ten years in the CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000090124000014,"Schmitz, KH; Jacobs, DR; Leon, AS; Schreiner, PJ; Sternfeld, B",INTERNATIONAL JOURNAL OF OBESITY,ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS,Article,24,11,1475-1487,2000,110,69.564669,48.6,1.58,2.2636,8.98,4.419
WOS:000086964600035,10.1001/jama.283.19.2546,MEDLINE:10815118,Association of hostility with coronary artery calcification in young adults - The CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000086964600035,"Iribarren, C; Sidney, S; Bild, DE; Liu, K; Markovitz, JH; Roseman, JM; Matthews, K",JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,PSYCHOLOGY,Article,283,19,2546-2551,2000,152,254.586592,50.92,0.6,2.9853,6.0322,45.54
WOS:000087023100007,10.1016/S0306-4603(99)00076-3,MEDLINE:10890293,"Occupational attainment, smoking, alcohol intake, and marijuana use: Ethnic-gender differences in the cardia study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000087023100007,"Braun, BL; Hannan, P; Wolfson, M; Jones-Webb, R; Sidney, S",ADDICTIVE BEHAVIORS,"PSYCHOLOGY, CLINICAL; SUBSTANCE ABUSE",Article,25,3,399-414,2000,27,38.838384,41.08,0.7,0.6573,43.9968,3.645
WOS:000087077700021,10.1161/01.ATV.20.5.1316,MEDLINE:10807748,"Common polymorphism in promoter of microsomal triglyceride transfer protein gene influences cholesterol, ApoB, and triglyceride levels in young African American men - Results from the Coronary Artery Risk Development in Young Adults (CARDIA) Study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000087077700021,"Juo, SHH; Han, ZH; Smith, JD; Colangelo, L; Liu, K",ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,HEMATOLOGY; PERIPHERAL VASCULAR DISEASE,Article,20,5,1316-1322,2000,39,92.069061,50.49,0.42,0.7725,33.5326,6.604
WOS:000087672700005,n/a,MEDLINE:10905529,Weight gain continues in the 1990s: 10-year trends in weight and overweight from the CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000087672700005,"Lewis, CE; Jacobs, DR; McCreath, H; Kiefe, CI; Schreiner, PJ; Smith, DE; Williams, OD",AMERICAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,151,12,1172-1181,2000,312,88.763566,38.98,3.51,8.0044,1.0927,4.526
WOS:000170344900006,10.2105/AJPH.91.2.213,MEDLINE:11211629,Ten-year changes in smoking among young adults: Are racial differences explained by socioeconomic factors in the CARDIA study?,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000170344900006,"Kiefe, CI; Williams, OD; Lewis, CE; Allison, JJ; Sekar, P; Wagenknecht, LE",AMERICAN JOURNAL OF PUBLIC HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,91,2,213-218,2001,70,74.925806,38.5,0.93,1.818,13.7866,6.464
WOS:000168652000025,10.1161/01.ATV.21.5.852,MEDLINE:11348886,Prevalence and correlates of coronary calcification in black and white young adults - The coronary artery risk development in young adults - (CARDIA) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000168652000025,"Bild, DE; Folsom, AR; Lowe, LP; Sidney, S; Kiefe, C; Westfall, AO; Zheng, ZJ; Rumberger, J",ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,HEMATOLOGY; PERIPHERAL VASCULAR DISEASE,Article,21,5,852-857,2001,108,80.743682,50.14,1.34,2.1539,9.5397,6.604
WOS:000166827500003,10.1016/S1047-2797(00)00174-5,MEDLINE:11164125,Independent and interactive effects of apolipoprotein E phenotype and cardiorespiratory fitness on plasma lipids,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000166827500003,"Schmitz, KH; Schreiner, PJ; Jacobs, DR; Leon, AS; Liu, K; Howard, B; Sternfeld, B",ANNALS OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,11,2,94-103,2001,6,42.739726,38.5,0.14,0.1558,79.2799,2.573
WOS:000170119800012,10.1097/00006842-200107000-00014,MEDLINE:11485115,Social support and health behavior in hostile black and white men and women in CARDIA,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000170119800012,"Allen, J; Markovitz, J; Jacobs, DR; Knox, SS",PSYCHOSOMATIC MEDICINE,"PSYCHOLOGY, MULTIDISCIPLINARY; PSYCHIATRY; PSYCHOLOGY",Article,63,4,609-618,2001,31,95.659341,43.03,0.32,0.7205,25.096,3.702
WOS:000167261100013,n/a,MEDLINE:11181756,Promoter polymorphisms of hepatic lipase gene influence HDL2 but not HDL3 in African American men: CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000167261100013,"Juo, SHH; Han, ZH; Smith, JD; Colangelo, L; Liu, K",JOURNAL OF LIPID RESEARCH,BIOCHEMISTRY & MOLECULAR BIOLOGY,Article,42,2,258-264,2001,39,53.585153,63.47,0.73,0.6145,42.7096,4.483
WOS:000172838600008,10.1164/ajrccm.164.11.2004235,MEDLINE:11739133,"Asthma is associated with weight gain in females but not males, independent of physical activity",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000172838600008,"Beckett, WS; Jacobs, DR; Yu, XH; Iribarren, C; Williams, D",AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,RESPIRATORY SYSTEM; CRITICAL CARE MEDICINE,Article,164,11,2045-2050,2001,222,106.654321,44.43,2.08,4.9962,1.6232,17.452
WOS:000174622700008,10.1161/hy0302.105682,MEDLINE:11897761,Socioeconomic trajectories and incident hypertension in a biracial cohort of young adults,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000174622700008,"Matthews, KA; Kiefe, CI; Lewis, CE; Liu, K; Sidney, S; Yunis, C",HYPERTENSION,PERIPHERAL VASCULAR DISEASE,Article,39,3,772-776,2002,57,76.139319,60.09,0.75,0.9486,28.5696,7.713
WOS:000185503800014,10.2337/diacare.25.6.1027,MEDLINE:12032110,"Oral contraceptive use and association with glucose, insulin, and diabetes in young adult women - The CARDIA study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000185503800014,"Kim, C; Siscovick, DS; Sidney, S; Lewis, CE; Kiefe, CI; Koepsell, TD",DIABETES CARE,ENDOCRINOLOGY & METABOLISM,Article,25,6,1027-1032,2002,26,104.918033,52.38,0.25,0.4964,53.1461,16.019
WOS:000176745400010,10.1164/rccm.2007035,MEDLINE:12119228,Early life factors contribute to the decrease in lung function between ages 18 and 40 - The coronary artery risk development in young adults study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000176745400010,"Apostol, GG; Jacobs, DR; Tsai, AW; Crow, RS; Williams, OD; Townsend, MC; Beckett, WS",AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,RESPIRATORY SYSTEM; CRITICAL CARE MEDICINE,Article,166,2,166-172,2002,96,107.125581,43.04,0.9,2.2303,9.3924,17.452
WOS:000177464000003,10.1038/oby.2002.99,MEDLINE:12181380,Differences in resting metabolic rate between white and African-American young adults,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000177464000003,"Sharp, TA; Bell, ML; Grunwald, GK; Schmitz, KH; Sidney, S; Lewis, CE; Tolan, K; Hill, JO",OBESITY RESEARCH,NUTRITION & DIETETICS; ENDOCRINOLOGY & METABOLISM,Article,10,8,726-732,2002,39,65.915254,47.64,0.59,0.8187,33.8916,n/a
WOS:000176821800008,10.1001/archinte.162.14.1604,MEDLINE:12123404,Religious involvement and cigarette smoking in young adults - The CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000176821800008,"Whooley, MA; Boyd, AL; Gardin, JM; Williams, DR",ARCHIVES OF INTERNAL MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,162,14,1604-1610,2002,55,117.583658,40.98,0.47,1.342,19.0891,n/a
WOS:000179841300024,10.1161/01.HYP.0000041417.94797.57,MEDLINE:12468579,Reactivity as a predictor of subsequent blood pressure - Racial differences in the Coronary Artery Risk Development in Young Adults (CARDIA) Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000179841300024,"Knox, SS; Hausdorff, J; Markovitz, JH",HYPERTENSION,PERIPHERAL VASCULAR DISEASE,Article,40,6,914-919,2002,41,76.139319,60.09,0.54,0.6823,37.9894,7.713
WOS:000177205200022,10.1016/S0735-1097(02)01973-3,MEDLINE:12142122,Demographics and correlates of five-year change in echocardiographic left ventricular mass in young black and white adult men and women: The Coronary Artery Risk Development in Young Adults (CARDIA) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000177205200022,"Gardin, JM; Brunner, D; Schreiner, PJ; Xie, XY; Reid, CL; Ruth, K; Bild, DE; Gidding, SS",JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS,Article,40,3,529-535,2002,46,115.231518,49.42,0.4,0.9308,25.6777,20.589
WOS:000175431200006,10.1016/S0749-3797(02)00416-6,MEDLINE:11988382,Absence of risk factor change in young adults after family heart attack or stroke - The CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000175431200006,"Kip, KE; McCreath, HE; Roseman, JM; Hulley, SB; Schreiner, PJ",AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,22,4,258-266,2002,27,104.674419,40.98,0.26,0.6588,39.8595,4.42
WOS:000176065100005,10.1093/aje/155.12.1114,MEDLINE:12048225,"Gender- and race-specific determination of albumin excretion rate using albumin-to-creatinine ratio in single, untimed urine specimens - The Coronary Artery Risk Development in Young Adults Study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000176065100005,"Jacobs, DR; Murtaugh, MA; Steffes, M; Yu, XH; Roseman, J; Goetz, FC",AMERICAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,155,12,1114-1119,2002,94,100.698413,40.98,0.93,2.2936,8.6639,4.526
WOS:000179805000013,10.1001/archinte.162.22.2614,MEDLINE:12456234,"Depressive symptoms, unemployment, and loss of income - The CARDIA study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000179805000013,"Whooley, MA; Kiefe, CI; Chesney, MA; Markovitz, JH; Matthews, K; Hulley, SB",ARCHIVES OF INTERNAL MEDICINE,PSYCHIATRY,Article,162,22,2614-2620,2002,111,117.583658,48.91,0.94,2.2695,10.2614,n/a
WOS:000178634100013,n/a,MEDLINE:12376505,"Serum androgen concentrations in young men: A longitudinal analysis of associations with age, obesity, and race. The CARDIA Male Hormone Study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000178634100013,"Gapstur, SM; Gann, PH; Kopp, P; Colangelo, L; Longcope, C; Liu, K",CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; ONCOLOGY",Article,11,10,1041-1047,2002,162,67.973333,45.49,2.38,3.5613,3.4513,4.344
WOS:000185504600012,10.2337/diacare.25.11.1976,MEDLINE:12401742,Neighborhood characteristics and components of the insulin resistance syndrome in young adults - The Coronary Artery Risk Development in Young Adults (CARDIA) Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000185504600012,"Roux, AVD; Jacobs, DR; Kiefe, CI",DIABETES CARE,ENDOCRINOLOGY & METABOLISM,Article,25,11,1976-1982,2002,90,104.918033,52.38,0.86,1.7183,14.3217,16.019
WOS:000175075700025,10.1001/jama.287.16.2081,MEDLINE:11966382,"Dairy consumption, obesity, and the insulin resistance syndrome in young adults - The CARDIA study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000175075700025,"Pereira, MA; Jacobs, DR; Van Horn, L; Slattery, ML; Kartashov, AI; Ludwig, DS",JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,NUTRITION & DIETETICS,Article,287,16,2081-2089,2002,724,334.043353,43.68,2.17,16.5746,0.0797,45.54
WOS:000179554500007,10.1007/s001980200123,MEDLINE:12415437,Oral contraceptives and bone mineral density in white and black women in CARDIA,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000179554500007,"Cobb, KL; Kelsey, JL; Sidney, S; Ettinger, B; Lewis, CE",OSTEOPOROSIS INTERNATIONAL,ENDOCRINOLOGY & METABOLISM,Article,13,11,893-900,2002,23,47.404959,52.38,0.49,0.4391,57.2869,3.864
WOS:000184549900004,n/a,MEDLINE:12911043,Positional change in blood pressure and 8-year risk of hypertension: The CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000184549900004,"Thomas, RJ; Liu, K; Jacobs, DR; Bild, DE; Kiefe, CI; Hulley, SB",MAYO CLINIC PROCEEDINGS,PERIPHERAL VASCULAR DISEASE,Article,78,8,951-958,2003,37,49.186916,58.6,0.75,0.6314,41.8459,6.942
WOS:000187277300028,10.1001/jama.290.23.3092,MEDLINE:14679272,Cardiorespiratory fitness in young adulthood and the development of cardiovascular disease risk factors,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000187277300028,"Carnethon, MR; Gidding, SS; Nehgme, R; Sidney, S; Jacobs, DR; Liu, K",JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"MEDICINE, GENERAL & INTERNAL",Article,290,23,3092-3100,2003,352,336.267442,57.29,1.05,6.1441,3.3747,45.54
WOS:000186036700023,10.1001/jama.290.16.2138,MEDLINE:14570949,Psychosocial factors and risk of hypertension - The Coronary Artery Risk Development in Young Adults (CARDIA) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000186036700023,"Yan, LJL; Liu, K; Matthews, KA; Daviglus, ML; Ferguson, TF; Kiefe, CI",JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,PERIPHERAL VASCULAR DISEASE,Article,290,16,2138-2148,2003,210,336.267442,58.6,0.62,3.5836,5.0051,45.54
WOS:000184378900018,10.1373/49.8.1358,MEDLINE:12881453,gamma-glutamyltransferase is a predictor of incident diabetes and hypertension: The coronary artery risk development in young adults (CARDIA) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000184378900018,"Lee, DH; Jacobs, DR; Gross, M; Kiefe, CI; Roseman, J; Lewis, CE; Steffes, M",CLINICAL CHEMISTRY,MEDICAL LABORATORY TECHNOLOGY,Article,49,8,1358-1366,2003,323,75.514124,24.05,4.28,13.432,0.4134,7.292
WOS:000185025500017,10.1097/01.ASN.0000083392.11042.14,MEDLINE:12937313,Racial differences in early-onset renal disease among young adults: The Coronary Artery Risk Development in Young Adults (CARDIA) Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000185025500017,"Stehman-Breen, CO; Gillen, D; Steffes, M; Jacobs, DR; Lewis, CE; Kiefe, CI; Siscovick, D",JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,UROLOGY & NEPHROLOGY,Article,14,9,2352-2357,2003,23,87.82199,34.86,0.26,0.6598,42.2559,9.274
WOS:000185702200010,10.1093/aje/kwg208,MEDLINE:14507604,Correlates of urinary albumin excretion in young adult Blacks and Whites - The coronary artery risk development in young adults study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000185702200010,"Murtaugh, MA; Jacobs, DR; Yu, XH; Gross, MD; Steffes, M",AMERICAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,158,7,676-686,2003,45,100.165992,43.4,0.45,1.0369,24.9075,4.526
WOS:000186269100011,10.2337/diacare.26.11.3035,MEDLINE:14578236,Influence of autonomic nervous system dysfunction on the development of type 2 diabetes - The CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000186269100011,"Carnethon, MR; Jacobs, DR; Sidney, S; Liu, K",DIABETES CARE,ENDOCRINOLOGY & METABOLISM,Article,26,11,3035-3041,2003,96,105.847682,49.29,0.91,1.9478,12.2506,16.019
WOS:000186204300010,10.1079/PHN2003488,MEDLINE:14552670,Association of education with dietary intake among young adults in the bi-ethnic Coronary Artery Risk Development in Young Adults (CARDIA) cohort,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000186204300010,"Archer, SL; Hilner, JE; Dyer, AR; Greenlund, KJ; Colangelo, LA; Kiefe, CI; Liu, K",PUBLIC HEALTH NUTRITION,"NUTRITION & DIETETICS; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,6,7,689-695,2003,3,46.266667,45.5,0.06,0.0659,91.0439,3.182
WOS:000185155900012,n/a,n/a,Relation between dairy food intake and plasma lipid levels: the CARDIA Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000185155900012,"Steffen, LM; Jacobs, DR",AUSTRALIAN JOURNAL OF DAIRY TECHNOLOGY,"AGRICULTURE, DAIRY & ANIMAL SCIENCE; FOOD SCIENCE & TECHNOLOGY",Article,58,2,92-97,2003,6,13.189189,25.93,0.45,0.2314,64.4276,n/a
