Funding_Agencies,records,percent_of_total
PRE DOCTORAL FELLOWSHIP T32 TRAINING PROGRAM OF THE NATIONAL HEART LUNG AND BLOOD INSTITUTE AT THE UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL GRADUATE SCHOOL OF BIOMEDICAL SCIENCES,1,0.134
PREDICTORS OF STROKE IN TRAUMA,1,0.134
PREDOCTORAL INDIVIDUAL NATIONAL RESEARCH SERVICE AWARD FROM NATIONAL HEART LUNG AND BLOOD INSTITUTE,1,0.134
PRINCE FAISAL BIN FAHAD INTERNATIONAL PRIZE FOR ARAB SPORT DEVELOPMENT AND RESEARCH,1,0.134
PROGRAM OF RESEARCH INTEGRATING SUBSTANCE USE IN MAINSTREAM HEALTHCARE PRISM,1,0.134
PROJECT SUSTAINABILITY FOR THE NATIONAL INSTITUTE OF MENTAL HEALTH,1,0.134
R01,1,0.134
R01 FOR THE YEAR 25 CORONARY ARTERY CALCIFICATION MEASURES,1,0.134
R01 GRANT,1,0.134
RAVINE GROUP,1,0.134
REGENERON SANOFI,1,0.134
RHEUMATOLOGY RESEARCH FOUNDATION BRIDGE FUNDING AWARD,1,0.134
ROBERT WOOD JOHNSON HAROLD AMOS MEDICAL FACULTY,1,0.134
SEATTLESNPS,1,0.134
SICPA FOUNDATION,1,0.134
SOCIETE ACADEMIQUE VAUDOISE,1,0.134
STRATEGICALLY FOCUSED RESEARCH NETWORK GRANT FOR PREVENTION FROM THE AMERICAN HEART ASSOCIATION TO UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,1,0.134
SWEDISH RESEARCH COUNCIL,1,0.134
SWISS NATIONAL SCIENCE FOUNDATION SNSF,1,0.134
SYLVIA ALLISON KAPLAN AWARD FROM THE AASLD FOUNDATION,1,0.134
T32 TRAINING GRANT FROM NIH NATIONAL HEART LUNG AND BLOOD INSTITUTE NHLBI BEHAVIORAL MEDICINE APPROACHES TO CARDIOVASCULAR DISEASE,1,0.134
THE JOHN D AND CATHERINE T MACARTHUR FOUNDATION NETWORK ON SOCIOECONOMIC STATUS AND HEALTH,1,0.134
THRASHER RESEARCH FOUNDATION,1,0.134
UAB CENTER FOR CLINICAL AND TRANSLATIONAL SCIENCE,1,0.134
UAB DIABETES RESEARCH CENTER,1,0.134
UAB DIABETES RESEARCH CENTER NIH,1,0.134
UCLA FRIENDS OF THE SEMEL INSTITUTE FELLOWSHIP,1,0.134
UCLA OF SEMEL INSTITUTE,1,0.134
ULTRASOUND READING CENTER,1,0.134
UNC CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY CEHS UNIVERSITY OF NORTH CAROLINA FROM NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES NIEHS,1,0.134
UNC CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY UNIVERSITY OF NORTH CAROLINA FROM THE NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,1,0.134
UNC CH CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY CEHS,1,0.134
UNC CH CLINIC NUTRITION RESEARCH CENTER WH,1,0.134
UNC NUTRITION RESEARCH INSTITUTE,1,0.134
UNC OFFICE OF THE VICE CHANCELLOR FOR RESEARCH,1,0.134
UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,1,0.134
UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO PETROLINA BRAZIL,1,0.134
UNIVERSITY OF ALABAMA BIRMINGHAM AL,1,0.134
UNIVERSITY OF ALABAMA FIELD CENTER,1,0.134
UNIVERSITY OF CALIFORNIA AT SAN FRANCISCO CENTER FOR AGING IN DIVERSE COMMUNITIES UNDER RESOURCE CENTERS FOR MINORITY AGING RESEARCH PROGRAM OF THE NATIONAL INSTITUTE ON AGING,1,0.134
UNIVERSITY OF CALIFORNIA SAN FRANCISCO HEALTH DISPARITIES WORKING GROUP,1,0.134
UNIVERSITY OF GEORGIA,1,0.134
UNIVERSITY OF MEMPHIS,1,0.134
UNIVERSITY OF MIAMI,1,0.134
UNIVERSITY OF MINNESOTA DIET READING CENTER,1,0.134
UNIVERSITY OF NEVADA,1,0.134
UNIVERSITY OF NEW MEXICO CLINICAL TRANSLATIONAL SCIENCE CENTER SCHOLAR AWARD,1,0.134
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY,1,0.134
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL CLINIC NUTRITION RESEARCH CENTER,1,0.134
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL UNC CH CENTER FOR ENVIRONMENTAL HEALTH,1,0.134
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL UNC CH CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY,1,0.134
UNIVERSITY OF NORTH CAROLINA UNC CH CENTER,1,0.134
UNIVERSITY OF WISCONSIN MADISON LECTURE,1,0.134
URMAS PEKKALA FOUNDATION,1,0.134
US DEPARTMENT OF VETERANS AFFAIRS,1,0.134
US NATIONAL INSTITUTES OF HEALTH FROM NATIONAL HEART LUNG AND BLOOD INSTITUTE NHLBI,1,0.134
US PUBLIC HEALTH SERVICE FROM THE NATIONAL HEART LUNG AND BLOOD INSTITUTE,1,0.134
VA ADVANCED GERIATRICS FELLOWSHIP,1,0.134
VANDERBILT SCHOOL OF MEDICINE,1,0.134
VANDERBILT UNIVERSITY,1,0.134
W K KELLOGG DOCTORAL FELLOWSHIP IN HEALTH POLICY,1,0.134
WAKE FOREST UNIVERSITY YEAR 20 EXAM,1,0.134
WEIGHT WATCHERS,1,0.134
WEIGHT WATCHERS INTERNATIONAL,1,0.134
WORLD HEALTH ORGANIZATION,1,0.134
YALTA NIH,1,0.134
