Funding_Agencies,records,percent_of_total
KOREA HEALTHCARE TECHNOLOGY R D PROJECT MINISTRY OF HEALTH AND WELFARE,2,0.007
KOREA HEALTHCARE TECHNOLOGY RD PROJECT,2,0.007
KOREA MINISTRY OF ENVIRONMENT,2,0.007
KOREA RESEARCH FOUNDATION,2,0.007
KOREA UNIVERSITY,2,0.007
KOREA UNIVERSITY MEDICAL CENTER,2,0.007
KOWA LIFE SCIENCE FOUNDATION,2,0.007
KRAFT CANADA INC,2,0.007
KRESGE FOUNDATION EMERGING AND PROMISING PRACTICES,2,0.007
KUOPIO,2,0.007
KUOPIO TAMPERE AND TURKU UNIVERSITY HOSPITAL MEDICAL FUNDS,2,0.007
KUOPIO UNIVERSITY HOSPITAL EVO,2,0.007
KYUNGPOOK NATIONAL UNIVERSITY,2,0.007
LACER,2,0.007
LADY TATA MEMORIAL TRUST,2,0.007
LANDSPITALI UNIVERSITY HOSPITAL RESEARCH FUND,2,0.007
LARRY L HILLBLOM FOUNDATION,2,0.007
LAWSON FOUNDATION,2,0.007
LEADING FOREIGN RESEARCH INSTITUTE RECRUITMENT PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF SCIENCE ICT FUTURE PLANNING MSIP,2,0.007
LEAVES OF GRASS FOUNDATION,2,0.007
LEGA ITALIANA PER LA LOTTA CONTRO I TUMORI,2,0.007
LEIDEN UNIVERSITY MEDICAL CENTRE,2,0.007
LEONA M AND HARRY B HELMSLEY CHARITABLE TRUST,2,0.007
LERNER RESEARCH INSTITUTE,2,0.007
LEVERHULME TRUST,2,0.007
LIBERTY MUTUAL NATIONAL GRID,2,0.007
LIFELONG HEALTH AND WELLBEING CROSS COUNCIL PROGRAMME,2,0.007
LIFELONG HEALTH AND WELLBEING INITIATIVE,2,0.007
LIFESCAN,2,0.007
LOUISIANA CLINICAL AND TRANSLATIONAL SCIENCE CENTER,2,0.007
LOUISIANA STATE UNIVERSITY AGRICULTURAL CENTER,2,0.007
LUITPOLD AMERICAN REGENT,2,0.007
LUNDSTROMS FOUNDATION,2,0.007
LUNG FOUNDATION NETHERLANDS,2,0.007
LUPUS FOUNDATION OF AMERICA,2,0.007
LUPUS RESEARCH INSTITUTE,2,0.007
MACARTHUR FOUNDATION RESEARCH NETWORK ON PSYCHOPATHOLOGY AND DEVELOPMENT,2,0.007
MACARTHUR FOUNDATION RESEARCH NETWORK ON SUCCESSFUL AGING,2,0.007
MAHIDOL UNIVERSITY BANGKOK THAILAND,2,0.007
MAINE MEDICAL CENTER RESEARCH INSTITUTE,2,0.007
MAJOR BASIC RESEARCH PROJECT OF CHINA,2,0.007
MAJOR PROGRAM OF SHANGHAI MUNICIPALITY FOR BASIC RESEARCH,2,0.007
MAJOR PROJECT OF NATURAL SCIENCE FUND OF BEIJING,2,0.007
MALMO UNIVERSITY HOSPITAL,2,0.007
MANITOBA HEALTH RESEARCH COUNCIL,2,0.007
MANITOBA HEALTH RESEARCH COUNCIL MHRC,2,0.007
MANITOBA NETWORK ENVIRONMENT FOR ABORIGINAL HEALTH RESEARCH AWARD,2,0.007
MARDIGIAN FOUNDATION,2,0.007
MARIA SKLODOWSKA CURIE INSTITUTE OF ONCOLOGY IN WARSAW,2,0.007
MARIE SKLODOWSKA CURIE ACTIONS,2,0.007
MARMARA UNIVERSITY,2,0.007
MARSDEN FUND NZ,2,0.007
MARTHA AND GUSTAF AGREN FOUNDATION,2,0.007
MASHHAD UNIVERSITY OF MEDICAL SCIENCES,2,0.007
MASHHAD UNIVERSITY OF MEDICAL SCIENCES MASHHAD IRAN,2,0.007
MASHHAD UNIVERSITY OF MEDICAL SCIENCES RESEARCH COUNCIL,2,0.007
MASON FOUNDATION,2,0.007
MASSACHUSETTS INSTITUTE OF TECHNOLOGY BROAD INSTITUTE,2,0.007
MAX PLANCK INSTITUTE FOR DEMOGRAPHIC RESEARCH,2,0.007
MAYO CLINIC,2,0.007
MCCUSKER ALZHEIMER S RESEARCH FOUNDATION,2,0.007
MD ANDERSON S CANCER CENTER SUPPORT GRANT NATIONAL CANCER INSTITUTE,2,0.007
MEAT AND LIVESTOCK OF AUSTRALIA,2,0.007
MEDA,2,0.007
MEDAC GMBH,2,0.007
MEDICAL COLLEGE OF GEORGIA,2,0.007
MEDICAL COLLEGE OF WISCONSIN,2,0.007
MEDICAL RESEARCH CENTER OULU,2,0.007
MEDICAL RESEARCH COUNCIL OF SWEDEN,2,0.007
MEDICAL RESEARCH COUNCIL SOUTH AFRICA,2,0.007
MEDICAL UNIVERSITY PLEVEN BULGARIA,2,0.007
MEDSTAR HEALTH RESEARCH INSTITUTE,2,0.007
MERCK PFIZER,2,0.007
MESA STUDY INVESTIGATORS,2,0.007
MESOBLAST,2,0.007
METROPOLITAN DETROIT CANCER SURVEILLANCE SYSTEM,2,0.007
MEXICAN SOCIAL SECURITY INSTITUTE FOUNDATION CIVIL ASSOCIATION,2,0.007
MGH RESEARCH SCHOLAR FUND,2,0.007
MHRC,2,0.007
MICHIGAN CENTER FOR INTEGRATIVE APPROACHES TO HEALTH DISPARITIES NIMHD,2,0.007
MICHIGAN INSTITUTE FOR CLINICAL AND HEALTH RESEARCH GRANT,2,0.007
MICHIGAN STATE UNIVERSITY,2,0.007
MILLENNIUM THE TAKEDA ONCOLOGY CO,2,0.007
MILTENYI BIOTEC INC,2,0.007
MINISTERE DE LA SANTE,2,0.007
MINISTERIO DE ECONOMIA Y COMPETITIVIDAD MINECO,2,0.007
MINISTERIO DE ECONOMIA Y COMPETITIVIDAD SPAIN,2,0.007
MINISTERO DELLA SALUTE WFR,2,0.007
MINISTRY OF CULTURAL AFFAIRS OF THE FEDERAL STATE OF MECKLENBURG WEST POMERANIA,2,0.007
MINISTRY OF ECONOMY INDUSTRY AND COMPETITIVENESS,2,0.007
MINISTRY OF EDUCATION AND CULTURE FINLAND,2,0.007
MINISTRY OF EDUCATION AND CULTURE OF FINLAND,2,0.007
MINISTRY OF EDUCATION AND SCIENCE OF THE REPUBLIC OF SERBIA,2,0.007
MINISTRY OF EDUCATION AND SCIENCE REPUBLIC OF SERBIA,2,0.007
MINISTRY OF EDUCATION PROJECT OF HUMANITIES AND SOCIAL SCIENCES,2,0.007
MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGICAL DEVELOPMENT REPUBLIC OF SERBIA,2,0.007
MINISTRY OF FINANCE OF THE PEOPLE S REPUBLIC OF CHINA,2,0.007
MINISTRY OF HEALTH MALAYSIA,2,0.007
MINISTRY OF HEALTH OF BRAZIL,2,0.007
MINISTRY OF HEALTH WELFARE SEOUL KOREA,2,0.007
MINISTRY OF HIGHER EDUCATION AND RESEARCH OF LUXEMBOURG,2,0.007
MINISTRY OF HIGHER EDUCATION SCIENTIFIC RESEARCH MHESR,2,0.007
MINISTRY OF INNOVATION SCIENCE RESEARCH AND TECHNOLOGY OF THE STATE NORTH RHINE WESTPHALIA DUSSELDORF GERMANY,2,0.007
MINISTRY OF KNOWLEDGE ECONOMY REPUBLIC OF KOREA,2,0.007
MINISTRY OF SCHOOL SCIENCE AND RESEARCH OF THE STATE OF NORTH RHINE WESTPHALIA,2,0.007
MINISTRY OF SCIENCE ICT AND FUTURE PLANNING,2,0.007
MINISTRY OF SCIENCE SERBIA,2,0.007
MINISTRY OF SCIENCE TECHNOLOGY AND INNOVATION CNPQ NATIONAL RESEARCH COUNCIL,2,0.007
MINISTRY OF SCIENCE TECHNOLOGY AND INNOVATION FINANCIADORA DE ESTUDOS E PROJETOS FINEP,2,0.007
MINISTRY OF SOCIAL AFFAIRS AND HEALTH OF FINLAND,2,0.007
MINISTRY OF THE ECONOMY AND COMPETITIVENESS MINECO SPAIN,2,0.007
MINISTRY OF YOUTH AND FAMILIES,2,0.007
MINNESOTA DEPARTMENT OF HEALTH S STATEWIDE HEALTH IMPROVEMENT PARTNERSHIP,2,0.007
MINNESOTA DEPARTMENT OF HUMAN SERVICES,2,0.007
MINNESOTA MEDICAL FOUNDATION,2,0.007
MISSISSIPPI STATE DEPARTMENT OF HEALTH FROM THE NATIONAL INSTITUTE FOR MINORITY HEALTH AND HEALTH DISPARITIES,2,0.007
MISSISSIPPI STATE DEPARTMENT OF HEALTH FROM THE NATIONAL INSTITUTE FOR MINORITY HEALTH AND HEALTH DISPARITIES NIMHD,2,0.007
MITCHELL KAPOR FOUNDATION,2,0.007
MITSUI SUMITOMO INSURANCE WELFARE FOUNDATION,2,0.007
MOST CLINICAL TRIAL CONSORTIUM FOR STROKE,2,0.007
MOUNT SINAI SCHOOL OF MEDICINE,2,0.007
MOUNT ZION HEALTH FUND,2,0.007
MRC CENTENARY EARLY CAREER AWARD,2,0.007
MULTI ETHNIC STUDY OF ATHEROSCLEROSIS NEIGHBORHOOD STUDY NATIONAL INSTITUTES OF HEALTH NATIONAL HEART LUNG AND BLOOD INSTITUTE,2,0.007
MUNICH CENTER OF HEALTH SCIENCES MC HEALTH LUDWIG MAXIMILIANS UNIVERSITAT AS PART OF LMUINNOVATIV,2,0.007
MUNICIPAL HEALTH CARE CENTER AND HOSPITAL IN JAKOBSTAD,2,0.007
MURDOCH CHILDREN S RESEARCH INSTITUTE MCRI,2,0.007
MURDOCH UNIVERSITY,2,0.007
MUTUELLE GENERALE DE L EDUCATION NATIONALE FRANCE,2,0.007
NANCY KIRWAN HEART RESEARCH FUND SAN FRANCISCO CA,2,0.007
NARPES HEALTH CARE FOUNDATION,2,0.007
NATIONAL ACADEMY OF MEDICAL SCIENCES UKRAINE,2,0.007
NATIONAL ALZHEIMER S COORDINATING CENTER,2,0.007
NATIONAL CANCER CENTER IN KOREA,2,0.007
NATIONAL CANCER CENTER KOREA,2,0.007
NATIONAL CATTLEMEN S BEEF ASSOCIATION,2,0.007
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCE,2,0.007
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCE OF THE NATIONAL INSTITUTES OF HEALTH,2,0.007
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES BETHESDA MD USA,2,0.007
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES CTSI,2,0.007
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES NIH,2,0.007
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES OF NATIONAL INSTITUTES OF HEALTH,2,0.007
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES OF THE NATIONAL INSTITUTES OF HEALTH NIH,2,0.007
NATIONAL CENTER FOR NEUROLOGY PSYCHIATRY JAPAN,2,0.007
NATIONAL CENTER FOR RESEARCH RESOURCES CTSI,2,0.007
NATIONAL CENTER OF COMPETENCE IN RESEARCH NCCR KIDNEY CH,2,0.007
NATIONAL CLINICAL RESEARCH CENTER FOR KIDNEY DISEASE NANFANG HOSPITAL NANFANG MEDICAL UNIVERSITY GUANGZHOU CHINA,2,0.007
NATIONAL DAIRY COUNCIL USA,2,0.007
NATIONAL DEFENSE MEDICAL RESEARCH,2,0.007
NATIONAL DEPRESSION INITIATIVE BEYONDBLUE,2,0.007
NATIONAL FOOTBALL LEAGUE,2,0.007
NATIONAL FOOTBALL LEAGUE CHARITIES,2,0.007
NATIONAL FOOTBALL LEAGUE PLAYERS ASSOCIATION,2,0.007
NATIONAL FUND OF RESEARCH FOND NATIONAL DE RECHERCHE,2,0.007
NATIONAL GENOME RESEARCH INSTITUTE KOREA CENTER FOR DISEASE CONTROL AND PREVENTION,2,0.007
NATIONAL HARTFORD CENTER OF GERONTOLOGICAL NURSING EXCELLENCE PATRICIA G ARCHBOLD SCHOLARSHIP MAYDAY AWARD,2,0.007
NATIONAL HEALTH FUND,2,0.007
NATIONAL HEALTH INSTITUTE,2,0.007
NATIONAL HEALTH RESEARCH INSTITUTES JAPAN,2,0.007
NATIONAL HEART LUNG AND BLOOD INSTITUTE NATIONAL INSTITUTES OF HEALTH UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES,2,0.007
NATIONAL HEART LUNG AND BLOOD INSTITUTE NHLBI IN COLLABORATION WITH THE UNIVERSITY OF ALABAMA AT BIRMINGHAM,2,0.007
NATIONAL HEART LUNG AND BLOOD INSTITUTE T32 POSTDOCTORAL TRAINING GRANT,2,0.007
NATIONAL HEART LUNG AND BLOOD INSTITUTE TRAINING GRANT,2,0.007
NATIONAL HEART LUNG AND BLOOD INSTITUTES FROM THE NATIONAL INSTITUTE ON AGING,2,0.007
NATIONAL INSTITUTE FOR HEALTH RESEARCH NIHR SOUTHAMPTON BIOMEDICAL RESEARCH CENTRE,2,0.007
NATIONAL INSTITUTE FOR HEALTH RESEARCH PUBLIC HEALTH RESEARCH NIHR PHR PROGRAMME,2,0.007
NATIONAL INSTITUTE FOR HEALTH RESEARCH UNDER THE UK CLINICAL RESEARCH COLLABORATION,2,0.007
NATIONAL INSTITUTE FOR NURSING RESEARCH OF THE NATIONAL INSTITUTES OF HEALTH,2,0.007
NATIONAL INSTITUTE FOR NUTRITION AND HEALTH CHINA CENTER FOR DISEASE CONTROL AND PREVENTION,2,0.007
NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES TRAINING GRANT,2,0.007
NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH,2,0.007
NATIONAL INSTITUTE OF HEALTH COMMON FUND,2,0.007
NATIONAL INSTITUTE OF HEALTH TRAINING GRANT IN PSYCHIATRIC EPIDEMIOLOGY,2,0.007
NATIONAL INSTITUTE OF MINORITY HEALTH AND HEALTH DISPARITIES AT THE NATIONAL INSTITUTES OF HEALTH,2,0.007
NATIONAL INSTITUTE OF MINORITY HEALTH AND HEALTH DISPARITIES OF THE NATIONAL INSTITUTES OF HEALTH,2,0.007
NATIONAL INSTITUTE OF NURSING RESEARCH GRANT,2,0.007
NATIONAL INSTITUTE OF NUTRITION AND FOOD SAFETY,2,0.007
NATIONAL INSTITUTE OF NUTRITION AND FOOD SAFETY CHINA CENTER FOR DISEASE CONTROL AND PREVENTION,2,0.007
NATIONAL INSTITUTE OF PUBLIC HEALTH AND THE ENVIRONMENT,2,0.007
NATIONAL INSTITUTE ON AGING NIA NATIONAL INSTITUTES OF HEALTH NIH DEPARTMENT OF HEALTH AND HUMAN SERVICES,2,0.007
NATIONAL INSTITUTE ON AGING NIA OF THE NATIONAL INSTITUTES OF HEALTH NIH,2,0.007
NATIONAL INSTITUTE ON AGING OF NATIONAL INSTITUTES OF HEALTH,2,0.007
NATIONAL INSTITUTE ON AGING UNITED STATES,2,0.007
NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM NIAAA OF THE NATIONAL INSTITUTES OF HEALTH,2,0.007
NATIONAL INSTITUTE ON DISABILITY AND REHABILITATION RESEARCH,2,0.007
NATIONAL INSTITUTE ON DRUG ABUSE DRUG EPIDEMIOLOGY TRAINING GRANT,2,0.007
NATIONAL INSTITUTE ON DRUG ABUSE GRANT,2,0.007
NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES BETHESDA MD,2,0.007
NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES COMPREHENSIVE CENTERS OF EXCELLENCE,2,0.007
NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES NATIONAL INSTITUTES OF HEALTH,2,0.007
NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES NIMHD AT THE NATIONAL INSTITUTES OF HEALTH NIH,2,0.007
NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES OF THE NATIONAL INSTITUTE OF HEALTH,2,0.007
NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES OF THE NIH,2,0.007
NATIONAL INSTITUTES OF DIABETES AND DIGESTIVE AND KIDNEY DISEASE OF THE NATIONAL INSTITUTES OF HEALTH,2,0.007
NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES BETHESDA MARYLAND,2,0.007
NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES GRANT,2,0.007
NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE ON NURSING RESEARCH,2,0.007
NATIONAL INSTITUTES OF HEALTH NIH NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES,2,0.007
NATIONAL INSTITUTES OF HEALTH S NATIONAL INSTITUTE OF CHILD HEALTH AND HUMAN DEVELOPMENT,2,0.007
NATIONAL INSTITUTES OF HEALTH S NATIONAL INSTITUTE ON AGING,2,0.007
NATIONAL INSTITUTES OF HEALTH THE NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASE,2,0.007
NATIONAL KEY RESEARCH AND DEVELOPMENT PROGRAM PRECISION MEDICINE INITIATIVE OF CHINA,2,0.007
NATIONAL MARROW DONOR PROGRAM,2,0.007
NATIONAL NATURE SCIENTIFIC FUNDING OF CHINA,2,0.007
NATIONAL PLAN ON DRUG ADDICTION,2,0.007
NATIONAL RESEARCH CENTRE NRC,2,0.007
NATIONAL RESEARCH FOUNDATION OF KOREA MINISTRY OF SCIENCE AND ICT,2,0.007
NATIONAL RESEARCH FOUNDATION OF KOREA NRF GRANT KOREA GOVERNMENT MSIP,2,0.007
NATIONAL RESEARCH FOUNDATION OF KOREA NRF KOREA GOVERNMENT MSIT,2,0.007
NATIONAL RESEARCH FOUNDATION OF KOREA NRF KOREAN GOVERNMENT MSIP,2,0.007
NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF EDUCATION,2,0.007
NATIONAL RESEARCH INITIATIVE OF THE U S DEPARTMENT OF AGRICULTURE S NATIONAL INSTITUTE FOR FOOD AND AGRICULTURE,2,0.007
NATIONAL SCIENCE AND TECHNOLOGY MAJOR PROJECT OF THE MINISTRY OF SCIENCE AND TECHNOLOGY OF CHINA,2,0.007
NATIONAL SCIENCE AND TECHNOLOGY MAJOR PROJECTS SPECIALIZED FOR MAJOR NEW DRUGS INNOVATION AND DEVELOPMENT DURING THE 12TH FIVE YEAR PLAN PERIOD CHINA STROKE PRIMARY PREVENTION TRIAL,2,0.007
NATIONAL SCIENCE AND TECHNOLOGY SUPPORT PROJECT,2,0.007
NATIONAL SCIENCE AND TECHNOLOGY SUPPORT PROJECTS FOR THE ELEVENTH FIVE YEARS PLAN OF CHINA,2,0.007
NATIONAL SCIENCE CENTRE,2,0.007
NATIONAL SLEEP FOUNDATION,2,0.007
NATIONAL SOCIAL SCIENCE FOUNDATION,2,0.007
NATIONAL SOCIAL SCIENCE FOUNDATION OF CHINA,2,0.007
NATIONAL SPACE BIOMEDICAL RESEARCH INSTITUTE,2,0.007
NATIONAL SPACE BIOMEDICAL RESEARCH INSTITUTE NSBRI,2,0.007
NATIONAL TRAINING PROGRAMS OF INNOVATION AND ENTREPRENEURSHIP FOR UNDERGRADUATES,2,0.007
NATO,2,0.007
NATURAL SCIENCE FOUNDATION OF CHONGQING,2,0.007
NATURAL SCIENCE FOUNDATION PROJECT OF CQ CSTC,2,0.007
NAVARRE REGIONAL GOVERNMENT,2,0.007
NCI AT THE NIH,2,0.007
NEOVII BIOTECH NA INC,2,0.007
NEPHROCEUTICALS,2,0.007
NESTLE FOUNDATION,2,0.007
NESTLE RESEARCH CENTER,2,0.007
NESTLE WATERS USA,2,0.007
NETHERLANDS CANCER REGISTRY,2,0.007
NETHERLANDS CARDIOVASCULAR RESEARCH INITIATIVE,2,0.007
NETHERLANDS GENOMICS INITIATIVE NETHERLANDS CONSORTIUM FOR HEALTHY AGING,2,0.007
NEURONETICS,2,0.007
NEW ENGLAND RESEARCH INSTITUTE,2,0.007
NEW HAMPSHIRE AGRICULTURAL EXPERIMENT STATION,2,0.007
NEW JERSEY DEPARTMENT OF HEALTH AND SENIOR SERVICES,2,0.007
NEW JERSEY HEALTH FOUNDATION,2,0.007
NEW NATIONAL EXCELLENCE PROGRAM OF THE MINISTRY OF HUMAN CAPACITIES,2,0.007
NEW ZEALAND MINISTRY OF HEALTH,2,0.007
NHLBI NIH DHHS,2,0.007
NHLBI THROUGH THE STAMPEED PROGRAM,2,0.007
NHLBI TRAINING GRANT,2,0.007
NHS EAST OF ENGLAND MULTI PROFESSIONAL DEANERY,2,0.007
NHS LOTHIAN RESEARCH AND DEVELOPMENT OFFICE,2,0.007
NIA GRANT,2,0.007
NICHD CENTER GRANT,2,0.007
NICHD RUTH L KIRSCHSTEIN NATIONAL RESEARCH SERVICE AWARD,2,0.007
NIH BY THE NATIONAL HEART LUNG AND BLOOD INSTITUTE,2,0.007
NIH FOGARTY INTERNATIONAL CENTER FOGARTY INTERNATIONAL RESEARCH AND TRAINING PROGRAM,2,0.007
NIH FROM THE NHLBI BETHESDA MD,2,0.007
NIH NCRR COLORADO CTSI CO PILOT GRANT,2,0.007
NIH NCRR COLORADO CTSI GRANT,2,0.007
NIH NIMHD GRANT,2,0.007
NIH OFFICE OF DISEASE PREVENTION,2,0.007
NIH OFFICE OF RESEARCH IN WOMEN S HEALTH,2,0.007
NIH OFFICE ON DIETARY SUPPLEMENTS BETHESDA MD,2,0.007
NIH RESEARCH INFRASTRUCTURE IN MINORITY INSTITUTIONS FROM THE NATIONAL INSTITUTE OF MINORITY HEALTH AND HEALTH DISPARITIES,2,0.007
NIHR COLLABORATION FOR LEADERSHIP IN APPLIED HEALTH RESEARCH AND CARE OF THE SOUTH WEST PENINSULA PENCLAHRC,2,0.007
NIHR HEALTH PROTECTION RESEARCH UNIT ON HEALTH IMPACT OF ENVIRONMENTAL HAZARDS,2,0.007
NIHR LEICESTER BIOMEDICAL RESEARCH CENTRE,2,0.007
NIHR OXFORD HEALTH BIOMEDICAL RESEARCH CENTRE,2,0.007
NIMHD ENVIRONMENT SUPPLEMENT,2,0.007
NIMHD USA,2,0.007
NJURFONDEN,2,0.007
NL AGENCY,2,0.007
NORC,2,0.007
NORC CENTER GRANT NIDDK,2,0.007
NORD TRONDELAG COUNTY COUNCIL,2,0.007
NORDEA FONDEN,2,0.007
NORDEA FOUNDATION,2,0.007
NORDEA FOUNDATION OPUS CENTRE,2,0.007
NORDFORSK NORWAY,2,0.007
NORDFORSK THE NORWEGIAN CANCER SOCIETY,2,0.007
NORDIC PROGRAMME ON HEALTH AND WELFARE,2,0.007
NORTH WEST UNIVERSITY POTCHEFSTROOM SOUTH AFRICA,2,0.007
NORTHEASTERN UNIVERSITY,2,0.007
NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH AND EDUCATION,2,0.007
NORTHSHORE RESEARCH CAREER DEVELOPMENT AWARD,2,0.007
NORTHSHORE UNIVERSITY HEALTHSYSTEM RESEARCH CAREER DEVELOPMENT AWARD,2,0.007
NORTHWEST KIDNEY CENTERS,2,0.007
NORTHWESTEM UNIVERSITY FIELD CENTER,2,0.007
NORWEGIAN COUNCIL ON CARDIOVASCULAR DISEASE,2,0.007
NORWEGIAN COUNCIL ON CARDIOVASCULAR DISEASES,2,0.007
NORWEGIAN FOUNDATION FOR HEALTH AND REHABILITATION,2,0.007
NORWEGIAN HEALTH ASSOCIATION,2,0.007
NORWEGIAN SEAFOOD RESEARCH FUND FHF,2,0.007
NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,2,0.007
NOVARTIS INC,2,0.007
NOVARTIS PHARMA AG,2,0.007
NOVO NORDISK FARMA ALPHEN AAN DEN RIJN THE NETHERLANDS,2,0.007
NOVO NORDISK UNION DIABETES RESEARCH TALENT FUND,2,0.007
NRMA ACT ROAD SAFETY TRUST,2,0.007
NRMA MOTORING AND SERVICES,2,0.007
NRPB STROKE CLINICAL TRIAL CONSORTIUM,2,0.007
NSF S HSD,2,0.007
NSW MINISTRY OF HEALTH,2,0.007
NUNAFONDEN,2,0.007
NUNAVIK REGIONAL BOARD OF HEALTH AND SOCIAL SERVICES,2,0.007
NUTRIM MAASTRICHT,2,0.007
NUTRIM SCHOOL FOR NUTRITION AND TRANSLATIONAL RESEARCH IN METABOLISM MAASTRICHT THE NETHERLANDS,2,0.007
NUTRITION OBESITY RESEARCH CENTER NORC,2,0.007
NUTRITION OBESITY RESEARCH CENTER NORC UNIVERSITY OF NORTH CAROLINA FROM NATIONAL INSTITUTE FOR DIABETES AND DIGESTIVE AND KIDNEY DISEASES NIDDK,2,0.007
NUTRITION OBESITY RESEARCH CENTER NORC UNIVERSITY OF NORTH CAROLINA FROM THE NATIONAL INSTITUTE FOR DIABETES AND DIGESTIVE AND KIDNEY DISEASES NIDDK,2,0.007
NUTRITION OBESITY RESEARCH CENTER UNIVERSITY OF NORTH CAROLINA FROM THE NATIONAL INSTITUTE FOR DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2,0.007
NWO VENI GRANT ON MAKING THE HEALTHY CHOICE EASIER ROLE OF THE LOCAL FOOD ENVIRONMENT,2,0.007
NYCOMED,2,0.007
OAK FOUNDATION,2,0.007
OBESITY SOCIETY,2,0.007
OFER AND SHELLY NEMIROVSKY RESEARCH SCHOLAR AWARD FROM MASSACHUSETTS GENERAL HOSPITAL,2,0.007
OFFICE FOR NATIONAL STATISTICS,2,0.007
OFFICE OF RESEARCH AND DEVELOPMENT,2,0.007
OHIO STATE UNIVERSITY CLINICAL RESEARCH CENTER,2,0.007
OHIO STATE UNIVERSITY OFFICE OF DIVERSITY INCLUSION,2,0.007
OIS PROGRAM OF THE VICTORIAN GOVERNMENT AUSTRALIA,2,0.007
OLLQVIST FOUNDATION,2,0.007
OM PERSSON FOUNDATION,2,0.007
OMRON,2,0.007
OMTHERA,2,0.007
ONIVINS,2,0.007
ONTARIO MENTAL HEALTH FOUNDATION,2,0.007
ONTARIO MINISTRY OF THE ENVIRONMENT,2,0.007
ORD VA,2,0.007
ORGANON PHARMACEUTICALS,2,0.007
ORION RESEARCH FOUNDATION,2,0.007
OXFORD BHF CENTRE FOR RESEARCH EXCELLENCE,2,0.007
PAGE COORDINATING CENTER,2,0.007
PARKER B FRANCIS FOUNDATION,2,0.007
PARTNERSHIP FOR MATERNAL NEWBORN AND CHILD HEALTH,2,0.007
PATRICK AND CATHERINE WELDON DONAGHUE MEDICAL RESEARCH FOUNDATION,2,0.007
PATTERSON FELLOWSHIP,2,0.007
PAUL AND RUBY TSAI FAMILY,2,0.007
PEARL STRING INITIATIVE DIABETES,2,0.007
PEDIATRIC HEART NETWORK,2,0.007
PELOTONIA PREDOCTORAL FELLOWSHIP FROM THE OHIO STATE UNIVERSITY COMPREHENSIVE CANCER CENTER,2,0.007
PENN CTSA,2,0.007
PENN STATE CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE,2,0.007
PENN STATE CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE CTSI,2,0.007
PENNSYLVANIA STATE TOBACCO SETTLEMENT FUND,2,0.007
PENNSYLVANIA STATE UNIVERSITY CLINICAL AND TRANSLATIONAL SCIENCE AWARD,2,0.007
PERCEPTIVE INFORMATICS INC,2,0.007
PERELMAN SCHOOL OF MEDICINE AT THE UNIVERSITY OF PENNSYLVANIA CLINICAL AND TRANSLATIONAL SCIENCE AWARD NATIONAL INSTITUTES OF HEALTH NIH NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES NCATS,2,0.007
PERIMED,2,0.007
PERKLEN FOUNDATION,2,0.007
PFIZER AUSTRALIA,2,0.007
PHARMACCESS FOUNDATION,2,0.007
PHARMACIA,2,0.007
PHC VOLUBILIS PROGRAM,2,0.007
PHRI,2,0.007
PHRMA FOUNDATION,2,0.007
PHS GRANT FROM THE CLINICAL AND TRANSLATIONAL SCIENCE AWARD PROGRAM,2,0.007
