Group_Authors,records,percent_of_total
ITALIAN SOC ECHOCARDIOGRAPHY CARDI,1,0.003
ITALIAN SOC OBSTET,1,0.003
ITALIAN SOC PEDIAT ENDOCRINOLOGY,1,0.003
ITINERE PROJECT GRP,1,0.003
JAPAN DIETETIC STUDENTS'STUDY,1,0.003
JAPAN PUBLIC HLTH CTR BASED,1,0.003
JAPAN PUBLIC HLTH CTR-BASED,1,0.003
JAPAN PUBLIC HLTH CTR-BASED PROSPE,1,0.003
JAPAN WORK STRESS HLTH COHORT STUD,1,0.003
JAPANESE BRAZILIAN DIABET STUDY,1,0.003
JAPANESE BRAZILIAN DIABETES STUD,1,0.003
JBDS GRP,1,0.003
JCS JOINT WORKING GRP,1,0.003
JICHI MED SCH COHORT INVE,1,0.003
KAILUAN CARDIOVASC SURVEY GRP,1,0.003
KIHAC RESP MED GRP,1,0.003
KNOW KT STUDY GRP,1,0.003
KNOW-KT STUDY GRP,1,0.003
KORA STUDY GROUP,1,0.003
LATIN AMER EXPERT GRP,1,0.003
LBUSR FEC,1,0.003
LEAP STUDY GRP,1,0.003
LEARN 2 MOVE RES GRP,1,0.003
LEDUCQ MITRAL TRANSATLANTIC NETWOR,1,0.003
LIFE MOMS RES GRP,1,0.003
LIFE STUDY GRP,1,0.003
LIFE-MOMS RES GRP,1,0.003
LIFEPATH CONSORTIUM,1,0.003
LIFESTYLE COMM PREVENTION CARDIO,1,0.003
LIPID BLOOD PRESSURE META ANAL,1,0.003
LIPID STUDY INVESTIGATORS,1,0.003
LIPOPROTEIN INVESTIGATORS,1,0.003
LOLIPOP,1,0.003
LONG LIFE FAMILY STUDY,1,0.003
LONG LIFE FAMILY STUDY RES GRP,1,0.003
LONG TERM CARDIO RESP OUTCOMES EXT,1,0.003
LONG-TERM CARDIO-RESP OUTCOMES EXT,1,0.003
LOWER MISSISSIPPI DELTA NUTR INTER,1,0.003
LUMINA STUDY GRP,1,0.003
LURIC,1,0.003
MACARTHUR ASSESSMENT BATTERY WORKI,1,0.003
MAGDA STUDY GRP,1,0.003
MAGNET STUDY INVESTIGATOR,1,0.003
MALMO,1,0.003
MANAGEMENT ARTERIAL HYPERTENSION E,1,0.003
MANAGEMENT MOOD COGNITION FATIGUE,1,0.003
MARINE RESILIENCY STUDY TEAM,1,0.003
MATERNAL FETAL MED UNITS MFMU NETW,1,0.003
MATERNAL-FETAL MED UNITS MFMU NETW,1,0.003
MATISS PROJECT,1,0.003
MBCHB SAMMPRIS INVESTIGATORS,1,0.003
MCMDM VWD GRP,1,0.003
MCMDM-VWD GRP,1,0.003
MED RES COUNCIL NATL SURVEY HLTH,1,0.003
MEGASTROKE CONSORTIUM INTL,1,0.003
MESYAS REGISTRY INVESTIGATORS,1,0.003
METASCREEN WRITING COMMITTEE,1,0.003
METEOR STUDY GRP,1,0.003
METS STUDY INVESTIGATORS,1,0.003
MIGHT GRP,1,0.003
MOLI SANI INVESTIGATORS,1,0.003
MOLI SANI STUDY INVESTIGATORS,1,0.003
MOLI-SANI INVESTIGATORS,1,0.003
MOLI-SANI STUDY INVESTIGATORS,1,0.003
MONICA KORA STUDY INVESTIGATORS,1,0.003
MONICAKORA,1,0.003
MRC NSHD DATA COLLECTION TEAM,1,0.003
MRC NSHD SCI COLLECTION TEAM,1,0.003
MRFIT RES GRP,1,0.003
MUGELLO STUDY WORKING GRP,1,0.003
MULTICENTER AIRWAY RES COLLABORATI,1,0.003
MULTICENTER CRACK COCAINE,1,0.003
MULTIPLE RISK FACTOR INTER RES GRP,1,0.003
NASSDA STUDY TEAM,1,0.003
NATL ACAD ENGN,1,0.003
NATL ACAD MED,1,0.003
NATL ACAD SCI,1,0.003
NATL CHOLESTEROL EDUC PROGRAM EXPERT,1,0.003
NATL ESRD CORE INDICATORS WORKGROU,1,0.003
NATL HEART LUNG BLOOD INST GO EXOM,1,0.003
NAVIGATOR STUDY GRP,1,0.003
NEMOURS NETWORK ASTHMA RES,1,0.003
NEO STUDY GRP,1,0.003
NHLBI,1,0.003
NHLBI CANDIDATE GENE ASSOC,1,0.003
NHLBI G0 EXOME SEQUENCING PROJECT,1,0.003
NHLBI GRAND OPPORTUNITY EXOME SEQU,1,0.003
NHLBI NUMOM2B HEART HLTH STUDY NET,1,0.003
NHLBI TRANS OMICS PRECISION MED TO,1,0.003
NHLBI TRANS-OMICS PRECISION MED TO,1,0.003
NHS,1,0.003
NICE HYPERPHOSPHATAEMIA GUIDELINE,1,0.003
NICHD NUMOM2B HEART HLTH STUDY,1,0.003
NICHD NUMOM2B HEART HLTH STUDY NET,1,0.003
NIHR BIORESOURCE RARE DIS CONSORTI,1,0.003
NIHR BIORESOURCE-RARE DIS CONSORTI,1,0.003
NINE MESOAMER COUNTRIES METAB SYND,1,0.003
NIPPON DATA 80 RES GRP,1,0.003
NIPPON DATA80 90 RES GRP,1,0.003
NIPPON DATA90 RES GRP,1,0.003
NLA EXPERT PANEL,1,0.003
NNFF INT DATABASE PARTICIPANTS,1,0.003
NOMBRE COMITE DIRECTIUO MUNDIAL,1,0.003
NORDIC IDIOPATHIC INTRACRANIAL,1,0.003
NORTH WEST ADELAIDE COHORT HLTH ST,1,0.003
NORWEGIAN STUDY GRP CHILDHOOD DIAB,1,0.003
NPHSII,1,0.003
NSC,1,0.003
NSFA,1,0.003
NSW CANC COUNCIL CANC EDUC RES PRO,1,0.003
NUMOM2B STUDY,1,0.003
NURETA PREDIMED INVESTIGATORS,1,0.003
NURETA-PREDIMED INVESTIGATORS,1,0.003
NUTR COMM,1,0.003
NUTRITION COMM,1,0.003
NW ADELAIDE HLTH STUDY TEAM,1,0.003
NYAS,1,0.003
OBESITY COMM COUNCIL LIFESTYLE C,1,0.003
OCCUPATIONAL ENVIRONM LUNG DISORDE,1,0.003
OPTIONS RES TEAM,1,0.003
ORAL CONTRACEPTIVE HEMOSTASIS STUD,1,0.003
OSAKA TWIN RES GRP,1,0.003
OSTEOPOROTIC FRACTURES IN MEN MROS,1,0.003
OSTEOPOROTIC FRACTURES MEN MR,1,0.003
OSTEOPOROTIC FRACTURES MEN MROS RE,1,0.003
OSTEOPOROTIC FRACTURES MEN RES GRP,1,0.003
OSTEOPOROTIC FRACTURES MEN STUDY,1,0.003
OSTERR GESELLSCHAFT,1,0.003
OSTERR GESELLSCHAFT GERIATRIE,1,0.003
OSTERREICHISCHE,1,0.003
OSTERREICHISCHE DIABET,1,0.003
OSTERREICHISCHE GESELLSCHAFT,1,0.003
OSTERREICHISCHE KARDIOLOGISCHE,1,0.003
OSTERREICHISCHE SCHLAGANFALL,1,0.003
OTHERS FAMILY HEART STUDY,1,0.003
PACING CARDIOMYOPATHY PIC STUDY,1,0.003
PARTAGE STUDY INVESTIGATORS,1,0.003
PARTICIPATING CTR,1,0.003
PASTURE STUDY GRP,1,0.003
PATHOBIOLOGICAL DETERMINANTS,1,0.003
PATHOBIOLOGICAL DETERMINANTS ATHER,1,0.003
PCOSACT STUDY GRP,1,0.003
PEDIAT POLICY COUNCIL,1,0.003
PENNCATH,1,0.003
PERU MIGRANT STUDY,1,0.003
PHACS,1,0.003
PHARMACOG CONSORTIUM,1,0.003
PHENX TRR ENVIRONM WORKING GRP,1,0.003
PIRP NEPHROLOGISTS GRP,1,0.003
PRC USA CARDIOVASCULAR,1,0.003
PRC-USA CARDIOVASCULAR,1,0.003
PREDIMED PLUS STUDY INVESTIGATORS,1,0.003
PREDIMED-PLUS STUDY INVESTIGATORS,1,0.003
PREMATURITY STUDY GRP,1,0.003
PREMIER COLLABORATIVE RES GRP,1,0.003
PREVENCION CON DIETA MEDITERRANEA,1,0.003
PREVENTION STAT COMM,1,0.003
PROCARDIS,1,0.003
PROGETTO CUORE RES GRP,1,0.003
PROGRESSIVE RENAL DIS MED I,1,0.003
PROMIS,1,0.003
PROSIECT SIR GAR GRP,1,0.003
PROSPER,1,0.003
PROSPER STUDY GRP,1,0.003
QINGDAO DIABETES SURVEY GRP 2006 2,1,0.003
QUEBEC HEART HLTH DEMONSTRATION,1,0.003
QUOVADIS STUDY GRP,1,0.003
REACH REGISTRY INVESTIGATORS,1,0.003
REACTION STUDY GRP,1,0.003
REGARDS INVESTIGATORS,1,0.003
REGENERON GENETICS CTR,1,0.003
REGICOR INVEST,1,0.003
REPORT AMER COL CARDIOLOGY AMER,1,0.003
REPRESENTATION GRP TRABAJO TABAQUI,1,0.003
REPRESENTING KNOW CKD STUDY GRP,1,0.003
REPRESENTING KNOW-CKD STUDY GRP,1,0.003
RHINE STUDY GRP,1,0.003
RISC STUDY GRP,1,0.003
RISC STUDY INVEST,1,0.003
RISE CONSORTIUM,1,0.003
ROTTERDAM,1,0.003
SAFEHEART INVESTIGATORS,1,0.003
SAP NEEDS STUDY GRP,1,0.003
SAP-NEEDS STUDY GRP,1,0.003
SASKATCHEWAN RURAL HLTH STUDY GRP,1,0.003
SAULA VIGILI KREUTZENBERG,1,0.003
SAVE INVESTIGATORS,1,0.003
SBC,1,0.003
SCOP STUDY GRP,1,0.003
SCOPE CONSORTIUM,1,0.003
SCOUT INVESTIGATORS,1,0.003
SEARCH DIABET YOUTH STUDY,1,0.003
SEARCH DIABET YOUTH STUDY GRP,1,0.003
SECOND JOINT TASK FORCE EUROPEAN SOC CORONARY P,1,0.003
SENTINEL SURVEILLANCE IND POPULATI,1,0.003
SEVERE ASTHMA RES PROGRAM,1,0.003
SFD,1,0.003
SFE SFD,1,0.003
SHARE INVESTIGATORS,1,0.003
SHEEP,1,0.003
SHIELD STUDY GRP,1,0.003
SHIGA EPIDEMIOLOGICAL STUDY,1,0.003
SHIGA EPIDEMIOLOGICAL STUDY SUBCLI,1,0.003
SHIZUOKA SAKURAGAOKA J MICC STUDY,1,0.003
SHIZUOKA-SAKURAGAOKA J-MICC STUDY,1,0.003
SIN COLLABORATION,1,0.003
SLEEP EXTENSION STUDY GRP,1,0.003
SMART COLLABORATIVE,1,0.003
SMOKE FREE FAMILIES COMMON EVALUAT MEAS,1,0.003
SNAP RES GRP,1,0.003
SNC,1,0.003
SOC ASSISTED REPRODUCTIVE TECHNOL,1,0.003
SOC MATERNALE FETAL MED,1,0.003
SOC MATERNALE-FETAL MED,1,0.003
SOLVD INVESTIGATORS,1,0.003
SPANISH ARTERIOSCLEROSIS SOC,1,0.003
SPECIAL DIABET PROGRAM INDIANS HLT,1,0.003
SPEED,1,0.003
SPRINT STUDY RES GRP,1,0.003
STAAB-CONSORTIUM,1,0.003
START INVESTIGATORS,1,0.003
STEERING COMM RMT LISTRAL,1,0.003
STORM STUDY GRP,1,0.003
STRONG HEART STUDY INVESTIGATORS,1,0.003
STUDY GRP LOSARTAN AFRICAN AMER H,1,0.003
STUDY NOVEL APPROACHES TOWEIGHT GA,1,0.003
STUDY WOMEN INFANT FEEDING TYPE 2,1,0.003
SUBCOMM SCREENING MANAGEMENT,1,0.003
SUBCOMMIT SCREENING MANAGEMENT,1,0.003
SUMMIT CONSORTIUM,1,0.003
SWAN INVESTIGATORS,1,0.003
SWISS IBD COHORT STUDY,1,0.003
TAPS BOLIVIA RES TEAM,1,0.003
TASK FORCE,1,0.003
TASK FORCE MEMBERS,1,0.003
TEHRAN LIPID GLUCOSE STUDY GRP,1,0.003
TENOR STUDY GRP,1,0.003
TERN,1,0.003
TERRY BEIRN COMMUNITY PROGRAM,1,0.003
TERRY BEIRN COMMUNITY PROGRAMS,1,0.003
THAI COHORT STUDY TEAM,1,0.003
THE DESIR STUDY GRP,1,0.003
THREE GENERATION STUDY WOMEN DIET,1,0.003
THREE-GENERATION STUDY WOMEN DIET,1,0.003
TODAY STUDY GRP,1,0.003
TONE COOPERATIVE RES GRP,1,0.003
TOPMED HEMATOLOGY HEMOSTASIS WORKI,1,0.003
TRANSLATIONAL BEHAVIORAL SCI RES C,1,0.003
TREATMENT OPTIONS TYPE 2 DIABET AD,1,0.003
TROPHY INVESTIGATORS,1,0.003
UCP,1,0.003
UNIV MICHIGAN HLTH SYST,1,0.003
UNIV WASHINGTON,1,0.003
UP DOWN STUDY GRP,1,0.003
US MEMBERS GLOBAL NASH COUNCIL,1,0.003
VA MID ATLANTIC MENTAL ILLNESS RES,1,0.003
VA MID-ATLANTIC MENTAL ILLNESS RES,1,0.003
VANISH TRIAL INVEST EXECUTIVE COMM,1,0.003
VARIABILITY BLOOD PRESSURE BRAIN,1,0.003
VARIABLE BRAIN CONSORTIUM,1,0.003
VENOUS THROMBOSIS GENETIC REPLICAT,1,0.003
VORALBERG HLTH MONITORING PROMOTIO,1,0.003
W SCOTLAND CORONARY PREVENTION STUDY,1,0.003
WASE INVESTIGATORS,1,0.003
WASHINGTON UNIV SCH MED CALERIE TE,1,0.003
WASID STUDY GRP,1,0.003
WEIGHT LOSS MAINTENANCE COLLABORAT,1,0.003
WHEELS STUDY GRP,1,0.003
WHEELS-STUDY GRP,1,0.003
WHI WHI CAC STUDY INVESTIGATORS,1,0.003
WHI WHI-CAC STUDY INVESTIGATORS,1,0.003
WHI WORKING GRP,1,0.003
WHIOS,1,0.003
WHITEII,1,0.003
WHO MONICA PROJECT,1,0.003
WHO MULTICOUNTRY SURVEY MATERNAL N,1,0.003
WISSDOM RES CTR STUDY GRP,1,0.003
WOMEN DIETS HLTH STUDY GRP,1,0.003
WOMEN'S HLTH INITIATIVE,1,0.003
WOMEN'S INTERAGENCY HIV STUDY,1,0.003
WOMENS HEALTH INITIATIVE INVEST,1,0.003
WOMENS HLTH INITIATIVE,1,0.003
WOMENS HLTH INITIATIVE CORONARY AR,1,0.003
WOMENS HLTH INITIATIVE INVESTIGATO,1,0.003
WORKING GRP GA2LEN WP 1 5 BIRTH,1,0.003
WORKING GRP GA2LEN-WP 1 5 BIRTH,1,0.003
WORKING GRP GENDER CARDIOVASC,1,0.003
WORLD KIDNEY DAY STEERING,1,0.003
WORLD OBESITY FEDERATION,1,0.003
WORLD SOC ARRHYTHMIAS,1,0.003
WP3 SPOTLIGHT GRP,1,0.003
YKKJ RES GRP,1,0.003
YOUNG HEARTS STUDY GRP,1,0.003
YOUNG MEN'S SURVEY STUDY GRP,1,0.003
ZPMCB VWD STUDY GRP,1,0.003
ZPMCB-VWD STUDY GRP,1,0.003
